,,▲,旅行代理店（従業員）,来客数の動き,・８月の台風による農業関係の被害及び鉄道不通などの交通障害の継続により、野菜高騰などの物価上昇に対する客の警戒感が強く、観光需要の動きが鈍っている。,,
,,▲,旅行代理店（従業員）,それ以外,・台風直撃の影響により、札幌と当地を結ぶ特急に運休が生じており、それに伴う払戻しなどが多数発生した。現在は臨時列車による運行が行われているものの、一部でバスによる代行輸送が行われていることで、通常と比べて約２時間も移動に時間がかかるため、パッケージツアーでの利用ができない状況にある。少なくとも11月末までは特急の運転再開が困難とみられていることから、しばらく状況は変わらない。,,
,,▲,タクシー運転手,販売量の動き,・売上について前年比の横ばい状態が続いている。,,
,,▲,通信会社（企画担当）,販売量の動き,・新商材の販売については予約から好調なものの、都市部での伸び悩みが想定以上となっている。,,
,,▲,美容室（経営者）,お客様の様子,・８月の売上ダウンの影響が９月も続いている。,,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光シーズンも終盤に差し掛かったことに加えて、今年は台風などの影響で特に９月の天候が悪化したことから、輸送量が減少している。,,
,,×,商店街（代表者）,来客数の動き,・前月末の台風が大きく影響している。被害にあった地域からのバス利用客が激減しているとともに、鉄道が不通のため、道外及び道央圏からの観光客も２割前後減少している。また、周辺住民においても、天候不順の影響を受けて出控えする傾向があり、例年の９月と比較すると最寄品を中心に売上が減少している。,,
,,×,百貨店（役員）,お客様の様子,・店の来客数が著しく低下している。,,
,,×,コンビニ（エリア担当）,来客数の動き,・海水温が下がらないことで、サンマ、サケ、ホッケなどの近海魚が周回してこないため、船積商材が動かず、当地区の漁業関係は全て悪い状況にある。そのため、スーパーを中心とした安い価格を打ち出している業態に客が流れている。また、競合店の出店も続いており、限られたマーケットを取り合いしている状況にある。,,
,,×,観光型ホテル（役員）,来客数の動き,・円高の影響で東南アジアからの外国人観光客が大きく減少している。さらに、台風被害によるキャンセルに加えて、風評被害も大きく、予約数が伸びてこない。,,
,,×,旅行代理店（従業員）,お客様の様子,・農家や関連企業など、台風被害を直接受けた客の旅行やイベントのキャンセルが相次いでいる。また、直接的な被害を受けていなくとも、鉄道の不通により取消しを余儀なくされた客もみられる。さらに自粛という理由で旅行を中止、延期する客も発生してきており、販売額にとても大きな負の影響を与えている。,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,食料品製造業（従業員）,受注量や販売量の動き,・３か月前の６月は販売量が前年比プラス１％だったが、９月は前年比プラス17％と伸びている。,,
,,○,建設業（従業員）,受注価格や販売価格の動き,・10億円程度の建築工事入札で低価格応札が少なくなっているなど、建設会社の受注量がそこそこ満たされてきた兆候が感じられる。,,
,,○,通信業（営業担当）,受注量や販売量の動き,・受注量、案件数が３か月前と比べて微増している。金額も大型化しており、景況感は引き続きやや良い状況にある。,,
,,○,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・補正予算の執行による工事や台風による水害復旧工事が増加傾向にある。,,
,,○,その他サービス業［建設機械リース］（支店長）,取引先の様子,・公共工事が本格化し、ようやく活況となってきている。ただ、人手不足が深刻である。,,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・３か月前よりも売上は増えているが、季節的な要因によるものであり、数字自体は前年と変わらない。,,
,,□,家具製造業（経営者）,受注量や販売量の動き,・今年は特に台風などによる災害が多く、経済にも悪影響を与えている。,,
,,□,輸送業（支店長）,受注量や販売量の動き,・台風被害に対する土木復旧関連品輸送の引き合いが増えているなど、スポット需要への期待が高まっているものの、レギュラー貨物に極端な増減はみられないため、販売量に変化がない。,,
,,□,輸送業（営業担当）,取引先の様子,・取引先の経済活動自体は衰退していないものの、台風被害で物流、流通に支障が出ている部分があり、先が見通せない状況にある。,,
,,□,司法書士,取引先の様子,・やや良いと回答するほどではないが、例年と比べると不動産の売買取引、建物の建築などが若干上向いている傾向があり、多少景気が良くなっている。,,
,,□,司法書士,取引先の様子,・例年と比べて、不動産の売買、建物の新築が減少している。,,
,,□,コピーサービス業（従業員）,受注価格や販売価格の動き,・客との対話のなかで、首都圏では東京オリンピックの効果が出ているとの話がよく出てくるが、北海道では効果が生じていないとの意見が多くみられる。,,
,,□,その他非製造業［鋼材卸売］（役員）,受注量や販売量の動き,・６月に比べると、７～８月の売上はそれぞれ15％程度の落ち込みがみられたが、９月は通常の状態に戻っている。,,
,,▲,金融業（従業員）,取引先の様子,・公共投資による景気の下支えはあるが、度重なる台風被害によって、これまで道内景気をけん引してきた観光関連を含む幅広い業種に悪影響が出ており、現状の道内景気はやや悪化している。,,
,,▲,司法書士,取引先の様子,・依然として景気回復には至っていない。新築建物の単価が上昇していることで、ローンの借入金額も多額になってきており、借入者が減少している。,,
,,▲,その他サービス業［建設機械レンタル］（総務担当）,それ以外,・台風被害の影響が生じている。,,
,,×,－,－,－,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,人材派遣会社（社員）,求人数の動き,・中途採用のニーズが高まっている。特に営業職、介護職の求人が増加している。また、コンビニエンスストア、100円ショップなどの店舗開設が多く、陳列業務などの短期の派遣ニーズが高まっている。一般派遣においても事務職のニーズが高まっており、企業業績に明るさがみられる。一方、景気回復に伴う有効求人倍率の高まりにより登録者数は微減で推移している。,,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・北海道の有効求人倍率が過去最高となり、各業界の人手不足が深刻化している。外国人観光客の増加により、宿泊業及び清掃業を始めとしたビルメンテナンス業の求人が増加している。なり手が少ない介護や建設、運輸なども求人意欲は依然堅調である。全体の求人件数は前年と比べて増加している。,,
,,○,新聞社［求人広告］（担当者）,求人数の動き,・募集広告売上で前年同月８位の加工製造卸が３倍近くまで伸びており、派遣に次ぐ売上となったほか、環境衛生、理美容も前年を大きく上回った。全体でも前年比109％となり、派遣、医療、飲食などの落ち込みの大きかった業種の分をカバーしている。,,
,,○,職業安定所（職員）,求人数の動き,・新規求人数が前年比マイナス14.0％と３か月連続で前年を下回った。月間有効求人数は前年比マイナス0.2％と13か月ぶりに前年を下回ったが、有効求職者数の減少が続いていることから、有効求人倍率は前年を0.02％上回った。,,
,,□,職業安定所（職員）,周辺企業の様子,・観光客を多く見かけるなど、観光関連が好調であるが、観光スポット以外の商店街などは活気がないため、全体的には変わらない。,,
,,□,学校［大学］（就職担当）,求人数の動き,・新卒学生の就職活動のスピードと活動量の動きが鈍いため、各企業では予定人数を採りきれていない状況にある。９月も後半になり、当初はそろそろ採用活動を終了する企業が増えてくるとみていたが、企業側の採用意欲はまだ衰えておらず、12月まではこうした傾向が続く。,,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・連続４回にわたる台風被害が基幹産業の農業に与えた影響が大きく、それまでの活気や先行きへの期待感に少なからず影を落としている。,,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・個人消費の伸びが鈍化していることで求人件数の減少がみられる。企業の人手不足感は強いものの、これといった打開策が見いだせないまま時間が過ぎている。,,
,,▲,職業安定所（職員）,求人数の動き,・有効求人倍率が78か月連続で前年を上回っているものの、新規求人数が４か月連続、月間有効求人数が６か月連続で減少している。特に新規求人数は全体で3.7％減少するなかで、正社員求人が13.0％も減少している。,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,一般小売店［医薬品］（経営者）,単価の動き,・来客数は前年並みであるが、客単価が良くなってきており、売上は前年比114.8％で推移している。,,
,,◎,住関連専門店（経営者）,販売量の動き,・今月は、細かい商品のほかに高額商材も上々の売上である。客の動きも良く、最近に無いほどの好景気となっている。,,
,,◎,タクシー運転手,お客様の様子,・乗客からは不景気だという話は聞かない。空港に客を送ることがあるが、空港に向かう人も、空港から帰ってくる人も多い。このようなことから景気は上向いているのではないか。,,
,,○,商店街（代表者）,来客数の動き,・７月以降、客のなかからは、買いたいものや必要なものは購入するという動きが出てきており、現在でもその動きは継続していることから、定着しつつあるとみている。,,
,,○,百貨店（総務担当）,単価の動き,・買上点数、買上単価共に増加している。また、商品の値段をあまり気にしなくなっている様子がみられており、景気は少し良くなっている。,,
,,○,衣料品専門店（経営者）,来客数の動き,・秋冬物のオーダーや、修理の仕事が多少増えてきている。,,
,,○,衣料品専門店（店長）,お客様の様子,・残暑の影響により、９月中旬まで夏物消費のニーズが続いている。その後は、台風通過後の気温低下によってようやく秋物消費も立ち上がっており、客の購入モチベーションが上がってきている。,,
,,○,乗用車販売店（経営者）,販売量の動き,・新型車効果もあり、来客数、販売量共に回復傾向にある。,,
,,○,乗用車販売店（経営者）,販売量の動き,・９月中旬ごろから販売量に動きが出てきており、受注の進捗状況が良くなってきている。,,
,,○,高級レストラン（支配人）,単価の動き,・周辺のイベントの影響で、インバウンドや来県者によるにぎわいがみられている。また、客単価も並行して向上しており、地域顧客にも相乗して売上が上昇する動きがみられる。,,
,,○,一般レストラン（経営者）,販売量の動き,・今年に入ってから販売量が毎月前年を下回っていたが、今月は前年並みとなっている。今まで低迷が続いた分、多少は良くなっているという印象を受けている。,,
,,○,その他サービス［自動車整備業］（経営者）,単価の動き,・顧客の予算状況にゆとりがあるらしく、質、量共に受注が増えている。,,
,,○,住宅販売会社（経営者）,お客様の様子,・後継者のいない経営者の資産処分が多く、このことで新しい宅地の仕入となり、新規物件受注につながっている。,,
,,□,商店街（代表者）,単価の動き,・天候不順の要素を除いても、売上は芳しくない。客単価の低下傾向は、過去の最も不況であった時期に似ている。思うように増えない収入と、食品や日用品がじわじわと値上がりしている状況で、客は財布のひもを締めがちになっている。,,
,,□,商店街（代表者）,来客数の動き,・客がこない状態が続いている。,,
,,□,一般小売店［医薬品］（経営者）,来客数の動き,・春からの業績悪化から回復できないまま、横ばいで推移している。月前半は好調であり回復の兆しもみえたが、天候不順もあり、下旬は予想を上回る低迷に見舞われている。そのため、前半好調だった業績が帳消しになり、マイナスとなっている。,,
,,□,一般小売店［寝具］（経営者）,販売量の動き,・商品は動いているが、利幅の大きな商品は今一つ動かないため、利益は落ち込んでいる。,,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・販売量は横ばいで推移しているものの、高額商材の動きが悪く、売上が伸びない状態が続いている。,,
,,□,百貨店（売場主任）,来客数の動き,・週末だけではなく平日も来客数が減少しはじめている。秋物の動きにも活発さはなく、単価ダウンとあわせて、回復の兆しはみえていない。,,
,,□,百貨店（営業担当）,販売量の動き,・天候不順が続いているが、中旬からは気温も下がり始めており、秋物に動きが出てきている。美術品などの高額商材も、催事を行うなどの取組を実施した結果、以前と比べて動いてきている。ただし、来客数は依然として前年を下回っており、景気が好転しているとまではいえない。,,
,,□,百貨店（営業担当）,お客様の様子,・秋物商戦に入っているが客の購買の動きが鈍い。衣料品だけではなく、食品関係の買上単価も上がっていない。,,
,,□,百貨店（経営者）,販売量の動き,・９月中旬からようやく衣料品が動き出しており、前半のマイナス分をカバーしている。しかし、店頭では価格に対して敏感な声があり、平均単価も低下してきている。,,
,,□,スーパー（経営者）,単価の動き,・既存店の来客数は横ばいであるものの、工業製品の１品単価は微減している。,,
,,□,スーパー（店長）,単価の動き,・ここ数か月、節約志向が高まっており、客単価が前年を下回っている。,,
,,□,スーパー（営業担当）,お客様の様子,・既存店の売上は前年比100.4％とほぼ前年並みで推移している。,,
,,□,コンビニ（経営者）,単価の動き,・来客数が増加してきているものの、客単価が低く、全体として売上は横ばいとなっている。また、客は目的買いが多く、財布のひもは固いままである。,,
,,□,コンビニ（エリア担当）,お客様の様子,・来客数の減少傾向に変化はなく、増加の動きも見当たらない。,,
,,□,コンビニ（エリア担当）,来客数の動き,・夏場から秋にかけて天候も気温も良かったため、競争激化のなかでも来客数は変化せずに推移している。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数がほぼ前年並みであり、前月と比べても同様の傾向である。,,
,,□,衣料品専門店（経営者）,単価の動き,・販売価格が低下傾向にあるが、仕入価格は上昇気味である。,,
,,□,衣料品専門店（経営者）,お客様の様子,・開店して３か月半経過している。最初は開店祝いの来店や買上が大半を占めていたが、現在でもその来客数を維持している。客は何か良いものがあれば欲しい様子である。,,
,,□,衣料品専門店（店長）,来客数の動き,・９月に入っても気温の高い日が続いたことで、秋物需要の立ち上がりが前年よりも２週間ほど遅れている。,,
,,□,衣料品専門店（総務担当）,単価の動き,・売上の秋冬商材の比率が段々と高くなり、客単価も上がっていく月であるが、今年は売れ筋の単価が低く、客単価が上昇しない。また、客の動きも鈍く、秋冬商材の購買率が低い。,,
,,□,家電量販店（店長）,来客数の動き,・９月の前半は気温が上昇したこともあり、季節商材が好調に推移している。ただし、来客数については前年比90％の状態が続いている。,,
,,□,家電量販店（店長）,来客数の動き,・来客数は前年並みであるが、単価が少しずつ下がっている。また、エアコンなどの季節商材も、前年とあまり変わらない数字ではあるが、平均単価が少しずつ下がっている。,,
,,□,乗用車販売店（従業員）,来客数の動き,・休日における来客数がなかなか増えていかない。,,
,,□,その他専門店［酒］（経営者）,販売量の動き,・飲食店向けは変わらないものの、前月から店頭のレギュラー商品の動きが悪くなっている。ある程度の波があるが、落ち込みが少し大きい。,,
,,□,その他専門店［靴］（従業員）,販売量の動き,・夏物セールの販売量が少なく、秋物も投入しているが動きは鈍い。全体的に消費者の購入意欲が低調なままであり、厳しい状況が続いている。,,
,,□,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・販売量の動きにあまり変化はなく、例年並みで推移している。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,単価の動き,・販売競争の激化により、販売単価が上がらず収益が落ち込んだままで推移している。冬場の需要期に向かっているが、単価の回復が進んでいない。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・これまでの推移と変わらず、変化はない。,,
,,□,高級レストラン（経営者）,来客数の動き,・今年の春以降、来客数は少しずつ良くなってきているものの、一進一退の状況である。,,
,,□,一般レストラン（経営者）,来客数の動き,・来客数や売上に大きな変動はない。,,
,,□,観光型ホテル（経営者）,来客数の動き,・例年よりやや悪い予約状況である。全体の動きが鈍く、多少料金を下げても集客にはつながっていない。,,
,,□,観光型ホテル（スタッフ）,単価の動き,・相変わらず客単価が伸びていない。,,
,,□,観光型旅館（経営者）,来客数の動き,・来客数などの動きは例年並みであるが、景気は安定感がみられずに低空飛行のままである。,,
,,□,都市型ホテル（スタッフ）,お客様の様子,・９月は県内での大会などが多かったため、宿泊はそれなりの稼働率となっている。また、ブライダル関係も例年並みである。ただし、日々の会合などの人数や件数は若干減少している。,,
,,□,都市型ホテル（スタッフ）,それ以外,・フリー客の減少は止まっているものの、前月とあまり変わらない状況である。昔から選挙があると全体の動きが鈍る傾向にあるが、来月も選挙が予定されているため、減少はないものの、停滞感が漂っている。,,
,,□,旅行代理店（店長）,お客様の様子,・景気の不透明感が改善に至っていない。,,
,,□,旅行代理店（店長）,お客様の様子,・秋の行楽シーズンを控えているため、例年であればもう少し問い合わせ件数があってもおかしくないのだが、団体旅行の問い合わせ件数が今一つ増えていない。,,
,,□,旅行代理店（従業員）,来客数の動き,・台風、大雨などの天候不順に加え、キャンセルも発生しており、来客数が減少している。,,
,,□,タクシー運転手,来客数の動き,・客からは、消費税率10％への引上げに関する話題や、年金が少なくなったという話を良く聞く。このような状況では景気は良くならない。,,
,,□,通信会社（営業担当）,お客様の様子,・景気は下向き傾向ではあるものの、景況感は３か月前と変わらない。消費動向も抑え気味であり、豪雨災害の影響による物価の上昇が心配である。数件の輸入車ディラーを訪問したが、前年より売上が減少している様子である。売上を確保するため、やむを得ず値引きをして利益が減少しており、また新車を投入しても伸び悩んでいるとの事である。,,
,,□,通信会社（営業担当）,単価の動き,・現在の物価からは、価格が上昇する要因は見当たらず、横ばいで推移している。,,
,,□,通信会社（営業担当）,お客様の様子,・顧客の投資意欲に、変化が見受けられない。,,
,,□,通信会社（営業担当）,お客様の様子,・新規加入者数、解約者数共にここ数か月変わらず、純増数、純減数共に大きな変化はみられない。ただし、これまでと違い、新規加入者の半分を県外からの転入者が占めている状況である。新たな客の加入に救われてようやく一定の数を保っている。,,
,,□,通信会社（営業担当）,お客様の様子,・顧客からの値下げ要求が強い状態が続いている。,,
,,□,通信会社（営業担当）,お客様の様子,・契約の提案内容が相変わらず価格重視である。,,
,,□,美容室（経営者）,来客数の動き,・来客数が前年を下回っており、その落ち幅がここ４か月同じような水準で推移している。,,
,,□,その他住宅［リフォーム］（従業員）,来客数の動き,・受付件数は前年並みまでに回復している。,,
,,▲,商店街（代表者）,販売量の動き,・商店街の店舗の入替えに激しさがみられている。また、新規出店から閉店までの期間が短くなってきており、特に飲食店において多く散見されている。さらに、今月は台風などの影響もあり、来街客がかなり落ち込んでいる。,,
,,▲,百貨店（売場担当）,お客様の様子,・新規客が増えず、顧客の動員で売上が左右される状況に変化はない。また、季節の変わり目に合わせて新しいものを買うことが後回しになり、実需期にならないと買物に来ない客も非常に多くなっている。加えて、買う側の環境はネット通販など、幅広い選択肢があり、価格やトレンドを自分のライフスタイルに合わせて選べるため、百貨店離れは更に拡大しそうである。,,
,,▲,スーパー（経営者）,単価の動き,・９月の平均１品単価は３％強の前年割れとなっている。また、買上点数は前年並みであるものの、来客数は前年を下回っている。これらは穏やかではあるが、やや悪い傾向である。,,
,,▲,スーパー（店長）,来客数の動き,・９月は天候にあまり恵まれず、来客数の減少に伴い売上も減少している。,,
,,▲,スーパー（店長）,販売量の動き,・７月に前年比105.9％であった売上が、８月は前年比100.2％と、やや悪くなっている。,,
,,▲,スーパー（営業担当）,販売量の動き,・例年にない大型台風の来襲や天候不順により、来客数が大きく影響を受けており、更に買上点数も減少している。対策としてチラシ価格を強化しているが、それは競争店も同じであり、客単価が低下している状況である。,,
,,▲,コンビニ（経営者）,単価の動き,・客の買上点数がだんだんと落ち込んできている。以前は新規商品が目に付くと客は購入していたが、現在はそのようなことが少なくなっている。,,
,,▲,コンビニ（経営者）,来客数の動き,・来客数は前年並みであるものの、客単価が上がらずに苦戦している。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・９月の来客数は、悪天候の影響もあり前年比で２％以上減少している。また、コンビニの強みであるファストフードも、６か月連続して前年を下回っている。来客数の減少に加えて、プラス一品の購入が抑えられている状況である。,,
,,▲,コンビニ（店長）,単価の動き,・商品の購入について、単価の低下はそれほどでもないが、買上点数が減少している。そのため、景気はやや下降気味である。,,
,,▲,コンビニ（店長）,来客数の動き,・例年に比べて気温は高いものの、９月に入ってから売上が大きく落ち込んでいる。競合店の影響もあるが、単価も前年を下回っていることから、客の購買意欲が落ちてきている。,,
,,▲,衣料品専門店（経営者）,単価の動き,・秋物商材の動きが前年と比較しても非常に鈍い。いま着るものや単価の低いものは動いているが、ジャケットやコートのような、単価の高いものは全く動いていない。,,
,,▲,衣料品専門店（店長）,来客数の動き,・天候不順により、夏物が売れるタイミングで涼しくなったため、盛夏物が厳しい。この時期は、盛夏物が売れないとクールビズのスーツも売れない。また、台風などにより客足がかなり遠のいており、衣料業界は厳しい状況である。,,
,,▲,乗用車販売店（経営者）,販売量の動き,・販売量に加えて、単価の低下も顕著になってきている。,,
,,▲,乗用車販売店（従業員）,販売量の動き,・新型車が発売されたが、注文数はそれほどでもない。,,
,,▲,住関連専門店（経営者）,販売量の動き,・受注の動きが鈍くなっており、量的にも金額的にも減少している。,,
,,▲,住関連専門店（経営者）,来客数の動き,・相変わらず来客数が少なく、売上も悪い。,,
,,▲,その他専門店［酒］（経営者）,販売量の動き,・今月は気候が安定せず台風も多かったことから、飲食店や観光客向けの物産館などの販売量に大きく影響している。また、野菜などの生鮮食品の価格高騰がニュースなどで大きく報道され、消費者の財布のひもが一層固くなる要因となっており、特に飲食店では大きな影響が出ている。,,
