,,▲,その他サービスの動向を把握できる者,来客数の動き,・観光シーズンも終盤に入り、今月は期待していたが、週末の天候悪化もあって、実際には低調に推移した。,,
,,▲,設計事務所（職員）,お客様の様子,"・建築資材の値上がりや建築基準法の改正に伴う建設単価の上昇で、新築分譲マンションの着工が保留されたり、遅延している。また、在庫マンション戸数も2,000を超えると言われており、札幌の建築市場を支えるマンション建設が急激に冷え込んでいる。",,
,,×,－,－,－,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,通信業（営業担当）,受注量や販売量の動き,・ここしばらく横ばい傾向と感じていたが、最近になり、受注量が微量ではあるが増加傾向にあり、景況感はやや良くなっている。,,
,,○,その他サービス業［建設機械リース］（支店長）,受注量や販売量の動き,・建設、運送業界からの受注は相変わらずであるが、他業種からの受注がみられるようになってきた。,,
,,□,出版・印刷・同関連産業（役員）,受注量や販売量の動き,・首都圏からの受注が微増傾向にあるが、北海道内からの受注が減少傾向にある。,,
,,□,輸送業（営業担当）,取引先の様子,・取引先の生産量に大きな変化は出ていないが、本州圏が猛暑のため、空き缶、空きびんなどの飲料用資材や飲料製品の荷動きが非常に順調であった。,,
,,□,金融業（企画担当）,それ以外,・設備投資は大手企業の能力増強投資が押し上げているが、中小企業によるものはまだ弱い。企業収益は原材料価格の上昇で圧迫されている。個人消費は、猛暑による効果があるが、所得環境の改善がみられないことから、一進一退が続いている。住宅投資は持家などが減少しており、弱含みで推移している。観光関連は、人気動物園と来年の北海道洞爺湖サミットの効果で底堅く推移している。総じて景気は横ばいとなっている。,,
,,▲,家具製造業（経営者）,受注量や販売量の動き,・異常気象や景気の減速感などの外的な影響により、消費マインドが減退している。,,
,,▲,輸送業（支店長）,受注量や販売量の動き,・外航コンテナ、輸入石炭は順調な推移を示しているが、道内の土木建築需要の大幅な落ち込みから、鋼材等の入荷は前年を大きく下回る状態が続いている。また、一般雑貨も低位で推移している。,,
,,▲,広告代理店（従業員）,取引先の様子,・毎年、広告出稿のあった得意先が、業績不振を原因として広告出稿を次々と取りやめている。,,
,,▲,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・受注見通しが悪化しているためか、資材や生産財消耗品が値上げされたにもかかわらず、値上げ前の価格による仮需要の発生が非常に少ない状況である。,,
,,×,－,－,－,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,＊,＊,＊,,
,,□,求人情報誌製作会社（編集者）,それ以外,・正社員、非正社員を問わず、地域全体の傾向として応募者数が減少している。都市部流出の影響からか、特に若年層の応募者の少なさが目立っている。結果として、決定率も悪化している。,,
,,□,職業安定所（職員）,求人数の動き,・有効求人倍率は６か月連続で前年を上回っているものの、倍率は0.46倍と低水準である。,,
,,□,職業安定所（職員）,求人数の動き,・新規求人数が前年比10.9％と増加に転じたが、情報通信業からの大口求人によるものであり、一過性のものに過ぎない。前月まで前年比は10か月連続で減少しており、累計比もマイナス0.7％と悪化している。,,
,,▲,人材派遣会社（社員）,雇用形態の様子,・正社員のニーズは引き続き高いものの、採用基準が相変わらず高く、なかなか採用されない状況である。求職者、求人はあるものの、採用されないというスキルのミスマッチの状況が続いている。これは求人企業側の業績に余裕が無く、経営状況がやや悪化傾向にあるため、採用に慎重になっていることの表れである。さらに、最近になり、販売職、営業人材の派遣、あるいはアウトソーシングの依頼が増えており、これも固定費となる人件費を削減しつつも売上を確保したいという業績が低迷している企業の姿と読みとれる。,,
,,▲,人材派遣会社（社員）,求人数の動き,・前年の同時期に比べ、求人の動きがあまり良くないように感じる。,,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・前月と比較して、飲食、小売、建設業などの求人件数の前年比での減少が、更に進んだように感じる。,,
,,▲,新聞社［求人広告］（担当者）,それ以外,・広告売上が前年比で１割近く落ち込んでいる。特に流通、自動車、募集等の落ち込みが激しく、回復の兆しがみえない。,,
,,▲,職業安定所（職員）,求職者数の動き,・目立った大量解雇の企業は無いが、事業主都合離職者が増加している。,,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数の前年比が８か月連続して減少しており、有効求人数も10か月連続して減少している。,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,タクシー運転手,お客様の様子,・乗客には「忙しくて休みがとれない」という人もいる。人材が少ないという側面もあろうが、１日に何件も商談を抱えて飛び回っているような様子で、「急いでくれ」という客を乗せる機会も増えてきた。,,
,,○,一般小売店［カメラ］（店長）,販売量の動き,・新製品のデジタルカメラが発売され、販売が好調である。,,
,,○,家電量販店（店長）,単価の動き,・11月に地上デジタル放送開始が控えており、薄型テレビの動きが良い。また、猛暑効果もあって、価格の高いエアコンや冷蔵庫の動きも良い。,,
,,○,旅行代理店（従業員）,販売量の動き,・地域的な格差はあるが、販売量は伸びている。,,
,,□,商店街（代表者）,お客様の様子,・前月と同様に、販売、サービス共に良くない。客からは「値段が上がった」という声がよく聞かれる。原油高騰の報道からくる連想ではなく、実際に食料品などの商品は値上がりしているため、客の買い控えを助長している。,,
,,□,一般小売店［書籍］（経営者）,競争相手の様子,・地元既存店の2.5倍という圧倒的規模の競合店も、集客が思うように伸びず苦しんでいる様子である。書店坪数の増大に比べ、地域全体の購買力はあまり変わっていない。,,
,,□,一般小売店［医薬品］（経営者）,お客様の様子,・前年比で来客数は減少しているが客単価が上昇し、結果として月間売上は横ばいである。来客数が落ちているのは、低単価の商品が大型量販店と競合しているためである。単価の高い特殊商品は相変わらず順調であり、消費者の購入意欲は堅実である。,,
,,□,百貨店（総務担当）,販売量の動き,・食料品や身の回り品の動きはあるものの、気温が高い状況で推移していることなどから、衣料品の動きは鈍い状況が続いている。,,
,,□,スーパー（経営者）,来客数の動き,・来客数は安定的に推移している。中越沖地震被災地にある５店舗の状況にはばらつきはあるものの、被害のあった競合店が閉鎖したこともあり、総じてプラスで推移している。,,
,,□,スーパー（経営者）,来客数の動き,・中越沖地震もあり、新潟地域の景気は低調なまま推移しており、９月になっても流れが変わっていない。来客数の動向も厳しいままである。,,
,,□,スーパー（店長）,競争相手の様子,・今月、当社がドミナントを形成している商圏に競合店が出店し、市内全域に影響している。当社のみならず、他の競合各社も対抗チラシの強化で応戦しており、客の争奪戦が激化してきた。,,
,,□,スーパー（店長）,来客数の動き,・来客数は前年並みに推移しているものの、客は必要な物しか買わないという様子でまとめ買いが少なくなってきており、客単価は上がらない。,,
,,□,スーパー（店長）,単価の動き,・３か月前と比較して来客数の推移にあまり変化が無く、客単価もほぼ横ばいである。,,
,,□,スーパー（総務担当）,単価の動き,・９月は残暑が続き、おでん材料など秋物商材よりも飲料や氷菓などの需要が続いた。加工食品は、買上点数が増加したが、単価は前年割れとなっている。生鮮食品は、青果物の価格がやや上昇したが、買上点数の落ち込みは大きく、全体としての売上推移はあまり良くない状態のまま変わりない。,,
,,□,スーパー（企画担当）,単価の動き,・残暑が厳しく、秋物関連の動きは不調である。また、競合店が新規出店した影響が大きく、客単価が低迷している。,,
,,□,コンビニ（エリア担当）,来客数の動き,・客単価は若干の改善傾向がみられるものの、来客数については依然として厳しい状況が続いている。,,
,,□,コンビニ（店長）,単価の動き,・客は最低限の出費で最高の満足を得ようとしており、そのため単価が低下している。,,
,,□,衣料品専門店（経営者）,お客様の様子,・残暑が厳しい割には秋物の動きが好調であるが、先行する一部の客の動向によるもので、一般客の買上には至っていない。,,
,,□,衣料品専門店（総務担当）,お客様の様子,・残暑もあり、客の消費動向は活発になっていない。,,
,,□,乗用車販売店（経営者）,お客様の様子,・ショールームへの来場者は増加してきたが、ガソリン高騰や金利上昇の影響もあり、買い控え傾向は続いている。なお、中越沖地震の復興需要で売上の伸びた店があった。,,
,,□,乗用車販売店（従業員）,単価の動き,・他社との競合が激しくなっており、利益が薄くなっている。,,
,,□,その他専門店［化粧品］（経営者）,来客数の動き,・地域の催事が多く、飲食関係の来客数は増えているが、残暑が厳しく秋物ファッションの動きはまだみえないなど、物販関係は停滞気味である。,,
,,□,その他専門店［酒］（営業担当）,販売量の動き,・９月は通常でも酒類全体の動きが悪い時期であるが、残暑が厳しく中途半端になり、日本酒、焼酎、ビールのどれも低調である。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・ここ数か月は販売量の落ち込みが続いているとともに、販売単価も徐々に落ち込んできているため、粗利益が減少している。物流関係の動きが悪く、また公共事業も縮小しているため、軽油販売が低迷している。原油価格の上昇が続いており、販売数量の回復は望めず暗い状況である。,,
,,□,一般レストラン（スタッフ）,単価の動き,・他の外食店が集客のために低価格の企画を実施すると、当社の売上にも影響するなど、客は単価に敏感である。,,
,,□,通信会社（営業担当）,販売量の動き,・８月のお盆過ぎからは受注量が上向きになっていたが、９月に入ってからは３割程度の落ち込みとなっている。,,
,,□,美容室（経営者）,来客数の動き,・客の来店サイクル（頻度）については前年末ごろからほとんど変化がみられず、復調の気配が無い。,,
,,□,住宅販売会社（従業員）,お客様の様子,・若年低所得者層の動きが活発で、規模の小さい物件の動きが出てきている。,,
,,▲,商店街（代表者）,販売量の動き,・残暑が厳しいためか来街者が減少しており、秋物衣料品の売上が前年比で２けた以上の減少となっている店もある。,,
,,▲,一般小売店［茶］（経営者）,それ以外,・旧市街といわれる地域では、春先よりも空き店舗が増えている。客の流れが変わっている。,,
,,▲,一般小売店［医薬品］（経営者）,販売量の動き,・３～４点のまとめ買いが多かったが、最近は必要な物しか買わないようになっている。また、大きな容量の物よりも最小限の物を買う傾向になっている。,,
,,▲,百貨店（売場主任）,お客様の様子,・残暑により客は秋物商材にほとんど関心を示していない。Ｔシャツやブラウスなどジャストシーズンの商品しか動かず、売上は厳しい。ジャケットやニットなど、単価の高い商品群は前年比80％と大苦戦している。,,
,,▲,百貨店（広報担当）,来客数の動き,・年金問題や税負担の増加など将来に向けての不安があるため、消費は抑制される傾向にある。,,
,,▲,百貨店（営業担当）,来客数の動き,・春先から来客数は減少傾向にあったが、夏以降は特に顕著になっている。曜日回りでは前年よりも有利であった当月も減少している。月初の台風などの影響もあるが、かなり深刻な事態ととらえている。,,
,,▲,百貨店（販促担当）,お客様の様子,・中越沖地震の復興は半ばというところであるが、今年は残暑が厳しく、秋物衣料や身の回り品の動きが鈍い。,,
,,▲,スーパー（経営者）,競争相手の様子,・当店から直線距離1.5キロメートルの地点に商業集積地が形成され大型店が次々に出店しているため、客の目はそちらに向いている。,,
,,▲,スーパー（店長）,販売量の動き,・天候の影響により、例年であれば売れるはずのおでん、鍋物商材などが売れず、売上が落ちている。,,
,,▲,コンビニ（経営者）,来客数の動き,・買上点数、客単価は堅調に推移しているものの、来客数の減少をカバーするには至っていない。商品別では、パン、ペストリーが競合他店の影響を大きく受けて、前年比65％と大幅にダウンしている。,,
,,▲,コンビニ（経営者）,販売量の動き,・最近の客は、近くのコンビニより、多少遠くても安い店を利用するようになっている。,,
,,▲,衣料品専門店（店長）,お客様の様子,・残暑の影響で、秋物商材の購入モチベーションが上がってこない。,,
,,▲,衣料品専門店（店長）,来客数の動き,・残暑のため秋物の立ち上がりが遅く、売上が伸びていない。,,
,,▲,乗用車販売店（経営者）,販売量の動き,・準備万端の体制で新型車発売イベントを３回実施したが、豪雨の影響もあり、今一つ来場者数が伸びなかった。また、商談においては以前にないほど細かな点にまで確認を要求され長引いており、内容的にも厳しくなっている。,,
,,▲,乗用車販売店（経営者）,来客数の動き,・見積を提出しても購入決定には至らないなど、９月決算期の追い込みで必死にがんばっているにもかかわらず、計画の80％しか達成することができない。,,
,,▲,乗用車販売店（経営者）,お客様の様子,・前年と比べても商談件数自体が減っている。いざ商談となっても成約には至らず、結局は車検を通す客が増えてきている。そのため、サービス部門の入庫は増加しているが、整備費用を最小限に抑えるように、との要望があるため収益が出にくい。,,
,,▲,住関連専門店（経営者）,販売量の動き,・お盆過ぎごろから来客数が激減しており、それに伴い販売量も減少している。,,
,,▲,住関連専門店（経営者）,競争相手の様子,・競合相手でもある同業者は、倒産とまではいかなくても閉店や廃業が目立っている。このように小規模な販売業者の景気は落ち込んできている。,,
,,▲,その他専門店［食品］（経営者）,販売量の動き,・ここ数か月の販売量は前年割れが続き、異常気象の影響だけではなく、景気の後退感が少しみえる。,,
,,▲,その他専門店［ガソリンスタンド］（営業担当）,来客数の動き,・ガソリンなどの販売価格は毎月のように変動があり、客は不信感を持っている。石油会社はこの状況をどのように考えているのか分からない。,,
,,▲,一般レストラン（経営者）,来客数の動き,・３連休が２週続いたものの、期待が大きくはずれ静かな営業になっている。休日は比較的に来客数も多かったが、全体的には減速感がある。,,
,,▲,観光型ホテル（経営者）,来客数の動き,・今月は予約申込の電話件数が少なく、２か月前ごろから徐々に停滞気味である。客層は団体客が少なく、大きな収容能力を個人客で埋めることになるが、館内消費が低く忙しい割に売上は伸びない。少ない団体の中で目に付くのは建設関係、公的な定期大会である。,,
,,▲,都市型ホテル（スタッフ）,お客様の様子,・宴会の人数は減少傾向であり、単価についても従来よりも下げて欲しいという要求がだんだん多くなっている。,,
,,▲,観光名所（職員）,来客数の動き,・予約の状況は良かったものの、キャンセルが発生し来客数が伸び悩んでいる。,,
,,×,百貨店（経営者）,来客数の動き,・残暑などで気温が高いままであり、来客数が極端に減少している。特に、アパレル関係が苦戦している。海外を中心とした旅行関係の売上も激減している。,,
,,×,百貨店（経営者）,販売量の動き,・台風もあったが、それ以上に残暑の影響が大きく、秋物衣料の販売量が極端に落ちている。商品別では衣料品のほか、寝具、インテリアでも販売量が低下している。競合店の影響もある。,,
,,×,百貨店（売場担当）,来客数の動き,・前年は売れていたアイテムが売れるとか売れないという問題以前に、来客数が激減している。,,
,,×,スーパー（経営者）,来客数の動き,・台風や豪雨など、天候の影響もあって来客数はもちろんのこと、売上も大幅に減少している。家計消費支出が減少しており、その分売上の落ち込みは続いている。,,
,,×,衣料品専門店（経営者）,来客数の動き,・残暑が続いているためか、人通りが以前よりも少ないままで、また、秋物衣料は売れておらず、景気は悪くなっている。,,
,,×,衣料品専門店（店長）,販売量の動き,・天候だけの原因とも言いきれないが、暑い日が多く秋物の動きが悪い。豪雨による被害を受けた地域もあり、売上が低迷している。,,
,,×,自動車備品販売店（経営者）,お客様の様子,・ほとんどの取引先では、入庫率の前年割れが数か月続いている。,,
,,×,住関連専門店（経営者）,販売量の動き,・残暑が続いた影響もあり、来客数が少なくなっている。,,
,,×,都市型ホテル（スタッフ）,販売量の動き,・中越沖地震によりキャンセルとなった宴会は90％が復活したが、上乗せとなるべき新規受注はほとんど無い。宿泊は前年に比べ大会、学会が少なく、ビジネス客も伸び悩んでいる。,,
,,×,その他サービス［自動車整備業］（経営者）,単価の動き,・販売数量や金額について減少傾向が止まらず、特に単価については一層厳しくなっている。採算ラインを確保できないが、少ない客数と売上を維持するために、やむを得ず単価の値下げに応じている状況である。,,
"企業
動向
関連

(東北)",,◎,－,－,－,,
,,○,食料品製造業（経営者）,受注量や販売量の動き,・３連休が２回あったこともあり、売上は前年を上回っている。季節限定商品の動きも良い。,,
,,○,通信業（営業担当）,取引先の様子,・若干ではあるが、設備投資に前向きな話がある。,,
,,□,食料品製造業（総務担当）,受注量や販売量の動き,・販促費の投入を増やしたが期待したように売上が伸びず、収益面で厳しい。,,
,,□,電気機械器具製造業（経営者）,取引先の様子,・全体的に受注量が少なく、70％程度の稼働率で推移している。県内の同業者も同様の動きであり、少ないパイを競い合う状態になっている。,,
,,□,電気機械器具製造業（企画担当）,受注量や販売量の動き,・厳しい状況には変わりないが、企業努力の範囲で収益を出せている。,,
,,□,建設業（経営者）,受注価格や販売価格の動き,・受注量はある程度確保できるが受注価格が安く、景気が良くなっているとは言えない。,,
,,□,通信業（営業担当）,受注価格や販売価格の動き,・今年度に入ってからの推移をみる限り、ユーザーからの要望による値下がり傾向には変わりがない。,,
,,□,新聞販売店［広告］（店主）,受注量や販売量の動き,・チラシ収入は前月よりは持ち直したものの、中央など地域外資本のものが多く、地元企業のものは少ない状態である。また、収入の減少やリストラ、定年退職などにより新聞購読を中止する人が多く、良い景況感は無い。,,
,,□,コピーサービス業（経営者）,受注価格や販売価格の動き,・単価を下げなければ受注量を確保できない状況になっている。店頭への来客数にあまり変化は無いが、客単価は低下している。,,
,,□,その他非製造業［飲食料品卸売業］（経営者）,受注量や販売量の動き,・残暑が続き清酒の需要が低い。一方、ビールの動きは好調で、取引先の活性状況がうかがえる。,,
,,▲,食料品製造業（経営者）,競争相手の様子,・食肉の卸業者による賞味期限偽装が発覚したこともあり、食品、特に肉に対する消費者の疑念は高まっている。そのため、食品を扱う業者としては痛手を受けている。,,
,,▲,木材木製品製造業（経営者）,受注価格や販売価格の動き,・住宅部材の価格が年度当初から20％も値下がりしており、収益が急激に悪化している。,,
,,▲,出版・印刷・同関連産業（経理担当）,受注価格や販売価格の動き,・印刷業では受注価格の低下が続いている。,,
,,▲,一般機械器具製造業（経理担当）,受注量や販売量の動き,・自動車部品については、急激な円高により輸出環境が悪化している。携帯電話用の機器については、相変わらず不採算機種が多く、低迷した状態が続いている。,,
,,▲,輸送業（経営者）,取引先の様子,・取引先の生産状況が非常に不安定である。,,
,,▲,金融業（営業担当）,取引先の様子,・企業の資金需要は、前年比マイナスで推移している。,,
,,▲,広告業協会（役員）,競争相手の様子,・この春オープンした大型ショッピングセンターは、ここに来て売上の鈍化が顕著になってきたとのことである。流通ばかりでなく、車両、不動産関係など広告予算はますます厳しくなってきており、競合が激しくなってきている。,,
,,▲,広告代理店（従業員）,受注量や販売量の動き,・受注量が大幅に減少している。案件はあるものの受注まで至っていない。,,
,,▲,経営コンサルタント,取引先の様子,・原油価格の高止まりが各方面に影響し始めている。,,
,,▲,その他企業［企画業］（経営者）,取引先の様子,・取引先の住宅会社は、一部には受注が増えているところもあるが、おしなべてみると受注量が減っている。,,
,,×,＊,＊,＊,,
"雇用
関連

(東北)",,◎,－,－,－,,
,,○,人材派遣会社（社員）,採用者数の動き,・若手人材に対する採用意欲は高い。,,
,,○,職業安定所（職員）,周辺企業の様子,・新潟市及び周辺地域への人口集中化や吸引力の増大が顕著になっていることを背景に、大型スーパーやパワーセンター、コールセンターの進出、家電量販店のスクラップアンドビルドによる雇用創出が見受けられる。,,
,,○,職業安定所（職員）,求人数の動き,・新規求人は常用、パート共に前年を上回っている。,,
,,□,人材派遣会社（社員）,求職者数の動き,・３か月前の「やや良い」状況が今月も変わらない。求職者数は前年に比べ減少しており、募集広告に対する反応も鈍い。紹介した仕事を辞退するケースも増えている。,,
,,▲,人材派遣会社（社員）,周辺企業の様子,・後向きな集約や統廃合が進み、官民共に人材が余剰気味である。先行きへの不安感が他県への人材流出が止まらない原因にもなっている。市内に残されるのはエンプロイアビリティの低い人材ばかりで、このような層が安易な就業と離職を繰り返している。,,
,,▲,新聞社［求人広告］（担当者）,求人数の動き,・求人広告の申込が低調である。あったとしても正社員募集は非常に少ない。,,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数が３か月連続して、前年同月を下回っている。,,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数、有効求人数共に前年比で10％台の減少となっており、産業別にみると製造業、サービス業の減少が著しい。,,
,,×,＊,＊,＊,,
,,,,,,,
　３．北関東（地域別調査機関：（財）日本経済研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(北関東)",,◎,コンビニ（経営者）,それ以外,・今月は店の前で１週間道路工事があり、夜８時から朝６時までの通行止めにもかかわらず、来客数、売上共に前年比100％となっている。,,
,,○,スーパー（統括）,来客数の動き,・食品の値上げがようやくニュースになって来たようだが、原料値上げにより仕入価格が上昇している分を店頭価格に反映させないで抑えている事が消費者の来店動機につながっているようである。,,
