,,▲,コンビニ（エリア担当）,販売量の動き,・たばこの値上げ分で売上は前年を上回っているが、来客数は前年をやや下回っている。,,
,,▲,家電量販店（店員）,単価の動き,・エコポイント制度の駆け込み需要の反動があり、今月は薄型テレビの販売台数、平均単価とも落ち込んだ。正月過ぎの来客数も前年を下回った。,,
,,▲,家電量販店（地区統括部長）,販売量の動き,・家電エコポイント制度のポイント半減と前年11月の駆け込み需要の反動を受け、テレビ、冷蔵庫等のエコ家電の販売が激減している。,,
,,▲,旅行代理店（従業員）,販売量の動き,・１月の取扱額は、国内旅行が前年比101％、海外旅行が前年比87％となっている。３か月前は、国内旅行、海外旅行とも前年比110％以上と極めて好調であったが、年明けからの受注にやや勢いがなくなってきている。,,
,,▲,タクシー運転手,販売量の動き,・１月はタクシーにとって稼ぎ時であり、前年の１月は３か月前と比べて約15％の売上の増加がみられたが、今年は雪も多く忙しそうに思えたものの、３か月前からの売上の増加は約10％にとどまっており、若干景気が下降気味とみられる。,,
,,▲,観光名所（職員）,来客数の動き,・冬期間に入り、国内客・海外客とも、利用者が減少している。国内客について団体客の減少がみられたほか、期待していた中国人客もあまり利用が伸びなかった。,,
,,▲,住宅販売会社（従業員）,単価の動き,・モデルルームに来る客からの値引き要請が厳しくなってきている。競合企業の値引き額も年を明けてから大きくなってきている。,,
,,×,商店街（代表者）,販売量の動き,・１月の売上は例年と比べてかなり低くなっている。,,
,,×,その他専門店［医薬品］（経営者）,来客数の動き,・例年にない豪雪の影響か、来客数が前年の半分という日もあるほど落ち込んでいる。,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,家具製造業（経営者）,取引先の様子,・住宅新築関連の需要が拡大してきた。不景気を背景に一時保留されていた物件が動き始めたようだ。,,
,,□,食料品製造業（団体役員）,受注量や販売量の動き,・年末受注の不足の反動による受注増加はあるものの、原料高騰による価格改定もあり、大幅な受注減少が懸念される状況にある。,,
,,□,建設業（従業員）,取引先の様子,・建築工事の入札で、最低価格制限が設定されると、予定価格から大きく下回る値であっても、応札額は最低価格に集中し、その価格で落札されている。建設業界は淘汰の時代に入った感がある。,,
,,□,司法書士,取引先の様子,・不動産取引は落ち込んでいる状態であり、冬期間という時期を考慮しても明るい材料が見当たらない。,,
,,□,司法書士,取引先の様子,・北国は雪が解けるまで不動産の動きが鈍く、底地が関係ないマンションで、特に中古物件が動くくらいで景気を刺激させるようなインパクトはなかなか生まれてこない。そのため、景気にもそれほど動きがない。,,
,,□,その他サービス業［ソフトウェア開発］（経営者）,受注価格や販売価格の動き,・仕事量は増えてきている感じがするが、技術者の調達が難しくなってきている。条件面はより厳しくなってきており、利益が出ない状況にある。,,
,,▲,金属製品製造業（経営者）,それ以外,・製品単価が相変わらず安い。さらに、大雪での設備損傷や暖房器具の増設、燃料の値上がりで出費が重なっている。,,
,,▲,輸送業（営業担当）,取引先の様子,・前年夏の猛暑により乳牛の受胎率が落ち、道内の生乳生産が前年比98％と落ち込んでおり、道外輸送に影響が出ている。,,
,,▲,通信業（営業担当）,受注量や販売量の動き,・第３四半期の後半から受注量、引き合い件数の減少が顕著である。第２四半期は受注量、引き合いとも現状より２割程度は多かったことから、景気は下向きにある。,,
,,▲,金融業（企画担当）,それ以外,・政策支援効果がほぼ剥落し、家電・自動車の売行きが大きく落ち込んでいる。道内は建設業が基幹産業であるが、公共投資の減少が顕著になっていることも景気を下押ししている。,,
,,▲,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・今年度の売上は累計で前年比88.4％となっているが、前年度は91.8％であったことから、やや悪くなっている。,,
,,▲,その他非製造業［鋼材卸売］（役員）,受注量や販売量の動き,・例年同様、北海道地の冬期間は全般的に客の仕事量が減ることに加えて、年末から今月にかけての稼働日数が少ないことが追い打ちをかけており、販売量が減少している。,,
,,×,食料品製造業（役員）,受注量や販売量の動き,・年末の荷動きも悪く在庫過多となっている。年が明けても荷が動かず、売上が非常に悪い状況にある。,,
,,×,司法書士,取引先の様子,・不動産の売買、建物の新築は相変わらず減少したままである。,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,求人情報誌製作会社（編集者）,周辺企業の様子,・事業規模は小さいが、レストラン・喫茶店といった飲食店の新規開店に伴う求人がいつもの月よりも増加している。,,
,,○,職業安定所（職員）,求人数の動き,・新規求人数は前年を6.8％上回り、11か月連続で前年を上回った。月間有効求人数は前年を17.6％上回り、11か月連続で前年を上回った。,,
,,□,人材派遣会社（社員）,雇用形態の様子,・求人数についてはやや増えているが、その内容をみると、正社員の求人は手控え感が強く、契約社員あるいはまずはパート・アルバイトで採用し、その後の状況を踏まえ常用雇用に切替えるというように、慎重な対応がほとんどである。当社では、平成22年３月卒業の高校生を対象にした就職マッチングイベントの参加企業の募集を行っており、自治体でも高卒者の就職支援のため、正社員採用企業に助成金を支給するなどの措置を取る例がみられるが、参加企業は助成金の取得よりも、採用のリスク回避のため契約社員採用が多い。このことからも企業の業績は決して良いとは言えない状況にある。,,
,,□,人材派遣会社（社員）,求人数の動き,・求人数の動きに比例して、採用数の動きも悪い。,,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・前年の流れそのままに、どの業種もある程度順調に推移している。建設業も底から脱した感があり、これに関連する警備業やビルメンテナンス業も若干の伸びを示している。,,
,,□,新聞社［求人広告］（担当者）,求人数の動き,・復調している募集広告の売上は、年が明けても前年を上回って推移しており、３か月前と同様に、ここ数年の中ではやや良い状況を保っている。,,
,,□,職業安定所（職員）,それ以外,・管内の12月の有効求人倍率が0.42倍と前年を0.1ポイント上回っているものの、ここ数か月は横ばい状態で推移している。,,
,,□,職業安定所（職員）,求人数の動き,・事業所訪問の際の事業主との話から、求人の募集、採用に対する企業側の慎重な姿勢が感じられる。,,
,,□,職業安定所（職員）,雇用形態の様子,・12月の新規求人数は前年を12.1％上回り、新規求職者数は前年を11.2％下回った。月間有効求人倍率は0.48倍となり、前年の0.35倍を0.13ポイント上回ったものの、相変わらず正社員求人の減少が目立っている。,,
,,□,学校［大学］（就職担当）,周辺企業の様子,・年明けに訪問した道内企業、また首都圏企業からは、企業の事業実績等に関連する報告が多く、厳しい現況を反映して新規大学卒業者の雇用に消極的な意見が際立っており、超買手市場が続いていることがうかがえる。,,
,,▲,－,－,－,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：（財）東北活性化研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,－,－,－,,
,,○,スーパー（経営者）,お客様の様子,・年始における帰省客の贈答により食料品の売上が増加したことに加え、１月に入り厳冬と降雪量の多さで買い回りができないため、ワンストップショッピングをする客が多くなっている。,,
,,○,スーパー（総務担当）,来客数の動き,・平均単価は前年比97％と横ばいで推移し、買上点数は前年比６％を超え、客数も前月同様の推移で前年比を超えているものの、前年度の落ち込みが大きすぎたための伸び率ともいえ、２年前並みに戻した程度である。,,
,,○,コンビニ（エリア担当）,単価の動き,・商品政策の効果が出ており、前月末より既設店舗の売上伸長が続いている。,,
,,○,衣料品専門店（店長）,来客数の動き,・初売りでの売上が前年比10％程度増加したが、20～30代の客の来店が増加したことにある。,,
,,○,衣料品専門店（店長）,お客様の様子,・予報通りに気候が推移し、冬物商材が予想以上に売れている。,,
,,○,衣料品専門店（総務担当）,販売量の動き,・寒波と降雪により冬物商材の売行きは良いが、アパレル関係は厳しくなっている。,,
,,○,その他飲食［弁当］（スタッフ）,来客数の動き,・新幹線延伸開業の影響で、多少は客が増えている。,,
,,○,観光型旅館（スタッフ）,来客数の動き,・宿泊単価は国内団体客が低下傾向にあり、前年同月比では大きく下回る見通しである。また、外国人観光客は売店、パブリック等の利用が少ないため、館内の二次消費の落込みが大きい。一方、宿泊人数は外国人観光客の堅調推移により良化傾向にある。,,
,,○,都市型ホテル（スタッフ）,販売量の動き,・競合している中規模のホテルが今月初めから改装工事に入っており、その影響で一般宴会が増加している。,,
,,○,通信会社（営業担当）,来客数の動き,・スマートフォンへの注目度が高いこともあり、新商品の投入効果と年末年始の販売増により、来客数や引き合いが増加している。,,
,,○,観光名所（職員）,来客数の動き,・国内のフリー客や団体客は、依然として前年を10数％下回っているが、台湾や韓国等の外国人客が好調であるため、全体の来客数は前年を上回っている。,,
,,□,商店街（代表者）,お客様の様子,・初売りは何年ぶりかで活況を呈した。思いのほか寒い１月となり、高齢客を得意とする各店は後半やや失速しているものの、それでも前年並みは確保できている。,,
,,□,商店街（代表者）,販売量の動き,・初売りも活況を呈したといわれているが、大雪の影響を受けた前年と単純比較はできず、好況とまではいえない。,,
,,□,商店街（代表者）,来客数の動き,・大雪の影響で客の来街及び来店回数は低下しているが、新幹線の延伸開業効果で、観光客など地域外の客は確実に増加している。,,
,,□,商店街（代表者）,来客数の動き,・寒さが厳しく、来客数が少ない。,,
,,□,一般小売店［書籍］（経営者）,競争相手の様子,・同業店の店舗増床があり、市場全体としては底上げになっているが、個別では厳しい状況が続いている。,,
,,□,一般小売店［酒］（経営者）,販売量の動き,・高額の商品が売れない状態が続いている。,,
,,□,一般小売店［医薬品］（経営者）,単価の動き,・来客数は引き続き増加しているものの、単価の動きは変わらない。靴下やカイロといった雑貨はよく動いているが、医薬品や化粧品の動きは悪い。,,
,,□,一般小売店［医薬品］（経営者）,単価の動き,・意外にも消費の底堅さが感じられる。単価の高い層では、来店回数、購買行動がここしばらく横ばいを維持している。,,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・低価格商品の販売は好調だが、高額商品の動きは鈍く、売上は横ばいで推移している。,,
,,□,百貨店（売場主任）,来客数の動き,・年末年始の大雪と寒さで、来客数が大幅に減少している。足元が不安定なこともあり、年代の高い客層が少なくなっている。中旬から盛り返してきたものの、前半の落ち込みをカバーするには至っていない。,,
,,□,百貨店（広報担当）,販売量の動き,・低価格志向は変わらないものの、販売量に動きが見られ、売上も前年実績を維持できそうな状況となっている。,,
,,□,百貨店（営業担当）,来客数の動き,・低温や降雪のため来客数が前年比減となっており、売上も来客数ほどではないが減少している。ただし、客の購買意欲が減退しているわけではなく、ここ数か月、客単価の前年比増が続いている。,,
,,□,百貨店（販促担当）,販売量の動き,・初売りやクリアランスといった購買を喚起するような仕掛けに対する反応は大変良いものの、日常においてはいまだに節約志向が続いており、景気はまだ上向いていない。,,
,,□,スーパー（経営者）,お客様の様子,・メリハリのない大雪のため、来客数、客単価共に上がらない。,,
,,□,スーパー（店長）,来客数の動き,・例年より雪の量が多く、真冬日が続いている。道路状況もかなり悪く、来客数は前年に比べ非常に悪くなっている。まとめ買いにより客単価は上がっているが、売上は伸びていない。,,
,,□,スーパー（店長）,販売量の動き,・１人当たりの買上点数が前年比で減少している。また、年末年始商戦が終わり倹約ムードで、必要な物以外購入しないという状況が続いている。,,
,,□,スーパー（店長）,お客様の様子,・年末年始は前年の実績を上回ったが、１月に入り買上点数、客単価共に減少している。また、雪の影響から週末に大型店へ集中する傾向がある。,,
,,□,スーパー（営業担当）,販売量の動き,・食品の動きは良くなったものの、依然として単価の低い商品の動きが主であり、単価の高い商品は特売品など店舗を選んで買い回る傾向が更に強まっている。,,
,,□,コンビニ（経営者）,来客数の動き,・たばこ増税により売上と客単価は増加しているものの、販売数は前年比76％と大幅に減少している。その影響で来客数も前年比96％と減少している。,,
,,□,コンビニ（経営者）,お客様の様子,・来客数は前年比98％、客単価は同103％であり、来客数の減少はたばこ購入の客の減少が原因である。ただし、販売量は落ちているものの客単価が上がったために、たばこの売上は同108％である。客は、給料が上がらないため生活防衛を意識した買い方をする傾向があり、150円を中心としたデザートや、105円を中心とした低単価商品の日配食品、調味料、素材食品が相変わらず好調である。,,
,,□,コンビニ（エリア担当）,来客数の動き,・売上はほぼ前年並みで、客単価は前年比で若干良くなっている。なお、たばこの売上はほぼ前年並みだが、来客数はたばこ増税以降減っている。,,
,,□,コンビニ（エリア担当）,来客数の動き,・気温が低いことも影響していると思われるが、来客数の動きは相変わらず鈍く、回復の兆しもみられない。客単価は前年を大きく超えているが、主にたばこの値上げによるものであり、買上点数や高単価商品の販売が増えている印象はない。,,
,,□,コンビニ（エリア担当）,お客様の様子,・客に節約する様子が見られるため、単価の高い商品やおせちなどの催事物の売上が減少している。,,
,,□,衣料品専門店（経営者）,販売量の動き,・降雪と低温の影響により、セールが始まってから防寒アイテムが好調で、全体の売上を押し上げている。,,
,,□,衣料品専門店（経営者）,それ以外,・新卒採用の減少や雇用形態の変化が起こっている。特に正社員雇用は減少し、パートや臨時雇用が増加している。,,
,,□,衣料品専門店（経営者）,来客数の動き,・来客数は相変わらず低迷している。,,
,,□,衣料品専門店（店長）,販売量の動き,・良い月もあれば悪い月もあり、平均的には変化がない。冬物セールは最終段階に入ったものの、客は安くても必要な物しか買わないため、販売量は変わらない。,,
,,□,家電量販店（店長）,単価の動き,・単価の低下がより一層進んでいるため、来客数は増加しているものの、それだけではカバーできない状況である。,,
,,□,乗用車販売店（経営者）,販売量の動き,・新車販売がエコカー購入補助金の反動減から抜け出せない。例年に比べて新型モデルが多いのだが、需要期にもかかわらず受注が伸びない。,,
,,□,乗用車販売店（従業員）,販売量の動き,・法人客の販売に動きは出てきているが、個人は動きが鈍く、３か月前と変わっていない。,,
,,□,住関連専門店（経営者）,販売量の動き,・中級品に多少の動きは見られるものの、天候が悪く売上は前年を下回っている。,,
,,□,その他専門店［呉服］（経営者）,お客様の様子,・灯油やガソリン等が値上がりしたため、我慢できる物は買わないという状況が続いている。,,
,,□,その他専門店［酒］（経営者）,販売量の動き,・降雪量の大幅な増加や荒天の日が続いていることで、毎日の雪かきが欠かせず、夜の人出が予想以上に少なくなっており、飲食店向けの販売量が落ち込んでいる。一般消費者も除雪費用などの予想外の出費のために財布のひもはますます固くなっている。,,
,,□,その他専門店［靴］（経営者）,お客様の様子,・初売りは前年をやや上回ったものの、それ以降の購買行動は引き続き慎重であり、天候や気温の影響も含め、まだ春物を購入する雰囲気ではない。,,
,,□,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・買い控えとともに、低価格商品ばかりが売れる状況となっている。物件も少ないうえ、入札も叩きあいで利益も出ない。　,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・厳冬の影響で灯油の販売が好調であるが、ガソリン、軽油の販売が前年割れとなっている。加えて、原油価格の高騰で仕入価格が大幅に上昇しているが、末端価格への転嫁が進まず収益の悪化を招いている。ここ数か月この状況が続いており、収益が低下している。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,単価の動き,・価格が安定していない。灯油価格は大分、ガソリン等も徐々には上がってきているものの、思ったほどのマージンは取れない。,,
,,□,一般レストラン（経営者）,来客数の動き,・一般客の入店が非常に少なく、極めて低調な営業が続いている。,,
,,□,一般レストラン（経営者）,販売量の動き,・どん底のように悪い状況は２～３か月前から変わらない。販売量、単価、人の流れ、全てにおいて良いことが１つもない。,,
,,□,一般レストラン（スタッフ）,来客数の動き,・牛丼店の価格競争のあおりを受け、来客数は減少している。,,
,,□,一般レストラン（支配人）,来客数の動き,・来客数は昼夜共に前年同月比で120％の伸びだが、前年が悪すぎたため、何とか２年前の水準に戻った程度である。,,
,,□,観光型ホテル（スタッフ）,お客様の様子,・デフレを反映し、売りたい商品よりも、リーズナブルなものから予約が入るという状況で、景気が良くなったという実感がわかない。,,
,,□,都市型ホテル（スタッフ）,お客様の様子,・宿泊部門は依然として低迷しており、年配客が中心でランチタイムが好調なレストランも、雪が降ると出足が止まっている。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・企業団体の予約、利用状況、個人の宿泊、レストラン利用共に、新年を迎えて回復基調であり、売上が前年を上回ることが多くなってきている。,,
,,□,通信会社（営業担当）,販売量の動き,・携帯電話業界は１～４月と需要期に入っている。１月は前年比150％となり、３か月前との比較では倍の伸びである。,,
,,□,通信会社（営業担当）,お客様の様子,・客との会話から、売上は横ばいとの話が大半であり、景気の上向きはうかがえない。,,
,,□,通信会社（営業担当）,お客様の様子,・客との商談から自動車部品関連企業で一部好況との話は聞くものの、他業種では以前と変わらない。経費削減への意識は公共機関からもうかがえるが、好況に結び付く話題は特に見当たらない。,,
,,□,遊園地（経営者）,来客数の動き,・10日までの限定営業だったが、天候が穏やかだったため、来客数も前年を５％上回っている。,,
,,□,美容室（経営者）,来客数の動き,・来客数が前年比10～15％減の状態が続いている。,,
,,▲,商店街（代表者）,お客様の様子,・12月下旬からの豪雪で客足が鈍っており、正月商戦も盛り上がりに欠けた。ただし、除雪用品を扱う店舗は好調である。また、長靴については今シーズンの在庫を12月に売り切り、現在は欠品である。,,
,,▲,一般小売店［スポーツ用品］（経営者）,お客様の様子,・景気が回復基調にあるという話も聞くが、関東もしくは一部の話であり、東北では先が見えない状況が続いている。,,
,,▲,一般小売店［雑貨］（企画担当）,来客数の動き,・暖房用品や除雪用品といった季節商材が好調な反面、その他の商品は非常に厳しい状況である。,,
,,▲,百貨店（企画担当）,来客数の動き,・新しい１年を占う初売りは好調に推移したものの、その後のクリアランスセールは、残念ながら前年を下回る結果となっている。また、物産展催事への動員も前年より少なく、１月の数値は前年を下回りそうである。,,
,,▲,百貨店（経営者）,来客数の動き,・初売り、冬物クリアランス共に好調なスタートであったが、６日以降気温が下がり、平年の倍の積雪量となっており、交通及び客足に多大なる影響を来たしている。,,
,,▲,百貨店（経営者）,来客数の動き,・初売り初日は前年実績をクリアしたものの、それ以降は厳しい状態である。加えて、主要顧客である年配層が、大雪により外出を控えているため、来客数が減少している。さらに、セール品については再値下げを待っている傾向が見られ、単価が上がっていない。,,
,,▲,百貨店（経営者）,来客数の動き,・降雪の影響による公共の交通機関の運休や道路事情の悪化もあり、来客数が少ない。特に道路の凍結により、食品目当ての夕方の来客数が少なくなっている。アパレルにおいては、防寒を中心に商材は豊富であるものの、取引先の春物展開が遅いため、売場変化に乏しく来店動機になっていない。客からは、景気の先行きに不安要因が多いため、購買意欲がわかない、という声を多く聞く。,,
,,▲,コンビニ（経営者）,来客数の動き,・石油やガソリンが値上がりしており、消費者の財布にはかなりの打撃になっている。,,
,,▲,乗用車販売店（経営者）,販売量の動き,・エコカー購入補助金の終了、及び寒波や豪雪の影響により、来客数が減少し、初荷セールも不発に終わっている。今月の新車販売は、前年比で20％減の見通しである。ただし、環境対応車の販売は低レベルながらも堅調に推移している。,,
,,▲,乗用車販売店（経営者）,来客数の動き,・エコカー購入補助金が終了し状況は厳しい。さらに、この冬の大雪により、新車を購入する意欲が失せている様子がうかがえる。,,
,,▲,乗用車販売店（経営者）,販売量の動き,・初売り期間中、チラシ折込などで来店誘引を図ったものの、新規来店客数は少なくなっている。また、雪の影響で３～４月納車を希望する客が多い。,,
,,▲,住関連専門店（経営者）,来客数の動き,・初売り初日は前年より伸びたが、その後は前年を下回っている。消費者の懐具合をみると、耐久消費財の購入にはまだ厳しい。,,
,,▲,その他専門店［パソコン］（経営者）,競争相手の様子,・周りからは、受注量及び販売料が激減してきているという話が聞こえる。,,
,,▲,その他専門店［酒］（営業担当）,販売量の動き,・飲食店も厳しい状況が続いており、動きは少し良くなってきたものの、いまだ苦戦している。,,
,,▲,高級レストラン（支配人）,それ以外,・身近で失業した知り合いが確実に増えており、自身も不安を感じている。,,
,,▲,一般レストラン（経営者）,来客数の動き,・暇なときと忙しいときの差が大きくなっている。,,
,,▲,一般レストラン（経営者）,来客数の動き,・客単価自体に変化はない。反面、来客数については、昼の客は増えているものの、毎週来店していた人の数が半分に減るなどしている。,,
,,▲,観光型ホテル（経営者）,来客数の動き,・例年だと暮れから正月４日まで満館であったが、今年は３日から平日並みとなっている。また、新年会は高齢の団体客のみで、新規の客は全くない。かろうじて同伴客で客室を埋めるので、人数的に伸びがない。,,
