,,○,通信業（営業担当）,取引先の様子,・前月に引き続き、受注量、投資内容とも、徐々に良くなっている。コスト削減のための先行投資ではなく、純粋な投資も増えていると感じる。,
,,○,その他非製造業［機械卸売］（従業員）,受注量や販売量の動き,・札幌圏では、大型ビル、工場、ショッピングセンター向けの鉄骨製作が進行中で、工事業者への資材供給に苦労するようになってきた。短納期が要求されるので、本州や中国輸出で供給が少なくなっている道内向けの資材確保に苦労している状況である。ただし、価格的には厳しい状況に変わりない。,
,,□,食料品製造業（団体役員）,受注量や販売量の動き,・原油価格の高騰は生産コストの増加となり、関連企業とも商品価格への転嫁ができない状況にあり、限界点に達している。また、二度にわたる台風により、農林水産業といった一次産業は大きな被害を受けている。,
,,□,建設業（経営者）,受注量や販売量の動き,・公共工事の受注が大幅に落ち込んでいる。民間工事は相変わらず単価が厳しい。,
,,□,輸送業（営業担当）,取引先の様子,・原油の高騰による荷動きが心配されるが、今のところは保管貨物を含めて予定どおりに推移している。,
,,□,金融業（企画担当）,それ以外,・設備資金は低調に推移している。燃料価格など原材料価格の上昇を価格転嫁できない企業が多い。特に運輸業、食料品製造業で価格転嫁が遅れている。,
,,□,司法書士,取引先の様子,・前月と同様に、不動産取引や建物の新築等の分野は横ばい状況である。,
,,□,その他サービス業［システムハウス］（経営者）,取引先の様子,・相変わらず厳しい条件での仕事が続いているが、仕事量が減っている訳でもない。,
,,□,その他企業［コンベンション担当］（従業員）,受注量や販売量の動き,・宴会関係の定例物件には大きな動きはない。宿泊に関しても道内、道外客とも、動きに活発さはない。,
,,▲,＊,＊,＊,
,,×,＊,＊,＊,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,人材派遣会社（社員）,それ以外,・派遣のオーダーが増加している。ＩＴ関連の技術者及びコールセンター要員のオーダーが特に増えており、事務系の職種についても派遣オーダーが増えている。正社員の求人も堅調であるが、求めるスキルが高く、なかなか成約しない。,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・前年比で求人件数が二けたの伸びをしている。特に、建設業や飲食業といった業種で増えており、職種では派遣・業務請負等の間接雇用、アウトソーシング系の求人が増えている。,
,,○,職業安定所（職員）,求人数の動き,・新規求人が増加傾向にある。,
,,○,職業安定所（職員）,求人数の動き,・有効求人倍率が前年比で0.10ポイント上昇しており、新規求人数が10か月連続で前年を上回っている。しかし、パート求人の割合は相変わらず高く、正規雇用を希望する求職者には厳しい雇用環境である。,
,,○,学校［大学］（就職担当）,求人数の動き,・大学を訪問し、今後採用したいという企業が増えてきている。通年採用や秋採用もあるなど、求人が増えている。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・請負、又は派遣の求人件数が微増だが伸びている。しかし、本州方面の求人が主体となっていることから、地元の求人には結びついておらず、全体としては変化はない。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は４か月ぶりに増加したものの、前年と比べて0.8％の微増にとどまっている。今年度４～８月までのトータルでも前年と比べて4.2％減少しており、依然として厳しい水準にある。,
,,□,職業安定所（職員）,求人数の動き,・求人数の総数は増加しているものの、地元就業の求人は増加していない感じを受けている。,
,,▲,＊,＊,＊,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,＊,＊,＊,
,,○,一般小売店［書籍］（経営者）,販売量の動き,・高定価の本が販売開始となり、大きな売上貢献があった。,
,,○,一般小売店［カメラ］（店長）,販売量の動き,・デジタルカメラなどの新製品が発売になったり、発売予告されてる商品もあり予約も入っている。ただ台風、雨などの天候の悪い日が多かったので写真関係は不調である。,
,,○,スーパー（経営者）,来客数の動き,・既存店の来店客が増加している。また、買上点数が下げ止まっている。,
,,○,スーパー（店長）,競争相手の様子,・前年９月、競合店が近隣に出店し、今月で１年が経過した。売上は横ばいであるが、前年と比べ客が多少戻っている状況である。,
,,○,衣料品専門店（店長）,来客数の動き,・スーツ礼服等の動きは鈍いが、関連商品であるシャツ、タイ、雑貨またカジュアル商品の動きが良く、売上高でカバーできるだけの集客が図れている。客数が回復傾向にあることが前年実績を上回っている最大の要因である。,
,,○,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・10月１日の衣替えを控え、９月は結構受注数も伸びまぁまぁ良い。しかし単価的には安いものから動き出すという動きは変わらない。今まで我慢してきた企業も今回の衣替えでは動き出している。,
,,○,美容室（経営者）,来客数の動き,・若干であるが、来客数が増えている。オリンピック効果なのか分からないが、そうした数字が出ている。,
,,○,住宅販売会社（従業員）,販売量の動き,・３か月前に比べ、明らかに受注量、販売量は増加しており、完成在庫もさばけてきている。,
,,□,商店街（代表者）,お客様の様子,・ひところの低価格一辺倒というのは影をひそめているが、品質やデザイン等を見る眼が厳しくなっていて、数があまり出ないのが現状である。,
,,□,商店街（代表者）,単価の動き,・客足が極端に悪かったわけではないが、客単価の低下傾向があり、売上の前年並み確保に苦慮している。,
,,□,商店街（代表者）,お客様の様子,・８月に実施したイベントで、一時的に商況の盛り上がりを見たが、お盆以降は商店街の人通りは減少している。インテリアショップが夏用の暖簾を完売し、売上を増加させている。,
,,□,一般小売店［茶］（経営者）,お客様の様子,・目黒にサンマを持っていって試食会等を開催したが、今月のサンマ漁は例年になく少なく、知人の宅配業者も悲鳴をあげている。,
,,□,一般小売店［雑貨］（企画担当）,お客様の様子,・来客数の動きを見ていると天候に影響されている動きであり、連続していい結果が出ず、また悪い方向にも動かない一進一退の状況が続いている。,
,,□,百貨店（売場主任）,お客様の様子,・婦人服は、ミセス層で厳しい中にも堅実な消費が出てきており、今のところ低め安定といった状況である。,
,,□,百貨店（売場主任）,来客数の動き,・９月の中旬に食品催事を実施し、大幅に予算を達成した。それなりに入店客数もあり各売場でもシャワー効果があったが、それ以外の日は入店客数が少なく、特に土日の落ち込みがひどい。,
,,□,百貨店（企画担当）,お客様の様子,・衣料品は全く動いていないが、食料品の物産展は依然として好調である。それはなかなか手に入らない、珍しい、美味しい等の要因が、客の購買動機につながっているためであり、逆から言えばいつでもあるものやいつでも買えるものには手を出さないという事である。,
,,□,百貨店（企画担当）,販売量の動き,・今月の売上は、前年をキープできるすれすれのところであったが、今日台風の影響で売上が厳しくなっている。全体的にはひどい状況ではない。,
,,□,百貨店（広報担当）,お客様の様子,・残暑の中で、衣料品を中心にほぼ秋物の展開をしているために苦戦していた。それでも月の中盤までは前年を維持していたが、終盤にかけての天候不順で失速気味となり、その結果トータルで前年割れとなっている。,
,,□,百貨店（売場担当）,来客数の動き,・秋の全面改装を実施したが、初日でも客の入りはあまり良くなく、また上階で実施している催事のシャワー効果もあまりない。,
,,□,百貨店（販促担当）,お客様の様子,・ミセス対応フロアの改装オープンで売上は堅調であるが、改装前のマイナスを差し引いてとんとんという状況である。,
,,□,スーパー（経営者）,販売量の動き,・今月は新米が出る月であり、後半は新米の売上に期待したが、各社同じ値段で競争したため、今月の米の動向はほぼ去年と同じである。,
,,□,スーパー（経営者）,お客様の様子,・９月に入り秋らしい気候となっているが、猛暑の疲れが感じられる。また野菜等の単価も軒並み低迷が続いている。,
,,□,スーパー（店長）,単価の動き,・１人当たりの買上点数も前年並みに回復してきたが、相変わらず１品単価は前年より２％程度下がっており売上の増加にはつながらない。,
,,□,コンビニ（エリア担当）,単価の動き,・売上自体はひと頃に比べ持ち直しの感はあるが、単価が割れている。客数はほぼ前年並みで推移しているが、単価が割れている分売上もスライドしている。良い方向に向かっているというのは現場からは見えない状況である。,
,,□,コンビニ（エリア担当）,単価の動き,・客数は前年並みであるが、客単価は依然として前年を割っている。前年の９月もその前の年を割っており、ここ４年ほど連続して客単価が前年を割っているような状況である。,
,,□,衣料品専門店（店長）,来客数の動き,・秋物定価品が稼動し始め、単価アップに貢献しているが、来客数の前年割れが続いている。,
,,□,乗用車販売店（経営者）,販売量の動き,・新型車及び低価格車の受注販売は上向きであるが、需要全体としてははっきりとした回復の兆しが見えてこない。,
,,□,住関連専門店（経営者）,来客数の動き,・残暑や台風等による天候の悪影響が大きく、入店客数が大きく減っている。,
,,□,その他専門店［家電］（経営者）,お客様の様子,・客の最近の生活スタイルに、倹約というものが定着し、余計なものは買わない、壊れるまで使う、買う時には高付加価値商品ではなく、ただ使えればいいという考えが多く、その傾向は改善されず今後のプラスの可能性は薄い。,
,,□,その他専門店［パソコン］（経営者）,競争相手の様子,・５社の内、１社は売上実績が順調に推移していて他の４社に関しては相変わらずの厳しい状況の話が聞かれる。良い１社は当然企業努力もしているが他の４社が努力していないはずはなく、やはりならしてみると、まだ上向きではない。,
,,□,一般レストラン（経営者）,来客数の動き,・９月の状態は、個人客の出足が思わしくなく、特にディナータイムの来客数が少なくなっており、一時盛り上がって来たように思われた景気も足踏み状態になっている。,
,,□,スナック（経営者）,来客数の動き,・サラリーマン客の数がかなり減っている。当店は趣味のグループがある一定のサイクルで来店しているので何とか保っているが、近所の店２軒が店じまいした。そういう地域であると思っているが、店自体の魅力が無いのかもしれないので、コスト次第では改善できるかもしれない。,
,,□,その他飲食［そば］（経営者）,単価の動き,・来客数に変化はないが、単価は若干下がっている。前年に比べ５％低下しておりそれがそのまま売上に響いている。単価が上昇する様子は全く見当たらない。,
,,□,観光型ホテル（スタッフ）,来客数の動き,・温泉表示の問題で、マイナス要素に働くとみていたが、今のところ当温泉地では影響が出ていないので一安心である。,
,,□,観光型旅館（経営者）,来客数の動き,・来客数の伸びに売上がついていかないのが悩みである。単価割れはまだまだ収まっていない。しかし大浴場、露天風呂を中心とした投資効果が底堅く出てきており、これが心強いところである。,
,,□,都市型ホテル（経営者）,販売量の動き,・客の動きが良くない。また出入りしているクリーニング屋の話では、市内の他のホテルを回っても取扱が少なくなっているということである。,
,,□,都市型ホテル（経営者）,来客数の動き,・宿泊に関して言えば、今月はスポーツマスターズがあり、それに関する４日間は全国からの客が来ており動きは良かったが、こうしたイベントの無い平日は２～３か月前と変わらない。宴会については大きな大会等が無く、前年に比べ若干のマイナスである。,
,,□,都市型ホテル（スタッフ）,販売量の動き,・前年に比べ、一般宴会は109％と若干上回ったが、婚礼、レストラン、宿泊は低迷し、損益分岐点までにはほど遠い結果となっている。４～９月の上半期の落ち込みはかなり深刻な状況である。,
,,□,テーマパーク（職員）,来客数の動き,・来客数が前年比98％であるが、客単価が100円アップして、売上は前年並みになりそうである。,
,,□,観光名所（職員）,来客数の動き,・通常であれば９月は団体客が動く時期であるが、今年は台風が何度も到来し、舟下りが運休し人数に響いている。客が来ないと食堂や売店全部に影響を及ぼし、今月は景気が悪い。,
,,□,遊園地（経営者）,来客数の動き,・９月はここ２年、天候に恵まれ良い仕上がりとなっていたが、今年は台風や秋雨の影響もあり、前年には８％及ばない見通しである。同業他社との共同キャンペーンは単価を下げることになったが集客効果があった。,
,,▲,スーパー（経営者）,来客数の動き,・消費税総額表示以来、しばらく低迷を続けていた消費動向が、６月ごろから回復基調に入り、７、８月の猛暑で飲料や夏物商材等の動きが順調で比較的商品量や客の動向等がプラスに転じてきた。しかし９月に入り気温が平年並みに戻り、台風等の天災もあり消費動向が急速に冷え込み、特に客数に大きな変化が出ている。,
,,▲,スーパー（店長）,来客数の動き,・８月までの客数伸長と比較すると９月直近では２％ほど客数が減少している。競合各社のディスカウントチラシ合戦が更に最近激化している状況である。,
,,▲,スーパー（企画担当）,来客数の動き,・前月まで唯一安定してきた客数が、台風や猛暑、競合の激化等を背景に大きく減少してきている。１品単価の下落と共に大変厳しい状況である。,
,,▲,コンビニ（店長）,来客数の動き,・前月のオリンピック以来客足が落ち込んでいて戻らない。７、８月の猛暑で過剰消費をしたりＡＶ機器購入の反動によるものかもしれない。,
,,▲,衣料品専門店（経営者）,お客様の様子,・例年、敬老会等の外出着やお祝いの品が出ていたが、今年はほとんどない。残暑のために秋物のスタートでの販売が悪く困っている。,
,,▲,衣料品専門店（経営者）,来客数の動き,・ファッション業界はどうしても気温に左右されがちである。通常であれば８月のお盆過ぎから涼しくなり、９月に秋物が動き出すが、前年に比べ平均で４～５度気温が高く、客数も少なく秋物の動きが前年より苦戦している。,
,,▲,衣料品専門店（店長）,来客数の動き,・例年であれば、この時期にはジャケット等の行楽マーケットが動き出すが、今年は本当に動きが悪い。それに加え礼服等の礼装目的の来店も例年に比べて半減している状況で、来客の遅れが深刻になっている。,
,,▲,乗用車販売店（経営者）,来客数の動き,・輸入車販売では、８月に比べ９月は需要があり、ほぼ計画通りであるが、契約まで時間がかかり低価格の車が中心である。,
,,▲,自動車備品販売店（経営者）,お客様の様子,・連続した台風の被害により風倒、塩害及び落果等、稲作や果樹等が被害を受けて収量減や等級の低下などがある。,
,,▲,住関連専門店（経営者）,お客様の様子,・改装セールを企画したが、なかなか客の財布のひもが固く、売上に結びつかない。,
,,▲,その他専門店［酒］（経営者）,販売量の動き,・７月からの猛暑が終わり、８月15日を境に、既存店の売上高が急激に落ち込んでいる。,
,,▲,その他専門店［酒］（営業担当）,販売量の動き,・世の中全般は、景気は変わらないようだが、酒類業界では下げ止まり感がない。特に日本酒は焼酎に押されて分が悪い状態である。,
,,▲,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・９月１日からの燃料価格の値上げの影響で販売数量の前年割れが続いている。ガソリンの販売数量は既存店ベースで90％台前半である。その中で、燃料油以外の商品の販売も低調であり特に高額商品の荷動きが悪い。中小企業の小口倒産が続いていることから金回りが悪くなっている。,
,,▲,観光型ホテル（経営者）,来客数の動き,・今月は８月のハイシーズンと10月の旅行シーズンの端境期で客が少ないのが通例であるが、特に地震のあったイレギュラーな去年の入込数より悪い。名所や見学場所に乏しく温泉だけの商品では不利である。今月は週末や連休のみに客が集中し、平日の落ち込みがとても大きい。,
,,▲,観光型旅館（経営者）,来客数の動き,・５～８月にかけての落ち込みは非常に激しい。９月は落ち込み具合もやや落ち着いてきたが、それでも客数、売上とも前年を割り込んでいる。客層をみても、県内の個人客やグループは激減し、県外客にシフトしてきている。,
,,▲,都市型ホテル（スタッフ）,来客数の動き,・全体的に市場の厳しさにより婚礼関係が苦戦している上に、宿泊、レストラン関係も依然として利用者数の前年割れが続いている。価格競争も限界点に近いところにあり市内の各ホテルでも悪戦苦闘が続いており、損益分岐点を引き下げてもそれ以上に宴会部門の売上が減少し、収支が整わない状況である。,
,,▲,通信会社（営業担当）,お客様の様子,・中小企業に対する割安電話案内の営業をしているが、百円、千円単位でも安くなるという提案に対して熱心に耳を傾けてくれる。少しでも経費を安く抑えたいということが分かる。逆の見方をするとそれだけ景気が悪いと推測される。,
,,▲,観光名所（職員）,来客数の動き,・９月も前月に続き入場者は前年を若干下回る見込み。10月は大きなイベントを予定し対前年増を目論んでいる。,
,,▲,住宅販売会社（経営者）,販売量の動き,・前年比127％と好調といえる反面、３か月前比68％にとどまっており判断が難しい。,
,,×,一般小売店［医薬品］（経営者）,お客様の様子,・９月上旬は夏の暑さが続き、その後は台風で、夜に繁華街に出て飲んで歩くという状況でなく、客足が途絶えている。客も異口同音にそんな時に飲み歩きたくないと言っている。,
,,×,住関連専門店（経営者）,単価の動き,・耐久消費財を販売しているが、年々単価が下がり、同じ本数を出しても利益につながらない商いが続いている。,
,,×,一般レストラン（経営者）,来客数の動き,・例年９月は年間でも低い売上状況であるが、客数においては前年比で約５％のダウンで抑えられた。８月同様に４月からの消費税総額表示が来客頻度の低下につながっている。,
,,×,タクシー運転手,販売量の動き,・今まで何度も言ってるが、タクシーチケット利用者がいない。企業の人はタクシーを利用しなくなっていて、利用しても近距離である。,
,,×,タクシー運転手,来客数の動き,・各社前年比を割っており、１台当たり１日の売上が5000円位の減収になっている。乗務員は生活費が稼げず退社している者が多く、各社車両に空きが目立っている現状である。,
"企業
動向
関連

(東北)",,◎,－,－,－,
,,○,農林水産業（従業者）,受注価格や販売価格の動き,・９月の気温も高めで良かったので、桃の品質も良く、甘く、単価も平均並みで良い。,
,,○,食料品製造業（経営者）,受注価格や販売価格の動き,・秋冷とともにようやくおでん等の秋冬物商材に動きがみられるようになっている。今年の特徴として、これまでの100円均一商品以外の高単価の新商品が一部で定着するようになっており、収益性向上に向けた商品開発の必要性を認識している。,
,,○,食料品製造業（経理担当）,受注量や販売量の動き,・９月以降、秋らしい涼しい日も増え、需要も戻ってきている。特注や新製品の投入もあり、前年比120％と工場は忙しい。,
,,○,広告代理店（従業員）,受注量や販売量の動き,・案件の量は増えており、売上も微増している。ただし、従来まで特名発注（随意契約）だったものが、価格競争や企画コンペ等にさらされ、利益を大幅に食われているのが現状である。,
,,○,その他非製造業［飲食料品卸売業］（経営者）,受注量や販売量の動き,・夏がとても暑い年は、夏物が動くものの残暑の時期になると夏枯れのようになるが、今年は一般に商品が広く売れている。,
,,□,繊維工業（総務担当）,受注価格や販売価格の動き,・３か月前の秋冬物生産の初期段階と比較し、その後も受注価格や販売価格に伸びが見られず厳しい状況が続いている。,
,,□,出版・印刷・同関連産業（経理担当）,受注量や販売量の動き,・当社の属する印刷市場は縮小横ばい基調にあり、価格競争だけが続いている。,
,,□,建設業（経営者）,受注量や販売量の動き,・公共投資額の減少が地域建設業全体にボディーブローとなっている。,
,,□,建設業（経営者）,受注量や販売量の動き,・リフォーム工事の問い合わせが多く、それが成約につながっている。また住宅減税への駆け込み受注が発生している。,
,,□,金融業（営業担当）,取引先の様子,・景気の動向を左右する建設受注が依然低調である。一部電子部品関連産業が好調であるが、総体の景気動向への影響は限定的にとどまっている。,
,,□,広告業協会（役員）,取引先の様子,・テレビ局においてはスポット枠をほとんど東阪名に持っていかれ、地元では良い時間帯は取れない状態にある。理由はまとめて東阪名で販売したほうが良いからである。,
,,□,新聞販売店［広告］（店主）,受注量や販売量の動き,・中央では回復基調だというが、チラシ折込や読者の減少という面から、地域経済は変わらないか、やや悪いに近い変わらないという状態である。,
,,□,経営コンサルタント,取引先の様子,・消費財関連の卸売業では、ここ２か月ぐらい出荷量が低迷し、販売先の店頭での売行きも芳しくないまま推移している。,
,,□,その他非製造業［飲食料品卸売業］（経営者）,受注量や販売量の動き,・依然として販売実績の改善はみられない。アルコールの種類間での競争は一段落し、焼酎、チューハイ、発泡酒が勝組である。特に本格焼酎のブームは、芋から黒糖、泡盛と原料を変えて持続している。新たな波が来るのを待つか、誰かが起こさねば状況は変わらない。,
,,▲,電気機械器具製造業（経営者）,取引先の様子,・上期を見ると、忙しい割には利益が出ていない。原材料高に加え取引先のコストダウン要求が厳しい状況である。作り過ぎの状況になりつつあり生産調整が始まっている。,
,,▲,コピーサービス業（経営者）,取引先の様子,・コピーサービスの需要が激減しており、仕事そのものがない状況である。裏を返せば建物の新築工事が少ないということである。また来店客も激減している。,
,,×,＊,＊,＊,
"雇用
関連

(東北)",,◎,職業安定所（職員）,求人数の動き,・新規、有効とも前年比で求人が増加し、求職の減少が続いており、有効求人倍率も全数で１倍台の回復をみた。,
,,○,人材派遣会社（社員）,雇用形態の様子,・実例として、某システム企業から複数の派遣依頼の案件があり、拠点ごと当市に新規進出したものの構成メンバーを全員派遣社員としている。前月の都市銀行のケースに共通するが、雇用形態の流動化が地方でも加速しつつある。,
,,○,人材派遣会社（社員）,周辺企業の様子,・通信業界において、新サービスのサービス合戦が始まり、電話での営業的な仕事の派遣依頼が増えている。,
,,○,新聞社［求人広告］（担当者）,求人数の動き,・大規模ではないが、新工場ができたり、新たな郊外型流通ができたりと採用は多少ではあるが増えつつある。,
,,○,職業安定所（職員）,求人数の動き,・新規求人が新規の開業等に伴い前年に比べ大幅に増えている。,
,,○,職業安定所（職員）,求人数の動き,・求人数は常用、パートともに大幅に増加し２か月連続して２けたの増加となっている。一方求職者は在職者が増加しているものの離職者や無業者の減少から全数では減少傾向が続いている。,
,,□,人材派遣会社（社員）,求職者数の動き,・新規の登録者数が今一つ盛り上がらない。さらに既存の登録者にも勤務中の者が多い。当社を取巻くこれらの状況からは、「失業率」が低下しているように思える。,
