分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(東北)",,◎,－,－,,
,,○,商店街（代表者）,,・連休明けは例年通り消費が落ちているが、給料日と同時に売上が増加しており、マインドは良くなっている。,
,,○,百貨店（企画担当）,,・売れる商品と売れない商品がはっきり分かれてきているが、衣料品の売上が増加している。,
,,○,インテリア専門店（従業員）,,・売上にはまだつながっていないものの、来客数が増加してきている。,
,,○,高級レストラン（経営者）,,・人も物も少しずつ動いてきており、明るい材料である。,
,,○,一般レストラン（経営者）,,・客単価は相変わらず低いが、法人利用が少しずつ増加している。,
,,○,テーマパーク（職員）,,・予約段階で東北地域以外の客の申込が増加している。,
,,○,旅行代理店（従業員）,,・ゴールデンウィークは国内旅行が不調であったものの、海外旅行はヨーロッパなどの長期滞在型商品が比較的堅調に伸びている。,
,,○,美容室（経営者）,,・連休以降、少しずつ客数が増加してきている。,
,,○,美容室（経営者）,,・客の動きとして、先行きの不安感よりも安心感が出ている印象を受ける。,
,,□,百貨店（企画担当）,,・中旬以降の低温の影響もあり、衣料品、装飾品関係が依然苦戦している。特にヤングキャリア層の動きが鈍い。,
,,□,百貨店（売場主任）,,"・ゴールデンウィークは行楽へ出かける客が多く、駅前商業施設への来客数は圧倒的に少なかった。
・気温上昇に伴う夏物衣料や、母の日ギフトに動きもみられたが、全体としては変わらない。",
,,□,スーパー（企画担当）,,"・単価の低下は止まらず、低価格志向はむしろ強まっている。
・チラシ配布の効果は続かず、客がチラシをもって買い回りしている姿が多くみられる。",
,,□,乗用車販売店（従業員）,,・新車販売は依然として前年割れであり、特にトラック、商用車は活気がない。,
,,□,一般レストラン（経営者）,,"・売上が低調なまま全く良くなっていない。
・客の話を聞いても、できるだけ外食を控える声が圧倒的に多く、回転寿司では、一皿でも節約しようとする客がみられる。",
,,□,観光型ホテル（経営者）,,・５月は例年本格的な観光シーズンに入るが、今年は総選挙の影響が大きく、売上は横ばいだが、観光客の入込数が１割減で推移している。,
,,□,都市型ホテル（スタッフ）,,・ホテルの宴会は件数こそ変わらないものの、単価は依然として低下している。,
,,□,タクシー運転手,,"・相変わらず乗客が少ない。
・タクシーチケットを利用する客が少ない。",
,,▲,一般小売店［お茶］（経営者）,,・天候がかなり不順であったため、農作物や漁への不安が影響し、買い控えにつながっている。,
,,▲,スーパー（店長）,,・今年の連休は大型だったので、レジャー産業や外食産業は好調のようであったが、スーパーやデパートなどの小売業は苦戦している。,
,,▲,スーパー（企画担当）,,・競合他社がチラシに100円均一商品を投入しており、当社も減収覚悟でやらざるを得ない。,
,,▲,衣料品専門店（店長）,,・気温が上昇し夏物が売れてきたが、高額なスーツ、礼服などの需要は動かず、ワイシャツ、スラックス、ネクタイなど小物しか売れていない。,
,,▲,その他専門店［酒店］（経営者）,,・ゴールデンウィークから月末にかけて、予想以上に売上が伸び悩んでいる。,
,,▲,高級レストラン（スタッフ）,,・選挙の影響か、客の利用状況が悪い。,
,,▲,高級レストラン（スタッフ）,,・個人客の利用は通常給料日後には多くなるが、今月は財布のひもが固く、個人客数が減少傾向になってきている。,
,,▲,スナック（経営者）,,・今までそれほど景気に左右されなかった常連客や若者たちの来店回数が減少してきている。,
,,▲,遊園地（経営者）,,・ゴールデンウィーク、週末と天候が悪く、客数が伸び悩んでいる。,
,,▲,住宅販売会社（経営者）,,・住宅の着工はある程度あるが、受注が減少傾向にある｡,
,,×,スーパー（総務担当）,,・売上の減少が続いており、悪くなっているとしかいいようがない。,
,,×,スナック（経営者）,,・売上が減少傾向にある。,
"企業
動向
関連

(東北)",,◎,－,－,,
,,○,食料品製造業（従業員）,,・ゴールデンウィークの期間が長かったため、土産品の出荷が増加している。,
,,○,広告代理店（従業員）,,・広告の出稿量が増加している。,
,,○,広告代理店（従業員）,,・プレ国体、サッカーの国際大会が予定されていることや、決算が顕著な伸びを示した企業が比較的多かったことから、出稿量の増加など好影響が出ている。,
,,○,輸送業［航空貨物］（従業員）,,・取扱量の増加に伴う専用便の大型化など、貨物量の伸びが順調に推移している。,
,,○,経営コンサルタント,,・設備投資や人材教育など前向きな相談内容が増加している。,
,,□,電気機械器具製造業（経営者）,,・受注の引き合いはあるが、成約まで時間がかかる。,
,,□,電気機械器具製造業（従業員）,,・業界の中では半導体関連以外は動きがない状態である。,
,,□,広告代理店（従業員）,,・広告受注のペースに大きな変化がみられない。,
,,▲,－,－,,
,,×,－,－,,
"雇用
関連

(東北)",,◎,－,－,,
,,○,人材派遣会社（社員）,,・受注が増加傾向にあり、取引先への提案件数も増加している。,
,,○,人材派遣会社（社員）,,・通信会社やＩＴ関係の派遣需要が増加しており、仕事が忙しくなってきている。,
,,○,人材派遣会社（社員）,,・ＩＴメーカーを中心に求人が増加しており、企業が前向きになって新たな人材投資を始めていると感じる。,
,,○,新聞社［求人広告］（担当者）,,・求人広告はまだ少ないものの、情報・金融・証券関連が順調である。また、車両関連の求人が多くなってきている。,
,,□,人材派遣会社（社員）,,・人材派遣の受注は増加しておらず、リストラなど後ろ向きのものばかりである。,
,,□,新聞社［求人広告］（担当者）,,・求人は回復傾向にあるものの、流通・不動産などの柱となる業種の低迷が続いており、全体的には上向き傾向とは言えない。,
,,▲,＊,＊,,
,,×,－,－,,
,,,,,,
　３．関東,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(関東)",,◎,＊,＊,,
,,○,コンビニ（店長）,,・客単価は３か月前と比べても依然として厳しいが、客数は増加傾向にある。,
,,○,乗用車販売店（従業員）,,・来場者数が徐々に増加している。,
,,○,一般レストラン（店長）,,・客単価は低いままだが、客数は増加している。,
,,○,都市型ホテル（スタッフ）,,・宿泊人員が伸びてきているので、やや良くなっている。,
,,○,旅行代理店（従業員）,,・団体旅行者や個人旅行者が増えている。,
,,○,旅行代理店（従業員）,,・店頭の来客数、取扱額が増加している。,
,,□,百貨店（販売促進担当）,,・ミッシー、ミセスにおいて、ブラウスでもジャケットとして着られる汎用性の高いタイプの商品がよく売れている。Ｔシャツも好調だが、手持ちの服との着回しを考え、無駄な消費はしないようである。,
,,□,百貨店（売場主任）,,・前月まで延びていた来客数が、今月からは横ばいになっている。客の購買動向も日用品が中心で横ばいである。,
,,□,スーパー（統括）,,"・食品関連は順調に業績が伸びている。夏物の衣料・生活関連商材は相変わらず厳しい。
・客数は増加しているが、客単価や売上点数の減少は続いている。",
,,□,スーパー（経営者）,,・来客数は増加しているが、平均単価が漸次低下している。,
,,□,衣料品専門店（従業員）,,・衣料、雑貨を含め単品購入が多く、単価も低い。ただしブランド品は比較的順調である。,
,,□,乗用車販売店（従業員）,,・新型車が発売となったが、売上が伸びない。,
,,□,高級レストラン（支配人）,,"・宴会の受注が若干減少している。
・株主総会を自社で開催したり、役員の食事会の単価が低下するなど、各社の経費削減が目にみえて分かる。",
,,□,都市型ホテル（スタッフ）,,・宴会の予約状況等が芳しくない。公務員倫理法ができたこともあり、客の動きが鈍い。,
,,□,競馬場（職員）,,・入場者数、売上金額ともにこの３か月同水準で推移している。１人当たりの売上も同様である。,
,,□,住宅販売会社（従業員）,,・３か月前に比べ、商談が増えてもいないし減ってもいない。,
,,▲,一般小売店［お茶］（経営者）,,・５月連休後の客の買い控えや、真夏日が続くなど気温上昇の影響を受け、売上が落ち込んでいる。,
,,▲,一般レストラン（経営者）,,"・５月から客足が急に止まった。
・ケータリングも、公務員倫理規定で役所関係の飲食が禁止されたためなくなり、売上が減少している。",
,,▲,スナック（経営者）,,"・客数が減少している。
・来店客がタクシーで帰らず、電車の時間を気にしている。",
,,▲,旅行代理店（従業員）,,・ゴールデンウィーク期間中が良かった反動で、客数が減少している。,
,,▲,タクシー運転手,,・５月後半には、ゴールデンウィークでの出費の反動か、タクシーの利用率が下がっている。,
,,▲,その他サービス［学習塾］（経営者）,,・売上が減少している。,
,,×,＊,＊,,
"企業
動向
関連

(関東)",,◎,－,－,,
,,○,電気機械器具製造業（経営者）,,・受注増で対応に追われる会社が増えている。,
,,○,精密機械器具製造業（経営者）,,・規格の単品ものなどがかなり出てきており、連休明けはどこの工場も忙しい状況であった。ただし、継続性のある品物は依然出てきていない。,
,,○,その他製造業［印刷］（経営者）,,・通常だと大型連休明けは一段落するが、会社の設立関係で注文がきており、業況は上向きになっている。,
,,○,輸送業（統括）,,・コンビニエンスストアへ食品の輸送、搬入を行っているが、取扱量の減少は全くみられず、仕事は忙しさを増している。,
,,○,その他企業［情報サービス］（従業員）,,・客からの設備投資に関する相談件数が増加しており、投資に対する景気の回復が若干みえている。,
,,□,その他製造業［金属製品］（総務担当）,,・思ったほど受注量はなく、相変わらず単価も厳しい。,
,,□,非製造業［廃棄物処理］（経営者）,,・注文数、問い合わせ数が若干増えているようにも感じられるが、価格競争が激しく、景気が上向いているとは言いにくい。,
,,▲,その他製造業［プラスチック製品］（経営者）,,・５月の連休明け以降、受注、問い合わせ、新規見積が減少している。,
,,×,＊,＊,,
"雇用
関連

(関東)",,◎,－,－,,
,,○,人材派遣会社（社員）,,・派遣先からの求人が増えている。この傾向は年度初めから続いており、企業の求人意欲が旺盛である。,
,,○,求人情報誌製作会社（営業担当）,,・問い合わせ件数が増加している。,
,,□,人材派遣会社（社員）,,・全体として雇用状勢に変化はない。いまだ統合や合併による人員整理を実施する企業がある反面、必要最低限の雇用を確保しようとする企業も出てきており、二極分化がみられる。,
,,▲,人材派遣会社（社員）,,"・売上や客数が増加しないために、売場の撤去が続いて解雇者が出ている。
・長期勤務者の手数料の削減がある。",
,,▲,新聞社［求人広告］（営業担当）,,・売上の減少に伴い、利益を生み出すための経費節減が行われる。そのため、募集費用の削減傾向が著しく、値引きを要求される。,
,,×,－,－,,
,,,,,,
　４．東海,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(東海)",,◎,一般小売店［土産］（経営者）,,・客単価は低下しているが、客数は増加している。,
,,◎,都市型ホテル（スタッフ）,,・ゴールデンウィークの客単価が例年より高くなっている。,
,,◎,テーマパーク（職員）,,・ゴールデンウィークの来客数が予想以上に増加している。,
,,◎,住宅販売会社（従業員）,,・マンション購入に前向きな客が増加している。,
,,○,百貨店（販売促進担当）,,"・婦人服に動きが出ている。
・様々な商品が売れるようになり、客が販売促進策にも反応するようになってきている。",
,,○,百貨店（売場主任）,,・一部高額商品等に動きが出ている。,
,,○,スーパー（店長）,,・売上が増加し、客の衝動買いも増えている。,
,,○,スーパー（店長）,,・客単価がやや上昇している。,
,,○,スーパー（店長）,,・少し値段が高くても、良い商品は良く売れている。,
,,○,家電量販店（店員）,,・売上等の数字がかなり良くなってきている。,
,,○,乗用車販売店（従業員）,,・販売台数が増加している。,
,,○,スナック（経営者）,,・連休があったにもかかわらず客数が増加している。,
,,○,観光型ホテル（スタッフ）,,・パーティー、宴会でのコンパニオン需要が７％程度伸びている。,
,,○,都市型ホテル（スタッフ）,,・客からの問い合わせが増えている。,
,,○,住宅販売会社（従業員）,,・住宅の契約などに対して、客の決断がやや早くなってきている。,
,,□,商店街（代表者）,,・客単価の上昇がなく、自家消費にも変化はない。,
,,□,百貨店（企画担当）,,・来客数が横ばいで、景気回復の目安とされる紳士服、法人需要も勢いがない。,
,,□,スーパー（店長）,,・夕方の食料品等見切り品の売行きが良くなり、質的には変わってきたが、依然として客数、客単価は横ばいである。,
,,□,コンビニ（エリア担当）,,・客単価の低迷が続いている。,
,,□,コンビニ（店長）,,・３か月前には５月の状況が良くなると思っていたが、良くなっていない。,
,,□,家電量販店（経営者）,,・来客数は増加しているが、客単価が低下している。,
,,□,その他専門店［雑貨］（店員）,,・客数、客単価ともに横ばいである。,
,,□,乗用車販売店（従業員）,,・新商品は良く売れている一方で、従来品は伸び悩んでいる。,
,,□,高級レストラン（スタッフ）,,・日によって客数に波がある。,
,,□,テーマパーク（職員）,,・客数が天候やイベントの有無に左右される状況が続いている。,
,,□,テーマパーク（職員）,,・ゴールデンウィークは堅調であった。,
,,□,タクシー運転手,,・法人、個人ともに変化がみられない。,
,,▲,一般小売店［土産］（営業幹部）,,・個人消費が依然として低迷している。,
,,▲,百貨店（販売促進担当）,,・セントラルタワーズの開店効果も薄れ、限られた需要を分け合う状況になってきている。,
,,▲,百貨店（売場主任）,,・客数が大幅に減少している。,
,,▲,コンビニ（店長）,,・単価の低い発泡酒の比率が増加している。,
,,▲,スナック（経営者）,,・２、３月の売上は前年より増加したが、４、５月の売上が前年より減少している。,
,,▲,ゴルフ場（経営者）,,・ゴルフ業界では値引き競争が激化している。,
,,▲,タクシー運転手,,・夜間の客が減ったため、売上が減少している。,
,,×,－,－,,
"企業
動向
関連

(東海)",,◎,税理士,,・ＩＴ関連の下請業者で、創業以来の業績を上げている企業がいくつか出てきている。,
,,○,経営コンサルタント,,・開業関係の申請の人で、法務局が混み合っている。,
,,□,輸送業（エリア担当）,,・貨物の取扱量は増加しているが、単価が低下する一方である。,
,,□,司法書士,,・３、４月と実績が増加していたが、５月は横ばいである。,
,,□,会計事務所（所長）,,・業績が上向きの会社もみられる一方で、廃業や借入の返済ができない等の客も増えてきている。,
,,▲,輸送業（エリア担当）,,・荷動きが非常に低調である。,
,,×,－,－,,
"雇用
関連

(東海)",,◎,求人情報誌製作会社（編集者）,,・ＩＴ関連だけでなく、土木・建築、住宅など全般的に景気の良さが広がりつつある。,
,,○,＊,＊,,
,,□,人材派遣会社（社員）,,・派遣社員、契約社員ともに、ほぼ横ばいに推移している。,
,,□,人材派遣会社（社員）,,・短期派遣の需要が中心で、長期派遣にまで結びついていない傾向が続いている。,
,,□,アウトソーシング企業（エリア担当）,,・前年より良くなっているが、３か月前との比較では横ばいで推移している。,
,,□,求人情報誌製作会社（編集者）,,・今月は求人件数増加の伸びが鈍化している。,
,,□,新聞社［求人広告］（担当者）,,"・求人広告が前年12月から６か月連続で２けた増である。
・採用に意欲的になってきた企業もあるが、３か月前と比べると横ばいである。",
,,▲,＊,＊,,
,,×,－,－,,
,,,,,,
　５．近畿,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(近畿)",,◎,－,－,,
,,○,商店街（代表者）,,・商品単価は余り変わらないが、客数の増加により売上が伸びている。,
,,○,商店街（代表者）,,・慎重ではあるが、消費、買物を楽しみたいという客が増加している。,
,,○,その他専門店［時計］（経営者）,,・購買意欲が高まり、来客数が増加している。,
,,○,乗用車販売店（営業担当）,,"・来店客が増加している。
・小型の商品がよく売れている。",
,,○,旅行代理店（営業担当）,,・平日でも空港で多くの旅行客をみかけるようになった。,
,,○,美容室（経営者）,,・少しずつ客単価が上昇している。,
,,○,住宅販売会社（営業担当）,,・契約には結びついていないが、客の動きは非常に活発になってきており、引き合いも多い。,
,,○,その他住宅［展示場］（従業員）,,・住宅展示場の来客数が増加している。,
,,□,商店街（代表者）,,・ファッション関係で特に目立つヒット商品が出てきていない。,
,,□,百貨店（売場主任）,,・婦人服は善戦しているが、紳士服は常に苦戦しており、全般的に横ばいの状況が続いている。,
,,□,百貨店（売場主任）,,・男女ともヤング対象の衣料品の低迷が続いており、売上の上昇の気配がみえない。,
,,□,スーパー（経理担当）,,・小売店の出店が相次ぎ、消費者は価格競争に目を向けており、購買単価が変わらない。,
,,□,その他専門店［薬］（経営者）,,・低価格品の目的買いのみで、衝動買い、関連買いは極めて少ない。,
,,□,乗用車販売店（営業担当）,,・販売台数が余り変わらない。,
,,□,高級レストラン（店長）,,・昼夜にかかわらず、客数が少なく、客単価の低い状況が続いている。,
,,□,スナック（経営者）,,・来客数にむらがあり、団体客が何組かある日もあったが持続性がない。,
,,□,観光型旅館（経営者）,,・レストラン及び売店の売上に変化がない。,
,,□,都市型ホテル（スタッフ）,,・客単価が低下したままで、改善の兆しがみられない。,
,,□,観光名所（経理担当）,,"・売上の伸び率が３か月前と余り変わらない。
・客数は多いが、買上数には結びついていない。",
,,□,旅行代理店（営業担当）,,・曜日の配列が良いことから、ゴールデンウィークは国内、海外とも好調であったが、その後、旅行申込は前年並みであり、本格的な回復はみられない。,
,,□,住宅販売会社（従業員）,,・客の予算と見積とのかい離が非常に大きく、受注成約になるケースが少ない状況が続いている。,
,,▲,商店街（代表者）,,・資金に余裕のない客は本当に必要なものしか買わず、余裕のある客でさえメリットがあると感じたときにのみ買う程度である。,
,,▲,百貨店（売場主任）,,・客数が減少しており、支出を控える姿勢がみられる。,
,,▲,スーパー（経理担当）,,"・客単価が依然として下落している。
・菓子などし好品の売上の減少が著しい。",
,,▲,コンビニ（エリア担当）,,・既存店の売上が減少している。,
,,▲,家電量販店（経理担当）,,・既存店の売上が前年比で３か月前より悪化している。,
,,▲,家電量販店（店員）,,・来客数が減少している。,
,,▲,卸売業［輸入ブランド品］（経営者）,,・小売業をみると、５月の連休から非常に悪くなっている。,
,,▲,一般レストラン（スタッフ）,,・前年12月から今年４月までやや回復傾向にあると思われたが、ゴールデンウィーク以降前年並みとなっている。,
,,▲,一般レストラン（スタッフ）,,・６月の結婚式の予約はかなり入ってきているが、一般客の予約はほとんどない。,
,,▲,観光名所（経理担当）,,・ゴールデンウィークの人出が減少し、来館者はもとよりレストラン、物販店の売上も減少している。,
,,▲,テーマパーク（職員）,,・社員旅行などの団体旅行が非常に減少している。,
,,▲,美容室（店長）,,・客数が減少している。,
,,×,コンビニ（経営者）,,・売上が減少している。,
,,×,その他専門店［宝石］（経営者）,,・チラシ、広告等を入れた場合の客の反応が悪い。来客数、買上点数、客単価全てにおいて３か月前を下回っている。,
,,×,競輪場（職員）,,・５月の売上が過去最低であったのに加えて、開催中の売上が日々落ち込んでいる。,
"企業
動向
関連

(近畿)",,◎,－,－,,
,,○,一般機械器具製造業（経営者）,,・受注が増加している。,
,,○,電気機械器具製造業（経営者）,,・物の動きが活発になりつつある。,
,,○,電気機械器具製造業（経営者）,,・若干ではあるが設備投資意欲が出てきている。,
,,○,広告代理店（営業担当）,,・３か月前よりは若干良くなっているが、ここ１か月はやや足踏みとなっている。,
,,○,広告代理店（従業員）,,・食品センターのチラシ、ポスターなどの制作、印刷やディスプレイなどの仕事が増加してきている。,
,,○,経営コンサルタント,,・コンサルティング先の状況も横ばい若しくはやや上向きというところが増加してきている。,
,,□,その他製造業［紙加工品］（経営者）,,・ゴールデンウィーク後、とりわけ５月後半の売上が良くない。,
,,□,その他企業［自転車製造卸］（団体職員）,,・出荷額が低迷している。,
,,□,その他企業［ネジ］（団体役員）,,・生産数量は若干増加したが、出荷額は減少している。,
,,▲,司法書士,,"・受託件数が少ない。
・今までほとんどなかった滞納家賃の請求を求めるといった内容証明の依頼が続いた。",
,,×,繊維工業（経営者）,,・大手の得意先が倒産したため、信用不安が更に広まっている。,
,,×,その他企業［タオル］（団体職員）,,・輸入製品の影響を受け、受注数量が更に大幅に減少している。,
"雇用
関連

(近畿)",,◎,人材派遣会社（社員）,,・新規の受注が増加しており、かつ長期間のものに契約更新する企業が非常に増加している。,
,,◎,求人情報誌製作会社（編集者）,,・関西圏の求人件数の前年比増が８か月続いている。,
,,○,＊,＊,,
,,□,人材派遣会社（経営者）,,・受注件数は多いが、終了件数も多く、横ばいで推移している。,
,,□,アウトソーシング企業（経理担当）,,・売上は増加しているが、少し油断すると債権が不良化する傾向が出てきている。,
,,▲,－,－,,
,,×,－,－,,
,,,,,,
　６．九州,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,景気の現状に対する判断理由,,
"家計
動向
関連

(九州)",,◎,－,－,,
,,○,商店街（代表者）,,・季節の変わり目で夏物が出始めた。,
,,○,家電量販店（企画担当）,,・宣伝効果もあって、全般的に客の買いたい商品が増えてきている。,
,,○,家電量販店（店員）,,"・価値の高い商品が良く出る。
・客単価も上昇してきている。",
,,○,高級レストラン（スタッフ）,,・客単価、客の顔、注文する料理の内容等からみて、良くなってきている。,
,,○,スナック（経営者）,,・連休で客数が少ないにもかかわらず、売上は減少していない。,
,,○,都市型ホテル（スタッフ）,,・ゴールデンウィークの影響で５月は前年に比べ良い状況であり、３か月前と比べると若干良い。,
,,○,パチンコ店（従業員）,,・前月より客の動きが活発になっている。,
,,○,タクシー運転手,,・チケットの客や昼間のフリーの客が多くなってきている。,
,,○,住宅販売会社（従業員）,,・銀行がローンを出し渋っている感じはあるが、展示場の来場者数も成約率も良くなってきている。,
,,□,商店街（代表者）,,・まだ景気が戻ってないようで、人通りが大変少ない。,
,,□,百貨店（売場主任）,,・ゴールデンウィーク中も苦戦し、３か月前から余り変わっていない。,
,,□,百貨店（販売促進担当）,,・ヤング、紳士服の不調、客単価の減少がみられる反面、高級品は好調であり、ミセスの購買意欲が向上しているなど、消費の明暗がはっきりしている。,
,,□,スーパー（店長）,,・客の消費がまだぎりぎりの状態で、価格に対して一層敏感になっている。,
,,□,コンビニ（店長）,,・年明けは売上が良かったが、それ以上は上がらず、状況は変わっていない。,
,,□,家電量販店（店長）,,・パソコン関連商品、ＭＤ、ＤＶＤ等のデジタル機器は好調だが、それ以外は単価が低迷している。,
,,□,スナック（店長）,,・学会等があると少しは良いが、地元の客だけでは期待できない状況にある。,
,,□,ゴルフ場（従業員）,,・客の出足、予約状況が低迷しており、去年より落ち込みそうである。,
,,□,パチンコ店（従業員）,,・昼間に店で40～50代のサラリーマン風の客が目立つようになり、リストラの影響が心配される。,
,,□,美容室（経営者）,,・前年に比べて良くなっていたが、５月に入ってからは伸び悩んでいる。,
,,▲,商店街（代表者）,,・客は必要な物以外は買わず、衝動買いもない。,
,,▲,商店街（代表者）,,・依然として買い控えの状態にあり、客単価は低下しており、安い商品しか出ない。,
