,,▲,観光型ホテル（経営者）,来客数の動き,・前年に比べて、３月に入ってからの来客数の動きが大分悪いようである。特に原因は特定できていないが、航空機の便数は変わっていないものの、機材の輸送能力が減っていることが来客数の減少につながっている可能性がある。また愛知万博開催の影響も原因の一つと思われる。,・前年に比べて、３月に入ってからの来客数の動きが大分悪いようである。特に原因は特定できていないが、航空機の便数は変わっていないものの、機材の輸送能力が減っていることが来客数の減少につながっている可能性がある。また愛知万博開催の影響も原因の一つと思う。
,,▲,タクシー運転手,お客様の様子,・年度末を控え、客の動きは若干あるようだが、前年比では微減で推移している。,
,,▲,観光名所（役員）,販売量の動き,・ロープウェイの輸送人員は前年比で５％程度減少している。,
,,×,商店街（代表者）,販売量の動き,・先月同様、３月に入っても積雪が多く、中高年層の来街が多い商店街は極端に来街頻度が落ちている。商品別では春物衣料が各店とも前年割れとなっている。,・前月同様、３月に入っても積雪が多く、中高年層の来街が多い商店街は極端に来街頻度が落ちている。商品別では春物衣料が各店とも前年割れとなっている。
,,×,スナック（経営者）,来客数の動き,・毎年３月は歓送迎会や送別会で結構忙しくなるが、今年は前年度、前々年度と比べて歓送迎会、送別会が少なくなっている。特に役所を中心に少なくなっている。,
"企業
動向
関連

(北海道)",,◎,家具製造業（経営者）,受注量や販売量の動き,・請負物件の受注が増加している。,
,,○,輸送業（支店長）,取引先の様子,・事業の再編等の動きもあり、大手荷主の中には積極的な販売政策を出している会社もある。本州の景気回復、また中国の特需等の影響もあり、特に鉄鋼関係はフル生産状態に入っており、その関連会社にも波及が出てきている。ただ、今まで頑張ってきた企業の中で、ここにきて資金繰りに目どが立たなくなり、倒産する企業が出てきていることが一抹の不安材料である。,
,,○,輸送業（営業担当）,受注量や販売量の動き,・外炭の石炭税が４月１日より増税となることから、駆け込み需要で大幅な増量となった。また、ビート糖やでん粉等の農産物も倉庫保管のピーク数量となっている。,
,,□,食料品製造業（経営者）,受注量や販売量の動き,・桜の開花が昨年よりもやや遅く、花見需要の盛り上がりがいまだみられない。ただし、今後はほぼ例年通りの気候で推移すると思われるので、全体としては変わらない。,・桜の開花が前年よりもやや遅く、花見需要の盛り上がりがいまだみられない。ただし、今後はほぼ例年通りの気候で推移すると思うので、全体としては変わらない。
,,□,食料品製造業（団体役員）,競争相手の様子,・昨年からの原料価格の高騰により、製品価格を改定して値上げを行ったところ、手取りが減少傾向にあり、業界全体に影響が及んでいる。また販売不振や契約満了のコンビニ店舗の閉店や看板変更による店舗入替えが多数見受けられる。,・前年からの原料価格の高騰により、製品価格を改定して値上げを行ったところ、手取りが減少傾向にあり、業界全体に影響が及んでいる。また販売不振や契約満了のコンビニ店舗の閉店や看板変更による店舗入替えが多数見受けられる。
,,□,通信業（営業担当）,受注量や販売量の動き,・今月は年度末であったが、受注量等は例月とほとんど変化はみられなかった。悪くなっている様子もないので、変わらずといった印象である。,
,,□,金融業（企画担当）,それ以外,・設備資金は低調である。公共投資の削減、観光客の減少などで関連業界は厳しい。また、例年以上の大雪で大型小売店などの客足も鈍っている。住宅業界は、札幌市内に限れば大型マンションなどの着工もあり、比較的堅調である。,
,,□,その他サービス業［建設機械リース］（支店長）,受注量や販売量の動き,・前向きな設備投資の引き合いが増えてこない。,
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・建設受発注の活動に変化がみられない。,
,,▲,その他企業［コンベンション担当］（従業員）,受注量や販売量の動き,・積雪が多かったため、まだ春、夏にかけての動きが悪い。,
,,×,＊,＊,＊,
"雇用
関連

(北海道)",,◎,＊,＊,＊,
,,○,職業安定所（職員）,求人数の動き,・求職者は減少しているものの、新規求人は２か月連続で増加している。,
,,○,職業安定所（職員）,求人数の動き,・前年と比較して、求人総数の増加が続いている。ただし就業地が管内である求人は微増傾向にとどまっている。,
,,○,学校［大学］（就職担当）,採用者数の動き,・求人情報数も多くなっている。就職情報誌が開催している就職合同説明会の実施回数も多く、企業の採用活動が活発になっている。また採用内定数も順調に伸びている。,
,,□,人材派遣会社（社員）,雇用形態の様子,・中途採用のニーズは減っていないが、その採用基準は以前にも増して厳しく、なかなか採用に至らない。これは逆説的ではあるが、企業に余剰人員を置く余力がなく、正社員を即戦力として考え、業績に貢献してほしいという企業の渇望と思われ、業績がいまだ回復しているとはいえない状況といえる。反面、正社員を補う格好になっているのが人材派遣利用の増加であり、全体としては３か月前と比べて変化がみられない。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・地元のサービス業や小売業の求人広告件数に変化はみられない。ただ、本州方面の派遣請負業の求人広告件数は若干だが増加している。,
,,□,求人情報誌製作会社（編集者）,採用者数の動き,・企業では良い人材がいれば採用したいとの希望はあるが、欠員に対しての補充はあるものの、増員計画の対応は足が鈍い。,
,,□,新聞社［求人広告］（担当者）,周辺企業の様子,・建設関係を中心に倒産が増えている。また市内中心部の空洞化が進み、駐車場ばかりが増えている。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は前年と比較して６％減少しており、２か月連続で減少しているが、前年に進出した大型店の大量求人による反動である。しかし、これらの影響を差し引いた、求人の動向としては横ばいであるものの、建設業や製造業の落ち込みは大きく、依然として厳しい状況は続いている。,
,,▲,＊,＊,＊,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・３月は年度末にあたり、例年人も品物も動く傾向があったが、今年は、１、２月の悪かった分がすべて集中してきた状況である。新入社員の数は減っているようである。,・３月は年度末にあたり、例年人も品物も動く傾向があったが、今年は、１、２月の悪かった分が全て集中してきた状況である。新入社員の数は減っているようである。
,,○,百貨店（売場担当）,来客数の動き,・フレッシャーズ、リクルート等の関係で来店が多く、高額品をまとめて購入する傾向が多い。親戚からいただいた祝い金による現金支払で商品を求めている客が多く、また、目的を持って購入している客が多い。土日は来客が多く販売員が少ない状態となっている。ブランド品も各店舗で目標額をクリアしている状況である。,
,,○,乗用車販売店（経営者）,販売量の動き,・新型車効果と併せて、震災復興による特需もあり、販売台数が増加している。,
,,○,住関連専門店（経営者）,単価の動き,・慎重な購買行動に関して、変化はないが、気に入ったものであれば、多少単価の高いものの購買率が高くなっている。,
,,○,観光型旅館（経営者）,来客数の動き,・昨年10月に完成した庭園露天風呂等の設備投資効果がじわりと出ていると思われる。大衆演劇も３月特に入りが良く、企画実施以来４年目で、ようやく底ばいを抜けたようである。昨年12月にバージョンアップしたネット販売も引き続き堅調に推移している。,・前年10月に完成した庭園露天風呂等の設備投資効果がじわりと出ていると思う。大衆演劇も３月特に入りが良く、企画実施以来４年目で、ようやく底ばいを抜けたようである。前年12月にバージョンアップしたネット販売も引き続き堅調に推移している。
,,○,都市型ホテル（経営者）,販売量の動き,・今月は結婚式関係も良く、一般の会合も大口の法事関係の受注もあり、３カ月前、また、前年同月よりも良い結果となった。,・今月は結婚式関係も良く、一般の会合も大口の法事関係の受注もあり、３か月前、また、前年同月よりも良い結果となった。
,,○,住宅販売会社（経営者）,販売量の動き,・受注は前年比111％、３ヶ月前比115％と２ヶ月ぶりにプラスに転じた。例年以上に雪が多く寒い冬だったことから、お客様の動きは必ずしもよいとは言えない。,・受注は前年比111％、３か月前比115％と２か月ぶりにプラスに転じた。例年以上に雪が多く寒い冬だったことから、お客様の動きは必ずしもよいとは言えない。
,,○,住宅販売会社（従業員）,来客数の動き,・今月２週間続けて完成見学会を開催し、数多くの新規顧客と即成約につながる顧客取得が多く、住宅取得を考えている顧客が動き始めているのは確かである。,
,,□,商店街（代表者）,来客数の動き,・３月15日の公立高校の入試発表後は、例年来客が多くなるが、気候の関係からか、伸び悩みが見られる。,
,,□,商店街（代表者）,お客様の様子,・２月中旬から３月上旬にかけて、低温降雪の厳しい冬型の天候により、来店客が減少した。２月時点での売上、来店客数は昨年に比べ５ポイント程度落ち込んでいる。,・２月中旬から３月上旬にかけて、低温降雪の厳しい冬型の天候により、来店客が減少した。２月時点での売上、来店客数は前年に比べ５ポイント程度落ち込んでいる。
,,□,一般小売店［書籍］（経営者）,単価の動き,・教科書、学習参考書（辞典含む）の需要がピークとなる月であるが、今後必要なものでも、すぐに必要なもの以外は検討して後から買う、という傾向が今年は特に強くなっている。客単価の落ち込みがある。,
,,□,一般小売店［雑貨］（企画担当）,販売量の動き,・個人消費については、コンスタントに支出される状況ではない。天候要因、季節要因に大きく左右されており、消費者が自主的に物を買う状況にない。,
,,□,百貨店（売場主任）,販売量の動き,・婦人服については、天候要因もあるが、春物コート、スーツ等この時期の主力アイテムである重衣料の動きが悪く、苦戦が続いている。,
,,□,百貨店（売場主任）,単価の動き,・異動の時期でもあり、返礼ギフトを全面に展開しておりお客様にアピールしているが、従来の箱物ギフトの動きは非常に悪い状況である。しかし、単価の低いパーソナルギフトの動きが良い。,
,,□,百貨店（広報担当）,お客様の様子,・全体的に若干低めで推移した気温や月前半の大雪で春物の動きが非常に鈍く苦戦した。来客数は、新規オープンした隣接のファッションビルの相乗効果で増えてはいるが、なかなかそれに伴って売上が伸びず全体的に苦戦した。,
,,□,百貨店（販促担当）,お客様の様子,・バレンタイン、ホワイトデー等の打ち出しは非常に好調であったが、春物商戦は天候不順のため相対的に苦戦した。,
,,□,スーパー（経営者）,来客数の動き,・基本的に今のお客様の消費動向については、大きな変化はない。お客様の買物の様子、中身等に変化はない。お客様の動向は安定している。堅実、節約志向に大きな変化はない。,
,,□,衣料品専門店（経営者）,お客様の様子,・お客様の様子から、目的以外の衝動買いをしない傾向が以前と変わらず強く見受けられる。客数も増えず悪いままである。,
,,□,衣料品専門店（経営者）,来客数の動き,・今後の春物展開は期待しているが、今までの寒さと豪雪のため来客数が著しく減少している。,
,,□,衣料品専門店（経営者）,来客数の動き,・例年この時期から春物が動き始めるが、今年はかなり遅れているようである。,
,,□,衣料品専門店（店長）,販売量の動き,・主力スーツを値下げし、販売量を期待したが、単価下落分の数量が伸びず、特にフレッシャーズにおいて減少の傾向が著しかった。,
,,□,衣料品専門店（総務担当）,来客数の動き,・学校需要とかシーズン入替えのための購入の時期であるが、それが少ない。,
,,□,乗用車販売店（経営者）,販売量の動き,・この３月も悪かった昨年を更に割り込む予定である。例年なら若者の来客が活発化するのだが、今年は若者の動きがにぶく、公共事業の圧縮、官民ともに給与、賞与カットなどにより、購買意欲が減退しているものと考えられる。,・この３月も悪かった前年を更に割り込む予定である。例年なら若者の来客が活発化するのだが、今年は若者の動きがにぶく、公共事業の圧縮、官民ともに給与、ボーナスカットなどにより、購買意欲が減退しているものと考えられる。
,,□,その他専門店［呉服］（経営者）,販売量の動き,・今まで悪すぎた呉服の売上はあったが、寝具、衣料品は依然悪い状況である。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・対前年比の販売数量がなかなかクリアできていない。また、天候の関係で、春向けの需要が遅いため、３月の売上が４月にずれ込みを起こしている。暖房用の燃料の販売は順調であるが、車両用の燃料が苦戦中である。また、原油価格の高騰により、仕入価格が上がってきており、販売価格への転嫁がずれているために売買差益が低下してきている。,・前年比の販売数量がなかなかクリアできていない。また、天候の関係で、春向けの需要が遅いため、３月の売上が４月にずれ込みを起こしている。暖房用の燃料の販売は順調であるが、車両用の燃料が苦戦中である。また、原油価格の高騰により、仕入価格が上がってきており、販売価格への転嫁がずれているために売買差益が低下してきている。
,,□,高級レストラン（支配人）,販売量の動き,・宿泊予約は、インターネット予約が好調である。新球団関係の予約等受注でき、売上、客数ともに前年を上回っているが客単価の低下は続いている。宴会については、学校関係の歓送迎会の受注件数が好調で婚礼減少分をカバーしている。一般企業の宴会需要は弱含みである。カジュアルレストランが好調で、高級レストランは苦戦している。総体的には、客数、客単価ともそろそろ底打ちに近づいていると感じられる。,
,,□,一般レストラン（経営者）,来客数の動き,・歓送迎会のシーズンであるが、歓送迎会をやらなくなったという話がよく聞かれ、依然として厳しい状況である。,
,,□,観光型旅館（経営者）,来客数の動き,・インターネットや旅行雑誌を見ての予約が多かった。逆に電話での地元からの予約は減少している。宮城県内の来客数が少ない。,
,,□,タクシー運転手,単価の動き,・単価の動きとして、遠距離の利用が少なく、地下鉄を利用しているようだ。ほとんど1000円以下の利用である。,
,,□,通信会社（営業担当）,お客様の様子,・客を訪問した際に、商売、景気等の話が話題になるが県内においてはいい話題が出てこない。自動車ディーラー等では、雪解けが遅く春の商談が遅くなっている。またホームセンターでも全般的に春商戦が遅れているとの話であった。一部大雪のため石油関連で景気がいいという話があるが、全体をけん引するほどではない。,
,,□,テーマパーク（職員）,来客数の動き,・団体客の動きは悪いが、春休みに入り個人客が動いている。団体予約のスピードが落ちているため、先行きが読みづらいが、個人客のアップにより、今月は平年並みの数字になりそうである。,
,,□,観光名所（職員）,来客数の動き,・早春とはいえ、冬の景観が十分残っており、冬タイトルの団体が入ったために例年の水準となっているが、フリー客は依然として低迷している。,
,,□,観光名所（職員）,来客数の動き,・例年に無く雪が多く残っているせいもあるのか、来客数が前年をかなり下回っている。イベントを企画し誘客を図ったが思った効果が現れず、当月はかなり厳しい状態である。,
,,▲,スーパー（経営者）,それ以外,・２月末から３月初めにかけて、中央市場の青果の卸会社が倒産しており、青果の関係者は混乱している。当社は、生鮮中心であるので売る側の姿勢としても元気がない状況である。,
,,▲,スーパー（企画担当）,来客数の動き,・毎年この時期は、食品中心の小型店から大型店への顧客流出があり、本年は特に季節商品、新製品のヒット商品も少なく大変厳しい状況である。,・毎年この時期は、食品中心の小型店から大型店への顧客流出があり、本年は特に季節商材、新製品のヒット商品も少なく大変厳しい状況である。
,,▲,コンビニ（エリア担当）,来客数の動き,・天候不順が影響し、客数の前年差が大きくなっている。,
,,▲,衣料品専門店（店長）,お客様の様子,・フレッシャーズ需要は例年並みに推移しているが、寒い日が続いたため、実需型のビジネス層による買い替え需要が立ち遅れている。,・フレッシャーズ需要は例年並みに推移しているが、寒い日が続いたため、実需型のビジネス層による買換え需要が立ち遅れている。
,,▲,乗用車販売店（経営者）,来客数の動き,・３月に入っても、週末に雪が降ったり、気温も低く、例年に比べ１か月のずれを感じており厳しい日が続いている。,
,,▲,その他飲食［弁当］（スタッフ）,販売量の動き,・青森市では、新幹線の駅が市の郊外にできる計画であるため、新築マンションの建設も郊外に進むなど、人がドーナッツ化現象で中心部から郊外に移っている。そのため、市内中心部にある百貨店の売上が落ちている状況にある。,
,,▲,観光型ホテル（経営者）,来客数の動き,・通常では送別会のシーズンであるが宿泊を伴った会合は少なく、一般の企業は皆無に等しい状況である。わずかに学校の先生や役所関係等景気に左右されない所と病院関係の送別会が目立つ程度である。一方で、家族連れの、特に子供をメインとした誕生会や入学卒業等の祝い事に関するお客様が目立っている。,
,,▲,都市型ホテル（経営者）,お客様の様子,・今月は送別会の季節であるが、全体的にお客様の話からすると簡素化していることが伺える。例えば、少人数グループでの送別会や、単価を下げて簡単に送別会を済ましてしまう等である。二次会の申込も減っている。,
,,▲,遊園地（経営者）,来客数の動き,・例年にない寒さと降雪がひどく、ようやく春らしくなってきたのは下旬に入ってからである。集客は前年の８割強と減少し、単価も弱含んでいる。また、取引先のこんにゃく店が１社倒産した。,
,,×,スーパー（経営者）,販売量の動き,・買上金額はもとより、買上個数の減少が顕著である。４月から消費税の総額表示が一巡するので若干変更があるかもしれないが、この傾向はまだまだ続くと思う。,・買上金額はもとより、買上個数の減少が顕著である。４月から消費税総額表示が一巡するので若干変更があるかもしれないが、この傾向はまだまだ続くと思う。
,,×,衣料品専門店（店長）,来客数の動き,・新規に高校を卒業し、入学式用に購入される客は堅調であるが、大学を卒業し就職する客が激減している。単価が高いので苦戦している。,
,,×,住関連専門店（経営者）,来客数の動き,・チラシを増やしたり、宣伝広告費を増やしても、売上が減っていくのが止まらない。,
,,×,住関連専門店（経営者）,お客様の様子,・例年開催している催事も前年度比で50％減で、厳しさがだんだん現れてきている。客も買い控えが進み厳しい状況である。,
,,×,一般レストラン（経営者）,来客数の動き,・客の数が２割位減少している。21年間勤めているが初めて経験する現象である。同業他店もひどい所では約半分の来客である。コンピューター関連会社は忙しいと聞いているが、他からは忙しいという話は聞かれない。,・客の数が２割位減少している。21年間勤めているが初めて経験する現象である。同業他店もひどい所では約半分の来客である。コンピュータ関連会社は忙しいと聞いているが、他からは忙しいという話は聞かれない。
"企業
動向
関連

(東北)",,◎,＊,＊,＊,
,,○,食料品製造業（経営者）,受注量や販売量の動き,・年が明けてから３カ月連続で前年をクリアした。商品のリニューアルと販売方法がうまく噛みあった。,・年が明けてから３か月連続で前年をクリアした。商品のリニューアルと販売方法がうまく噛みあった。
,,○,食料品製造業（経理担当）,受注量や販売量の動き,・今月は、前年比で103～104％の売上である。新製品が好評で、全体的に引っ張っている。,
,,○,出版・印刷・同関連産業（経理担当）,受注量や販売量の動き,・愛知万博の好影響が東北まで及んでいる。,
,,□,農林水産業（従業者）,それ以外,・昨年の農産物の価格が高かったので、消費や生産資材の購入が増えているのがわかる。,・前年の農産物の価格が高かったので、消費や生産資材の購入が増えているのがわかる。
,,□,食料品製造業（経営者）,受注量や販売量の動き,・販売面ではここ数か月間、前年比で微減の状況が続いたが、春夏向け新商品中心に定着の動きが見られ、トータルとしてはようやく昨年をやや上回る状況である。,・販売面ではここ数か月間、前年比で微減の状況が続いたが、春夏向け新商品中心に定着の動きが見られ、トータルとしてはようやく前年をやや上回る状況である。
,,□,木材木製品製造業（経営者）,受注価格や販売価格の動き,・住宅部材の販売単価の回復がならず、収益性が厳しい。,
,,□,電気機械器具製造業（経営者）,取引先の様子,・第４四半期は、全体的に変動が少なく推移している。ただし、半導体設備や新札対応の機器がここにきてかなり低下している。逆に医療機器関係が増加傾向になっている。管内では、加工関係は自動車関連に忙しい状況が見受けられる。全般的には大きな変化は見られない。,
,,□,電気機械器具製造業（営業担当）,取引先の様子,・個人情報保護法関連でセキュリティ関連製品を売っているところはやや景気は上向きだが、導入側の顧客は導入管理コストがかかる一方で受注が増えていないという状況がある。,
,,□,その他非製造業［飲食料品卸売業］（経営者）,受注価格や販売価格の動き,・メーカー量販店の関係で、常識からけたの外れた価格が以前より多く見受けられる。商品の物流が全く伴わず売れ残しているという話が聞かれる。,
,,▲,食料品製造業（経営者）,受注量や販売量の動き,・特にＢＳＥ（牛海綿状脳症）問題により、牛タンの原料高が続いているため、売価に転嫁され、またオーストラリア産等の輸入により、売上が芳しくない。さらに、売上以上にコスト高が重荷になってきている。,
,,▲,繊維工業（総務担当）,受注量や販売量の動き,・３カ月前に予想した受注量が入らず、各メーカーともに春物夏物は不調に終わった。暖冬でアパレルの在庫が増大したと思われる。,・３か月前に予想した受注量が入らず、各メーカーともに春物夏物は不調に終わった。暖冬でアパレルの在庫が増大したと思う。
,,▲,一般機械器具製造業（経理担当）,受注量や販売量の動き,・携帯電話用の部品については、低水準で推移しており、民生機器の売上も減少している。,
,,▲,金融業（営業担当）,受注量や販売量の動き,・機械金属、製材など生産の増加が見られる一方、住宅着工数は減少に転じており、地元経済は再び減速の様相を呈している。,
,,▲,広告業協会（役員）,それ以外,・プロ野球スタジアムに広告を出すために従来の新聞やテレビ、ラジオなどの出稿を減らしてきている広告主がある。地元のメディアにとってありがたくない傾向である。,
,,▲,広告代理店（従業員）,受注価格や販売価格の動き,・新球団関連の受注は大幅に増えたが、他物件での価格の落ち込みが激しく、例年通りの年度末売上となっている。３か月前と比較しても、受注量増加、受注価格低下の減少が続いている。,
,,▲,新聞販売店［広告］（店主）,受注量や販売量の動き,・チラシを見ると新規開店の店がいくつか見られるがすべて県外の資本である。水産関係は厳しく倒産の会社がいくつかあり、その影響で購読を止めた読者も何人かある。,・チラシを見ると新規開店の店がいくつか見られるが全て県外の資本である。水産関係は厳しく倒産の会社がいくつかあり、その影響で購読を止めた読者も何人かある。
,,▲,経営コンサルタント,取引先の様子,・どの業界でも３月の駆け込み需要が発生するものだが、今年はそれらの動きが鈍いと感じている企業が多い。,
,,×,＊,＊,＊,
