,,○,通信業（営業担当）,取引先の様子,・通信、ネット業界の動向として、ブロードバンド環境を活用した映像系のビジネスなど、大きく資金投下が必要なビジネスへの再参入や、起用検討企業が増えてきており、取引先に少し余裕が出てきたと感じられる。,
,,○,その他サービス業［システムハウス］（経営者）,受注量や販売量の動き,・受注量が増えている。ただし、年度末を控えての一過性のもののような気もする。,
,,□,食料品製造業（経営者）,受注量や販売量の動き,・例年１月は水産食料品の荷動きが鈍る時期であるが、野菜の価格高騰が収まったため、鍋商材の荷動きが例年並みの動きに戻っている。,
,,□,食料品製造業（団体役員）,受注量や販売量の動き,・原料価格の高騰に伴い、製品価格を値上げしたところ、年末需要時と比べて受注量が減少している。,
,,□,通信業（営業担当）,受注量や販売量の動き,・例年、この時期は来年度に向けての予算取りの関係上、受注量が増えることが多いが、今年は通常と大差のない状態である。,
,,□,金融業（企画担当）,それ以外,・設備資金は低調である。食品加工業などの製造業は比較的良いが、建設業、小売業などの非製造業は過当競争から厳しい状況が続いている。,
,,▲,出版・印刷・同関連産業（経営者）,受注価格や販売価格の動き,・受注価格の決定に当たって、見積合わせの参加企業数、実施企業数共に増加傾向にある。,
,,▲,輸送業（支店長）,受注量や販売量の動き,・荷動きの面からみて、例年になく正月明けのスタートが遅く感じる。季節変動を加味しても入荷、出荷ともに動きが鈍い。好調に推移している輸入コンテナについても、春需要がスタートするまでの端境期に当たり、活況を呈している状況ではない。,
,,×,司法書士,受注量や販売量の動き,・例年と比べて、住宅建設の予定、又は住宅建設資金ねん出のための土地の売買等が少ない。,
"雇用
関連

(北海道)",,◎,＊,＊,＊,
,,○,学校［大学］（就職担当）,求人数の動き,・通年採用、秋採用、追加採用等、企業によって表現方法は異なるが、昨年暮れから採用意欲が活発となっている。,・通年採用、秋採用、追加採用等、企業によって表現方法は異なるが、前年暮れから採用意欲が活発となっている。
,,□,人材派遣会社（社員）,求職者数の動き,・登録者数に伸びがない。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・業種による多少の差はあるが、求人広告受理件数に大きな変化は認められない。,
,,□,新聞社［求人広告］（担当者）,求人数の動き,・募集広告が前年比91％とダウンしている。募集内容も依然としてパート雇用が多い。,
,,□,職業安定所（職員）,採用者数の動き,・就職件数が横ばいで推移している。,
,,□,職業安定所（職員）,求人数の動き,・新規求人は前年と比べて15.5％増加したが、前月比では25.4％減少している。サービス業の医療・社会福祉関係の求人が伸びているが、景気回復に大きな影響のある製造業は減少を続けており、依然として厳しい状況にある。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は前年に比べて11.1％減少したが、求人件数は1.2％の減少で減少幅も小さい。ほとんどの産業で求人数が減少している中、飲食店だけはパートを中心に増加した。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は増加傾向にあるものの、良くなっているとまでは言い切れない。,
,,▲,人材派遣会社（社員）,求人数の動き,・求人数は減ってはいないが、求人内容が以前よりますます高度になっており、高いスキルが要求されている。平均レベルではなかなか採用にならない。また、上場審査及び上場の実務など、特殊技能の求人が多くなっている。,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,－,－,－,
,,○,一般小売店［カメラ］（店長）,販売量の動き,・商品の販売量、販売金額共に昨年を大きく上回っている。写真プリントも好調で昨年を超えている。昨年発売のデジタル一眼レフカメラが今年になって、また動き始めている。,・商品の販売量、販売金額共に前年を大きく上回っている。写真プリントも好調で前年を超えている。前年発売のデジタル一眼レフカメラが今年になって、また動き始めている。
,,○,百貨店（売場担当）,販売量の動き,・これから新入学、新生活に向けて、かなり良いかばん等が売れるようになっている。５～10万円位のブランド品を買っている。安い携帯ストラップ等もちょっとした贈答品用途の需要が高く、当店は前年を上回っている。,
,,○,衣料品専門店（店長）,来客数の動き,・本来冬物商材が動き出す年末に苦戦した分、例年並みの気温に戻ったことで年明けにこれらの需要が集中している。,
,,○,衣料品専門店（店長）,販売量の動き,・昨年の秋から毎月苦戦を強いられてきたが、冬物のバーゲンもダラダラと盛り上がりに欠けていたにもかかわらず、今月はまあまあの売上をつくっている。,・前年の秋から毎月苦戦を強いられてきたが、冬物のバーゲンもダラダラと盛り上がりに欠けていたにもかかわらず、今月はまあまあの売上をつくっている。
,,○,乗用車販売店（経営者）,販売量の動き,・新型車投入の効果が出始めてきた。土日のショールーム来場数、受注共に前年比１～２割増。,
,,○,観光型旅館（経営者）,来客数の動き,・３か月前はオンシーズンで今はオフ期であるため比較はできないが、前年比で１月の売上状況は良く、２月の予約も先行している。昨年の秋にフルオープンした設備投資効果が出ている。,・３か月前はオンシーズンで今はオフ期であるため比較はできないが、前年比で１月の売上状況は良く、２月の予約も先行している。前年の秋にフルオープンした設備投資効果が出ている。
,,○,通信会社（営業担当）,販売量の動き,・電話等の音声サービスの契約は順調に推移している。,
,,○,住宅販売会社（経営者）,販売量の動き,・前年比140％、３か月前比117％と受注は３か月連続で前年を上回っている。苦しい状況の中で何とか結果が出ているが、客の決断には時間がかかっており、決して手放しで良いとはいえない。,
,,□,商店街（代表者）,お客様の様子,・今年も昨年同様、商店街では元日営業を行っており、１、２日の売上高を前年と比べると97.8とほぼ前年並みである。,・今年も前年同様、商店街では元日営業を行っており、１、２日の売上高を前年と比べると97.8とほぼ前年並みである。
,,□,一般小売店［書籍］（経営者）,単価の動き,・シリーズ等まず最初の一冊だけを購入するというように、まとめ買いが相変わらず落ち込んでいる。客単価の目減りが顕著である。,
,,□,一般小売店［雑貨］（企画担当）,競争相手の様子,・競争相手の店舗、企業の既存店について売上を見ていると、前年比で毎月マイナスの状況が続いており、それだけ消費は厳しいということであるが、そこから一段と悪くなるというわけでもない。,
,,□,百貨店（売場主任）,販売量の動き,・初売り福袋は前年並みであったが、クリアランスの出足が非常に悪く、特に婦人服のミセス層では５割引になった下旬からようやく動き出し、結果的に売上前年比は３か月前と変わらない。,
,,□,百貨店（売場主任）,販売量の動き,・ギフト関連は内祝い等の返礼ギフトがほとんどであり、数量が極端に少なく大口がほとんどない。ただ自分のためにこだわったものを買う人が増えている。,
,,□,百貨店（企画担当）,それ以外,・初売り、クリアランスは順調であり、引き続き催事関連も順調である。しかし普通の売場の通常販売商品については動きが鈍い。特に家庭用品、食品、インテリア、家具のカテゴリについては動きが鈍い。,
,,□,百貨店（企画担当）,販売量の動き,・今月も前月に引き続き前年割れをきたしている。百貨店業界全体がなかなか前年基調に戻れないという状況ではあるが、継続して売上的にあまり良くない状況である。,
,,□,百貨店（広報担当）,お客様の様子,・単月で見ると、初売りから冬のクリアランスに続く時期に活況があり、何とか前年売上をクリアしたという状況である。しかしこうした流れには持続性がなく、シーズンや年度といったタームでならして見るとややマイナスか変わりないという状況になる。,
,,□,百貨店（販促担当）,お客様の様子,・３か月前の震災前後と比べると、消費は回復基調にある。特に今月はクリアランス期であり消費トレンドは元に戻っている感はある。しかし来客駐車場台数等は昨年よりは良いが、一昨年と比べると同水準である。,・３か月前の震災前後と比べると、消費は回復基調にある。特に今月はクリアランス期であり消費トレンドは元に戻っている感はある。しかし来客駐車場台数等は前年よりは良いが、一前年と比べると同水準である。
,,□,スーパー（経営者）,来客数の動き,・中越地震から３か月経過し、客足がいつ落ちるか冷や冷やしているが、まだ堅調が続いている。,
,,□,スーパー（経営者）,販売量の動き,・12月は暖冬で雪が少なく、動きやすかったが、１月中旬から大雪が続き、今日も吹雪であり、12月の反動というか、１月に入って、イベントが少ないということもあるが、落ち着いた動きである。,
,,□,スーパー（店長）,来客数の動き,・今月は売上前期比98％、そのうち客数が前期比98％、買上点数が100％、一品単価が99％と大雪による平日の客数減が売上に大きく影響している。,・今月は売上前期比98％、そのうち客数が前期比98％、買上点数が100％、１品単価が99％と大雪による平日の客数減が売上に大きく影響している。
,,□,スーパー（店長）,お客様の様子,・相変わらずチラシの価格に客が敏感に反応し、店を買いまわる傾向が強い。少しでも生活費を切り詰め最低限必要な商品しか買わないよう工夫している。,
,,□,スーパー（店長）,販売量の動き,・昨年の競合店出店以来、来客数の落ち込みはあるが、買上点数、一品単価、客単価は前年比103％台で伸長している。,・前年の競合店出店以来、来客数の落ち込みはあるが、買上点数、１品単価、客単価は前年比103％台で伸長している。
,,□,スーパー（総務担当）,単価の動き,・野菜の一品平均単価が３か月ぶりに前年を2.6％割り込んだ。反面前年はまだ割っているが生肉の単価が前年98.2％まで戻した。生鮮全体では前月と変わらず３％強割り込みが続いている。加工食品も単価は前月とほぼ横ばいで変わりない。ただ、客数推移の前年比伸び率が前月より２％ほど落ち込んだが買上点数は前月推移と変わらなかった。ただ、全体として平均単価の前年比マイナス３％強の割れが続いている。,
,,□,コンビニ（エリア担当）,単価の動き,・客数は前年比で見て改善の方向にあるが、客単価が負けている。客数と客単価のかい離が５％ほどある。買い控え、無駄なものは買わない、安いものを買うという傾向が著しい。,
,,□,衣料品専門店（店長）,販売量の動き,・年末からの寒さにより、コートの需要は増えたが、かなり遅く寒くなったため、量は増えたが単価ダウンに歯止めがかからず、当初に売れるのとは違い、ここに来て売れるのは厳しい状況である。しかし少し取り戻している感じである。,
,,□,衣料品専門店（総務担当）,販売量の動き,・最終処分セールを行っているが、来客数が少なく、販売量も伸びていない。,
,,□,乗用車販売店（経営者）,来客数の動き,・輸入車の販売をしているが、例年のごとく降雪期のため、春雪解けに向けての車選びの時期であるが、今年は１月に入り急に雪が降ったことや週末の天候が悪いことも重なり、例年に比べスタートが遅い。,
,,□,乗用車販売店（経営者）,販売量の動き,・当社では車両販売、車検入庫共に昨年比で好調であった。しかし、地域全体では車両販売は昨年並み。車検入庫もリサイクル料金絡みの駆け込み需要で景気は変わらないと考えられる。,・当社では車両販売、車検入庫共に前年比で好調であった。しかし、地域全体では車両販売は前年並み。車検入庫もリサイクル料金絡みの駆け込み需要で景気は変わらないと考えられる。
,,□,その他専門店［呉服］（経営者）,単価の動き,・中国産の製品が増えていて、単価が安く、売上高が下降線である。,
,,□,その他専門店［靴］（経営者）,販売量の動き,・大晦日の降雪と初売りが重なり、10日ごろまでは好調に推移したが、その後の動きが止まってしまった。最低限の物しか買わないという心理が蔓延しているようだ。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・販売量は、前年比でガソリンは90％台、軽油は80％台、灯油は前年超で推移している。景気の回復状況が物流の動きの中では感じられない。特に軽油需要が落ち込んでいる傾向がここしばらく続いており、土木関係を中心に経済の動きが落ち込んだままの状況が垣間見える。例年に比較してまとまった雪が降っているため、灯油、タイヤを中心とした需要が１月としては順調である。燃料関係の販売価格の落ち込みが仕入価格を上回っており、粗利益の減少が顕著になってきている。販売量の落ち込みが背景にある。,
,,□,一般レストラン（経営者）,来客数の動き,・当店に限っていえば、秋口から年末にかけてわりかし利用してもらっていたが、今年に入り腰折れ状態で、来月もその状態になりそうである。,
,,□,一般レストラン（経営者）,来客数の動き,・一番の繁忙期と思われていた年末年始及び各週末時に悪天候の影響による客足の伸び悩みがあった。,
,,□,その他飲食［そば］（経営者）,単価の動き,・来客数は変わらないが、相変わらず単価が低いままで推移し、上向く様子が見られない。,
,,□,都市型ホテル（スタッフ）,販売量の動き,・一般宴会は、新年会、地震による延期分を順調に取り込み、前年を大幅に上回っているが、宿泊、レストランの落ち込み分をカバーするには至らない。,
,,□,美容室（経営者）,販売量の動き,・昨年と比較し、単価的には低くなっているが、売上金額は横ばいであり、大きな変化は見られない。,・前年と比較し、単価的には低くなっているが、売上金額は横ばいであり、大きな変化は見られない。
,,□,住宅販売会社（従業員）,販売量の動き,・受注実績は良くもなく、悪くもない。横ばいを維持するのが精一杯という状態が継続している。,
,,▲,商店街（代表者）,来客数の動き,・初売りはほぼ例年並み、ただしその後がやや弱含み。特に初売り直後から婦人服関係のバーゲンが早い立ち上がりで始まり、15日以降の落ち込みが激しく、結局トータルすると７～８％ダウンというところである。,
,,▲,スーパー（経営者）,来客数の動き,・10月23日の中越地震以来、11、12、１月と継続して客数が減少している。中越だけでなく県全体の経済の縮小が感じられる。観光客の減少等の二次災害がまだまだ続いている。,
,,▲,スーパー（経営者）,お客様の様子,・暖冬から一転、雪の多い冬となり、週末ごとの雪状況による客数減、雪かき等による午前中の出足の鈍さがある。,
,,▲,スーパー（企画担当）,販売量の動き,・競合出店と雪の影響はあったものの、客数はわずかに改善の方向にある。しかし買上点数はノンフード、生鮮を中心に落ち込んでいる。モチベーション時の大型店への集中が強まっている。,
,,▲,コンビニ（エリア担当）,販売量の動き,・今月に入り、特に基幹商品である弁当の販売量が極端に落ちてきて、一向に増える気配がない。,
,,▲,コンビニ（店長）,来客数の動き,・今月に入ってから、特に後半であるが、全国的にコンビニが失速状態であり、正月や初売りの反動が厳しい。,
,,▲,衣料品専門店（経営者）,来客数の動き,・当市の場合、雪の量が客数の増減に影響を及ぼす、今月に入り、雪の日が多く客数が大変減っているというのが現状である。,
,,▲,乗用車販売店（経営者）,販売量の動き,・昨年から引き続き、来客数は前年と同様のレベルであるが、それも主体となっているのはサービス入庫の客であり約70％前後を占めている。新車の需要の傾向は、新型車並びに低価格のコンパクト車が中心である。,・前年から引き続き、来客数は前年と同様のレベルであるが、それも主体となっているのはサービス入庫の客であり約70％前後を占めている。新車の需要の傾向は、新型車並びに低価格のコンパクト車が中心である。
,,▲,住関連専門店（経営者）,来客数の動き,・今年の初売りでは、人の入りも悪く、最終的な成約も昨年より20％ダウンしている。客が来なければ売上につながらない。,・今年の初売りでは、人の入りも悪く、最終的な成約も前年より20％ダウンしている。客が来なければ売上につながらない。
,,▲,その他専門店［パソコン］（経営者）,お客様の様子,・衣食住の中で、特に食に関しても価格を吟味して買ったり、買い控えが多く見られるため、一般サラリーマン家庭的にはまだまだ、金銭的に苦しい時期が続いている。,
,,▲,その他専門店［酒］（営業担当）,単価の動き,・１月になって売上が落ち込むのは毎年のことであるが、今年は一段と売上金額が落ち込んでいる。清酒等の比較的高単価の商品が減り、焼酎等が増え、全体的に落ち込んでいるという予想外の状態である。,
,,▲,高級レストラン（経営者）,お客様の様子,・中央市場に行くと、魚も野菜も高級品ほど売れていない。消費したがらないような状況に陥っている。,
,,▲,その他飲食［弁当］（スタッフ）,販売量の動き,・今月は全国的には温暖という予報であったが、当市においてはここ４年来で最悪の天候で、大雪である。雪が多く、町に買物に出る人もだんだん減ってきて、売上も下がっている。,
,,▲,観光型ホテル（経営者）,来客数の動き,・今年は年末年始の問い合わせが極端に少なく、また滞在型も減少し、初めて正月３日目にして空室が出た。今月は新年会の件数も例年になく少なく、また参加率も低い。特に男性客が少ないので館内の盛り上がりがない。反して景気に関係のない人生の節目の同級会や女性の趣味の会の集まり等は良好である。,
,,▲,都市型ホテル（経営者）,販売量の動き,・今月の販促イベントは、前年比60％の実績で終わった。３か月前と比べても件数が減少し単価も低下している。大口先数件の新年会取りやめ等単価の引下げ要求もあり、厳しい環境である。,
,,▲,都市型ホテル（スタッフ）,販売量の動き,・景気が一向に良くなっていない。なかなか底を打たないというか、地方経済全体が低迷している中、当地だけが良くなるはずもなく、ホテルも物販も急ではないが、なだらかに悪い方向に進んでいる。,
,,▲,都市型ホテル（スタッフ）,来客数の動き,・地震後の復興への動きは、県内はもとより県外からの観光に対する後押しが有難い。県内においては県庁所在地を中心に行政も積極的にアプローチをかけており、これが確実な数字になることを期待している。,
,,▲,遊園地（経営者）,来客数の動き,・暖冬予報にも関わらず、一転して寒さが本格化し、頻繁に降雪もあり、園内の除雪に追われた。その結果集客は前年を大幅に下回り、単価も低迷し、イベントも奏効しなかった。,・暖冬予報にもかかわらず、一転して寒さが本格化し、頻繁に降雪もあり、園内の除雪に追われた。その結果集客は前年を大幅に下回り、単価も低迷し、イベントも奏効しなかった。
,,▲,住宅販売会社（従業員）,来客数の動き,・年末までは毎週、１年以内の住宅取得を考えている新規顧客の来場者があったが、新春キャンペーンを行ったにも関わらず、ほとんど新規がなく、管理客のランクアップにとどまっている。,・年末までは毎週、１年以内の住宅取得を考えている新規顧客の来場者があったが、新春キャンペーンを行ったにもかかわらず、ほとんど新規がなく、管理客のランクアップにとどまっている。
,,×,スーパー（総務担当）,来客数の動き,・客数が減少しており、下げ止まっていない。競合他社の出店もあるが、その他にも当社内部としての問題もある。一点単価の上昇に伴い、客数が減少しており、客の価格に対する敏感さはデフレの最終段階でありながら、まだ根強い。,
,,×,自動車備品販売店（経営者）,お客様の様子,・暖冬で降雪が少なく、毎年の除雪委託を見込んでいる建設業者は、除雪機械の期間短期リースのリース料支払にも苦慮している。,
,,×,住関連専門店（経営者）,販売量の動き,・商品の値段は以前に比べかなり安くなっているが、安くなったことで一時的に動いた時期もあったが、すぐに安いのに慣れ、購買が止まっている。,
,,×,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・今月の販売量は、過去になくかなり厳しいものになっている。要因として挙げられるのは先行き不透明で、良い情報がない中での買い控えである。年末も大した動きではなかったが、年明けの購買にも動いていないところから、やはり不安材料の方が多く、皆が購買に金を回せない。,
,,×,一般レストラン（経営者）,それ以外,・同業で廃業する店が多い。その他、クラブやバー等の長年やっている店が多く、空店舗、空室が増えており、新規に開店する店は少ない。,
,,×,観光型旅館（経営者）,来客数の動き,・昨年末から１月にかけて、極端に宿泊客数が減っている。前年比でも20％以上の落ち込みで、同業他社と話しても同様に落ち込んでいる状況である。特に県内の動きが鈍く、長年のリピーターも来なくなっている。特記するような原因は思い当たらない。,・前年末から１月にかけて、極端に宿泊客数が減っている。前年比でも20％以上の落ち込みで、同業他社と話しても同様に落ち込んでいる状況である。特に県内の動きが鈍く、長年のリピーターも来なくなっている。特記するような原因は思い当たらない。
,,×,観光名所（職員）,来客数の動き,・例年正月３が日を除いて、シーズン中より大幅に客数が落ち込む時期であるが、今年は異常気象で、全国的に雪が降り、雪見を楽しむ客が激減している。,
"企業
動向
関連

(東北)",,◎,－,－,－,
,,○,食料品製造業（経営者）,受注量や販売量の動き,・特に大きなイベント等があったわけではないが、どのルートでも売上が全体的に前年をクリアしている。,
,,○,食料品製造業（経理担当）,受注量や販売量の動き,・中越地震前の受注に回復してきている。ただし包装資材の品薄、値上げ、また燃料の値上げ等とコストアップの要因が強くなってきている。,
,,○,電気機械器具製造業（企画担当）,それ以外,・ガソリン価格がここに来て下降局面に入った。冬のボーナスが前年よりは良かったので精神的な面で少し良く感じる。,
,,□,農林水産業（従業者）,受注価格や販売価格の動き,・農協出しの、昨年のリンゴの販売精算書が配布されたが、例年より約４割高かったことから農家の景気は良い。,・農協出しの、前年のリンゴの販売精算書が配布されたが、例年より約４割高かったことから農家の景気は良い。
,,□,食料品製造業（経営者）,受注量や販売量の動き,・業界自体が毎年３～４％程度売上ダウンの状況が続いており、ましてや２、３月は季節的にも中途半端な時期である。,
,,□,食料品製造業（経営者）,受注量や販売量の動き,・今の経済情勢は、まだまだ冷えた状態であり、特に飲食関連では、新年会等の大勢が集まって飲み食いするというのが減ったままで、この先も戻ってくるようには見えない。特に領収書を使う客も、企業が力を落としている状況では減少するだけである。,
,,□,出版・印刷・同関連産業（経営者）,受注量や販売量の動き,・役所関係等が予算を削減する方向で、発注量が減っている。民間もいいところ悪いところの格差が出ている。,
,,□,電気機械器具製造業（営業担当）,取引先の様子,・取引先の受注量は変わらないか減少、さらにコストダウン要求により利幅が更に悪化している。,
,,□,輸送業（従業員）,取引先の様子,・年明けからの荷動きが、昨年同期よりもかなり減っているような感じがする。特に輸入量が落ちている。,・年明けからの荷動きが、前年同期よりもかなり減っているような感じがする。特に輸入量が落ちている。
,,□,新聞販売店［広告］（店主）,受注量や販売量の動き,・１月に入り、購読申込にこれまで見られない客層が数人現れ、また購読中止を上回っているため、この傾向については様子見の状態である。購読中止の客の中には中旬の大シケでワカメが打撃を受けた人がおり、この影響がどの程度出てくるか、これも様子見の状況である。,
