,,▲,百貨店（販売促進担当）,来客数の動き,・店舗前の歩道工事の影響も少なからずあるものの、来客数が大幅に減少している。競合店出店以降、客の流れが変化しており、競合店の対面に当たる出入口からの来客数が増加している一方で、反対側にある出入口からの来客数が減少している。,,
,,▲,スーパー（店長）,販売量の動き,・売上、来客数ともに前年から５％減少している。また、販売点数は前年比92％と前年を大きく下回った。,,
,,▲,スーパー（役員）,来客数の動き,・当地区は人口減少に加えて、大型店出店に伴う顧客の分散もあり、特に景気が悪化している。商品単価の上昇に伴い客単価は上昇しているが、来客数は前月と比べて1.5％減少している。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・海岸沿いの地区では一部の地区を除き、魚の不漁が続いていることもあり、来客数の減少が目立っている。内陸部では競合店の出店が続き、客の分散が進んでいる。たばこ、アルコールなどの免許品の売上の減少幅も大きい。,,
,,▲,衣料品専門店（経営者）,来客数の動き,・同業者の廃業に伴う閉店セールや例年より早い暴風雪の影響により、売出し初日の状況が非常に悪く、前年を大きく下回った。空き店舗ビルの解体工事があちこちで行われ、雪で道が悪かったこともあり、消費者や観光客がメインストリートを歩く姿も少なかった。,,
,,▲,衣料品専門店（店長）,お客様の様子,・暖冬の影響もあるが、冬物のスーツやコートなど、例年であれば稼働が最大になるはずの商材が低調に推移しており、客の買い控えが強く感じられる月であった。,,
,,▲,高級レストラン（スタッフ）,単価の動き,・日中の来客は１～２名の観光客やビジネスマンのほか、年配の夫婦が目立つ。夜は客単価の上昇につながるようなコース料理の注文が少なく、売上としては厳しい状況にあった。時間帯によっては外国人が半数を占める時間もあった。全体の売上は前年並みにとどまった。,,
,,▲,高級レストラン（スタッフ）,お客様の様子,・企業の景気鈍化に伴い、客の購買意欲も減退している。,,
,,▲,観光型ホテル（役員）,単価の動き,・外国人観光客、国内客ともに宿泊料金が下落している。,,
,,▲,旅行代理店（従業員）,来客数の動き,・10月の荒天に伴う農業被害及び一部地区の漁獲不振などのマイナス要素があるため、消費者のマインドが低下している。さらに、11月後半に早くも降雪の影響による欠航が発生しており、航空需要への影響が懸念される。,,
,,▲,旅行代理店（従業員）,お客様の様子,・パリでの同時多発テロを受けて、海外旅行を中止する客が出始めた。,,
,,▲,タクシー運転手,販売量の動き,・やや回復傾向がみられるが、前年比での落ち込みが継続している。,,
,,▲,タクシー運転手,販売量の動き,・11月に入り、観光客が減少しており、地元客の注文も減っている。３か月前と比較しても売上が約10％落ちている。,,
,,▲,タクシー運転手,販売量の動き,・雪が遅かったため、タクシー利用者が減少し、売上が減少している。また、夜の飲食街への人出が少ないことも売上減少の一因となっている。,,
,,▲,タクシー運転手,販売量の動き,・11月末の降雪の影響でやや売上が回復したものの、全体的にはやや悪い状況となっている。,,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・急激に冬型の気圧配置が強まったことで欠航が相次いだ。また、工事関連の輸送が季節とともに減少している。,,
,,×,百貨店（売場主任）,来客数の動き,・11月下旬に大雪が２度あったことで来客数が減少した。商材別にみると、特にお歳暮の動きが悪いほか、婦人者が苦戦しており、婦人服のコートなどは前年比70％にとどまった。,,
,,×,通信会社（企画担当）,販売量の動き,・売上増加を目指した付加サービスが過剰になりすぎたことで客から不評を買い、札幌郊外と道東を中心に販売量が大きく低下した。,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,－,－,－,,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・販売額に特に変化がみられない。,,
,,□,建設業（従業員）,受注量や販売量の動き,・受注量が確保されており、職員の稼働率も依然として高い状況にある。,,
,,□,輸送業（営業担当）,取引先の様子,・紙及び板紙の国内出荷量が相変わらず低調であり、紙類の道外向け輸送が19か月連続で減少している。一方、農産物の道外向け輸送は好調に推移している。,,
,,□,金融業（企画担当）,それ以外,・外国人観光客は前年を大幅に上回っている。札幌市内のホテルは９割以上の稼働率で、宿泊料金も１泊１万円を超え、千歳や小樽などの近郊まで客が流れている。設備投資は多くの企業が慎重な姿勢であるが、ホテルの新設・改装、医療福祉施設の新設などが全体を押し上げている。道内経済でウエイトの大きな建設土木は公共工事の減少で低迷している。,,
,,□,司法書士,取引先の様子,・土地取引や建物の建築において、若干の伸びがみられるが、一時的な動きとみられ、特に景気が良くなっているということではない。,,
,,□,司法書士,取引先の様子,・土地の売買、建物の新増改築工事が例年よりも少ないままである。,,
,,□,司法書士,取引先の様子,・一般住宅やマンションの建設に活況感がない。マンションのくい打ちに関する施工データ改ざん問題の影響が大きく、中古物件の販売にも影響が及んでいる。,,
,,□,コピーサービス業（従業員）,取引先の様子,・取引先の様子をみると、来年に向けての設備投資を抑え気味である。マイナンバーへの対応が本格化してきているなかで、突発的な投資が生じることを懸念しているようである。,,
,,□,その他サービス業［建設機械リース］（営業担当）,受注量や販売量の動き,・春に発注されたゼロ国債による工事が少しだけで、その後の受注量が増加していないため、前年から１割以上減少している。,,
,,□,その他サービス業［建設機械リース］（支店長）,受注量や販売量の動き,・各種補助金と関連しての設備投資はみられるが、そのほかの設備投資は依然として低位のまま推移している。,,
,,▲,家具製造業（経営者）,受注量や販売量の動き,・首都圏及び大企業を中心とした過熱気味の需要が沈静化しつつある。,,
,,▲,建設業（従業員）,受注価格や販売価格の動き,・建設業の端境期に差しかかり、仕事量と職人の数の均衡が取れてきたこともあり、特に鉄筋、型枠、鉄骨などの工事の単価が低下傾向となってきている。,,
,,▲,輸送業（支店長）,受注量や販売量の動き,・例年であれば、年末商戦に向けて輸送量が増加する時期であるが、今年はそうした動きがみられない。いつもの年であれば、11月はトラックが足りなくなり、ひっ迫する傾向にあるが、今年は今のところ平穏な状況で推移している。,,
,,▲,通信業（営業担当）,取引先の様子,・ここしばらくの取引先の様子としては、景況感に関して楽観的な意見が大勢を占めていたが、直近になり、やや悪くなったとの意見を示す取引先が多数となってきている。,,
,,▲,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・売上が前年を下回る状態が続いている。,,
,,▲,その他非製造業［鋼材卸売］（役員）,受注量や販売量の動き,・客先の仕事量が減少しており、一部の鉄骨加工業を除けば、消耗資材の販売額が前年から約５％減少している。,,
,,×,－,－,－,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,人材派遣会社（社員）,求人数の動き,・派遣のニーズは引き続き増えている。また、経理、営業などの求人も増えているが、物流量の増加に伴うドライバーの求人や、外国人観光客の増加に関連したホテルのベッドメークの求人、外食産業でのフロアスタッフなどの求人も急増している。,,
,,○,職業安定所（職員）,求人数の動き,・月間有効求人数が69か月連続で前年を上回り、月間有効求職者数が48か月連続で前年を下回った。さらに新規高等学校卒業者の管内の求人数が前年と比べて18.8％増加した。,,
,,□,求人情報誌製作会社（編集者）,雇用形態の様子,・人材不足も手伝ってか、全体の求人数に占める人材派遣の割合が前年と比べて上昇している。,,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・求人数は増えているものの、採用につながるケースが少なく､景気が回復しているようにみえない。,,
,,□,新聞社［求人広告］（担当者）,求人数の動き,・求人広告売上の上位職種は不動だが、職種によって明暗を分けた。派遣、飲食、不動産が前年から３割の増加と大きく伸びた一方で、医療、小売が前年から３割の減少、環境衛生が前年から半減するなど、メリハリのある状態となっている。全体としては前年から微減となり、これまでの大幅な減少傾向からはいったん抜け出せた。,,
,,□,職業安定所（職員）,求人数の動き,・長期にわたる公共事業の減少により、建設業の求人に弱さがみられる。,,
,,□,職業安定所（職員）,求職者数の動き,・新規求職者数の３か月累計をみると、前年比で4.6％減少しており、有効求職者数も前年比で9.2％減少している。有効求人倍率は過去最高の0.98倍となったが、職種間のミスマッチが依然として解消されていない。,,
,,□,職業安定所（職員）,求人数の動き,・月間有効求人数は前年から3.2％増加し、３か月連続で前年を上回ったが、新規求人数は前年から0.6％の減少となり、３か月ぶりに減少に転じた。,,
,,▲,求人情報誌製作会社（編集者）,採用者数の動き,・小売業やサービス業などで大手企業による寡占化が進んでおり、全国チェーンの店舗からの求人は旺盛である。地元の求人は外国人観光客関連の業界は元気があるが、そのほかの業界は思ったような人材が採れる状況ではないため、様子見状態となっている。,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,タクシー運転手,販売量の動き,・売上は安定している。また、早朝から業務をしているが、飲食街から乗車する客からも不景気な話は聞いていない。,,
,,◎,その他サービス［自動車整備業］（経営者）,販売量の動き,・年末を前にして、販売数、価格共に前年比120％ほどになっている。,,
,,○,スーパー（総務担当）,来客数の動き,・来客数、買上点数共に増加している。特に惣菜部門の伸びが顕著である。,,
,,○,乗用車販売店（従業員）,販売量の動き,・今まで我慢をしていた客が、車の購入を始めている。,,
,,○,乗用車販売店（店長）,お客様の様子,・新型ＨＶ車の発表を来月に控えて、客の反応も上向きになってきている。経年車からの需要はもとより、割と高年式の客からの代替需要も高まってきている。,,
,,○,住関連専門店（経営者）,単価の動き,・今月は高額な特注家具が売れたため、総売上高が増加している。ただし、継続的なものではないため、好景気といえるかは疑問である。,,
,,○,高級レストラン（支配人）,単価の動き,・高単価商材への反応が良く、例年に比べて客単価は好調に推移している。また、３世代家族の利用が多くみられており、少人数での家族会食が増えてきている。,,
,,○,都市型ホテル（経営者）,競争相手の様子,・同業者との情報交換の場においても、各ホテルでは個人客のレストラン利用が伸びており、売上も顕著であると報告されている。,,
,,○,通信会社（営業担当）,お客様の様子,・年末キャンペーンの効果がようやく表れ始めており、放送関連の新規契約者が増加している。ただし、通信関連は横ばいのままであり、新規契約者がなかなか伸びない状況である。また、解約者は全体的にやや減少傾向にあり落ち着いている。,,
,,○,観光名所（職員）,単価の動き,・乗船人数、予約人数共に若干の微増となっている。また、財布のひもが緩んでいるのか、客は１～２品多く購入しており、単価も少し上がってきている。この状態は１～２か月前から続いている傾向であり、景気は良くなってきているように見受けられる。,,
,,○,観光名所（職員）,来客数の動き,・11月後半の三連休にスタートしたイベントにより、来客数が好調に推移している。,,
,,□,商店街（代表者）,お客様の様子,・11月は天候に恵まれたが、消費意欲は依然として後退したままという印象を受けている。原油、ガソリン、灯油価格の下落による恩恵が一般の消費には回っていない。数字上はマイナスではないのだが、感覚的に購買意欲が低調であることが気がかりである。,,
,,□,商店街（代表者）,来客数の動き,・商店街や街なかを人が歩いていない状態が続いている。,,
,,□,商店街（代表者）,お客様の様子,・降雪が例年より10日以上も遅いため、消費者の冬支度はのんびりとしている。ホームセンターの暖房器具類、インテリア関連の冬物カーテン、カーペットがやっと動き出しているが、まだまだ消費の明るさは見えていない。,,
,,□,一般小売店［医薬品］（経営者）,単価の動き,・売上は前年比90.4％と決して良いわけではない。ただし、天候に左右されて来客数が減少したことが売上の前年割れの原因であり、単価は前年を上回っている。そのため、不景気であるとまではいえない。,,
,,□,一般小売店［医薬品］（経営者）,単価の動き,・以前は、ひとつの薬を販売するのに相談時間をかなりかけていたが、最近では、むしろ客があまり説明をしないうちに積極的にまとめ買いをするようになっている。,,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・低価格商材の販売量に動きはあるものの、高額商材の販売が伸びていないため、全体の売上にも変化がない。,,
,,□,百貨店（営業担当）,販売量の動き,・食料品、身の回り品など日用品の売上は順調に推移している。また、不振が続いている婦人服に関しても、月末近くなって主力アイテムのコートが売れ始めており、やや回復の兆しがみられている。一方、お歳暮商戦については出だしが遅れている。,,
,,□,百貨店（営業担当）,お客様の様子,・個人所得の向上が見込まれないなか、特に買い回り品が伸び悩んでいる傾向にある。,,
,,□,百貨店（経営者）,お客様の様子,・平年より気温が高いことから、コートなど高単価商材の動きが鈍い。また、プレミアム付商品券の第二弾の販売により底上げを期待したが、取扱加盟店が多岐にわたっており、地元商店街への波及効果は限定的となっている。,,
,,□,スーパー（経営者）,来客数の動き,・比較的天候が穏やかであり、来客数は増加している。ただし、鍋物などの季節商材が不振である。,,
,,□,スーパー（経営者）,単価の動き,・11月は、平均単価がほぼ前年並みであり、買上点数はやや減少している。また、来客数も伸びが悪い状態であり、消費が停滞しているような印象である。,,
,,□,スーパー（営業担当）,販売量の動き,・１品単価は前年並みであるものの、販売点数の伸び悩みが続いている。,,
,,□,スーパー（営業担当）,来客数の動き,・既存店の売上は前年比をクリアしている。来客数がほぼ100％と厳しいなか、買上点数101％、客単価102％と微増している。ただし、いずれも販促策やポイントなどの施策によるものであり、景気の影響によるものではない。,,
,,□,コンビニ（経営者）,販売量の動き,・前月同様に各数値は悪いままであるが、下げ幅は小さくなっている。そのなかでも小物のまとめ買いが何件かあり、買上点数はプラスに転じている。ただし、高額商材に手を出さない状況は継続している。,,
,,□,コンビニ（エリア担当）,来客数の動き,・競争激化という環境変化もあり、３か月前と比較して来客数は横ばいの傾向である。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数に変化がない。,,
,,□,コンビニ（店長）,来客数の動き,・販売データにおける全ての部分が、前年と同じ動きを示している。,,
,,□,衣料品専門店（経営者）,販売量の動き,・暖冬傾向のため、例年に比べて防寒衣料の売上が前年を下回っている。特に販売量が前年の５％ほど下回っている状況であり、ここ数か月は同様の傾向が続いている。,,
,,□,衣料品専門店（経営者）,お客様の様子,・プレミアム付商品券の使用により、贈答品の売上が多少増加している。しかし、期待以上の効果は出ていない。,,
,,□,衣料品専門店（経営者）,販売量の動き,・11月中旬までは比較的気候が安定していたためか、商店街も人通りがあり来客数も堅調である。,,
,,□,衣料品専門店（店長）,来客数の動き,・天候の影響で防寒着の動きが悪く、また、全体の来客数も減少している。,,
,,□,衣料品専門店（総務担当）,販売量の動き,・気温が下がらず、季節商材であるアウター類の売上につながっていない。,,
,,□,家電量販店（店長）,来客数の動き,・月間を通して来客数が減少している。,,
,,□,乗用車販売店（経営者）,販売量の動き,・新車販売において、いまだに消費税増税の影響を実感している。,,
,,□,乗用車販売店（従業員）,来客数の動き,・土曜、日曜、祝日において、新規の来客数の動きに全く変化がみられていない。,,
,,□,住関連専門店（経営者）,お客様の様子,・なかなか来客数が増加しないため、売上も横ばい状態が続いている。,,
,,□,その他専門店［酒］（経営者）,来客数の動き,・収穫時期も終わりつつあるが、平日の飲食店への来客数は相変わらず厳しい。週末に人が出てくるようになったが、全体の落ち込みを回復できるまでには至っていない。,,
,,□,その他専門店［酒］（経営者）,販売量の動き,・例年この時期は３か月前と比較して低調に推移する時期であるが、今年は販売量など顕著な落ち込み方をしていない。また、得意先の飲食店も閉店ばかりであったが、ここ最近は新規開店やリニューアルオープンをする店舗が出始めており、横ばいの状態を保つ要因となっている。,,
,,□,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・気温がなかなか下がらずに防寒着の売行きに影響が出ていたが、急に雪が降り始めたことにより、多少の動きがみられるようになってきている。しかし、高額商材はほとんど動かず、客は安価な商品へと流れている。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・11月は暖かい日が続いているため、季節商材の動きが鈍く大きな変動はみられていない。,,
,,□,高級レストラン（経営者）,来客数の動き,・当店も同様であるが、市場に仕入に行っても高級魚が全く売れていない。これは経済が動いていないという証拠ではないか。,,
,,□,一般レストラン（経営者）,販売量の動き,・株価の回復などにより、景気は若干良くなっているような雰囲気がある。ただし、当店においては売上に変化もなく、良くも悪くもない状態である。,,
,,□,一般レストラン（経営者）,来客数の動き,・今年は紅葉の時期が例年より長く、それに伴い観光に訪れる人も多少は多かったようである。そのため、当店の来客数も若干の増加となっている。,,
,,□,観光型旅館（経営者）,来客数の動き,・今月は繁忙期であり、来客数は例年並みかやや微増程度で推移している。ただし、景気が上向いている気配はなく、上向くような要因も見当たらない。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・今までは来客数が安定していたが、11月も後半になり寒さのために観光客が北に足を運ばなくなったことで、客室の稼働率が若干落ち込んでいる。ただし、宴会シーズンでもあるので、問い合わせも含めて宴会利用が増加しているため、トータルとしては変化のない状況である。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・宿泊部門、レストラン部門、宴会部門は、個人利用、団体利用共に前年同時期とほぼ同様の入込である。,,
,,□,旅行代理店（従業員）,販売量の動き,・直近の受注状況をみても前年比が伸びていない。国内需要はインバウンドの影響もあり予約が取りにくい地域があり、また、前年は好調であった沖縄方面も、ここ３か月の受注状況に陰りがみえている。,,
,,□,タクシー運転手,来客数の動き,・客の乗り控えが非常に目立っており、景気が悪いと実感している。,,
,,□,通信会社（営業担当）,単価の動き,・今年は年初めから商品の値上げがあったことや、価格が据置きでもメーカーの事情で内容量が勝手に少なくなっているなど、消費者は実質の支出が増加している。景気は決して上向きではない。,,
,,□,通信会社（営業担当）,お客様の様子,・顧客の設備投資意欲に変化がみられない。,,
,,□,通信会社（営業担当）,お客様の様子,・高額商材が売れない。,,
,,□,通信会社（営業担当）,お客様の様子,・機能アップによる生産性の向上と現状維持の価格を比較した場合、まだまだ価格による選択をする客が多い。,,
,,□,美容室（経営者）,単価の動き,・ここ数か月、単価的には前年比にそれほどの変化はみられていない。ただし、これはある程度当店の販促努力によるものであるため、景気だけをみた場合、良いとも悪いともいえない状況である。,,
,,□,美容室（経営者）,来客数の動き,"・高額なエステの来客数は減る一方であるが、ここ最近では1,000円カットなどの客が増えている。",,
,,□,設計事務所（経営者）,お客様の様子,・東日本大震災関連以外の物件の話が出てきているが、やはり決まるまでに時間がかかる状態が続いている。,,
,,□,住宅販売会社（経営者）,販売量の動き,・大型住宅の受注はないものの、小型住宅の受託販売数が伸びている。,,
,,□,その他住宅［リフォーム］（従業員）,販売量の動き,・11月は前月まで受注した工事が遅れなく完了しており、計画値並びに前年を上回っている。,,
,,▲,商店街（代表者）,販売量の動き,・今月は気温が比較的暖かいため、身の回り品を扱う店での冬物商戦は遅い感がある。また、生鮮食料品関係では購買単価の吟味が続いている。,,
,,▲,商店街（代表者）,来客数の動き,・11月に入り、従来よりもやや暖かな気候が続いている。そのため、前半は軽衣料の動きが活発であったが、最大の単価を示す重衣料の動き、特にコート、ジャケット関連の動きが弱い状態である。,,
,,▲,一般小売店［書籍］（経営者）,販売量の動き,・高額商材の楽器、高単価の美術書などは動いているが、一般客の販売量が引き続き低迷している。,,
,,▲,百貨店（総務担当）,お客様の様子,・前年、前月と比較しても今月は来客数が若干落ち込んでいる。また、客の二極化が進んでおり、中間層の購買力が落ちている。ただし、富裕層においてもそれほど消費に力強さはなく、全体的に売上は前年を若干下回っている。,,
,,▲,百貨店（売場担当）,来客数の動き,・来客数の落ち込みに加え、買上点数、客単価も同様に落ち込んでおり、回復の兆しすらみえてこない状況である。また、暖冬も大きく影響しており、防寒需要の伸び悩みが売上に直結している。,,
,,▲,百貨店（経営者）,お客様の様子,・冬物衣料の動きが悪い。今までも販売量の減少を客単価の上昇でカバーしていたが、店頭での接客においても防寒品に対する反応が鈍い状態である。生活防衛意識の表れか、ファッションアイテムの消費意欲の減退を年々強く実感している。,,
,,▲,百貨店（経営者）,来客数の動き,・前年の秋冬衣料品の消費は、過去に例をみないほどの不振であった。今年の立ち上がりは更に厳しい状況である。,,
,,▲,スーパー（経営者）,お客様の様子,・競争店のオープンから２か月経過しており、また、当店のリニューアルなどもあって客の買い回りの動きは大分進んでいるが、なかなか来客数の増加にはつながらない。,,
,,▲,スーパー（店長）,来客数の動き,・客の来店頻度が減少しており、売上の伸び率が鈍化傾向にある。また、チラシ特売時以外の来客数も減少しており、消費者は倹約傾向にある。,,
,,▲,コンビニ（経営者）,お客様の様子,・客は余計なものを買わなくなっており、客単価が上昇しない。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・前月までは来客数が７か月連続で前年比１～３ポイントの増加となっていたが、今月はマイナスに転じている。特に夕方～夜間の来客数の減少が顕著であり、酒類や珍味などのつまみ類の売上減少につながっている。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数が増加する兆しがない。,,
,,▲,コンビニ（エリア担当）,単価の動き,・来客数にそれほど変化はないが、買上点数の減少がみられている。,,
