,,▲,高級レストラン（スタッフ）,販売量の動き,・例年、景気の良くない時期であるが、今年は売上が前年を10％以上下回るなど、やや悪かった。原因としては、台風の影響により食材の値上がりが続いていることで、消費者が外食をする余裕がなかったためとみられる。また、連休中の好天でレジャー出費がかさんだことも影響したとみられる。さらに地元球団が勝ち進んだことで、試合のテレビ中継がある日は大幅に売上を落とした。周囲のレストランや飲食店からもため息が聞こえてきた。一方、９月以降、十勝や釧路の客からの予約がキャンセルとなっていたが、１月に延期されることが決まった。,,
,,▲,高級レストラン（スタッフ）,来客数の動き,・市内店舗の来客動向をみても、活気があまり感じられない。,,
,,▲,旅行代理店（従業員）,来客数の動き,・８月の台風の影響により農業関係の客の動きが縮小している。災害復旧の関係でビジネス需要は増加傾向にあるが、観光需要の減少を補填するほどの伸びはみられない。,,
,,▲,旅行代理店（従業員）,来客数の動き,・８月末の台風被害に伴う鉄道の運行不能から２か月が過ぎたが、いまだ復旧のめどが立っていないことから、企業によっては札幌への出張を減らすなどしているようである。航空などへの振替需要も以前の申込状況を考慮すると、全体的に少ないと感じる。,,
,,▲,旅行代理店（従業員）,お客様の様子,・旅行の申込が以前と比べてがくっと落ちている。高単価商材や格安商材は好調だが、中間クラスの売上が不調である。,,
,,▲,旅行代理店（従業員）,来客数の動き,・夏以降、徐々に客の動きが鈍っている雰囲気があったが、台風災害のあったここ２か月は明らかに来客数が減少しており、販売実績にも影響が顕著に表れている。,,
,,▲,タクシー運転手,販売量の動き,・基幹産業である農業において、農産物の作況が芳しくないとの報道が続いたことで、客の消費マインドが低下している。,,
,,▲,タクシー運転手,販売量の動き,・例年どおりのことではあるが、秋は夏よりも需要の減る時期であるため、景気はやや悪い。,,
,,▲,タクシー運転手,お客様の様子,・３か月前と比較すると１～２割程度売上が落ち込んでいる。例年、当業界の売上は夏場に微増して、秋以降は減少していくなど、季節に左右される傾向がある。また、景気動向にも左右されるが、当地域においては相変わらず景気が上向く兆しがみえてこない状況にある。,,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・観光シーズンが終了したことで、輸送量が著しく減少している。,,
,,×,コンビニ（エリア担当）,来客数の動き,・漁業関係の不調による影響がみられる。沿岸地域の店舗では来客数、売上の減少が続いているほか、販促の際も価格の低い商材にしか客が反応しない。,,
,,×,その他専門店［医薬品］（経営者）,来客数の動き,・５か月続いた景気の良い状態から、突然落ち込んだ。気候の急変による影響だけとは考えられないほどの落ち込みであり、理由が分からないことが問題である。,,
,,×,観光型ホテル（役員）,来客数の動き,・台風による道路、インフラなどの被害に加えて、報道による風評被害が拡大しており、国内客、海外客とも観光客が大きく減少する状況が続いている。,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,家具製造業（経営者）,受注量や販売量の動き,・一時期と比べればやや円安傾向となっていることで、先行きに対する不安感がやや緩和されている。また、当地域は目立った荒天や地震もないため、市民生活が安定していることもあり、景気はやや良くなっている。,,
,,○,建設業（従業員）,競争相手の様子,・大手や準大手の建設会社の多くが、今年度の目標とする建築工事受注量を達成している。なかには、新規工事に対する職員配置が困難になっている企業もみられる。,,
,,○,建設業（従業員）,受注量や販売量の動き,・公共工事、民間建築工事とも、受注量が順調に確保できている。また、建築工事については、引き合いが継続してみられることから、客先の設備投資意欲もうかがえる。,,
,,○,広告代理店（従業員）,それ以外,・地元球団の日本シリーズ優勝に伴い、流通業のセールを始め、飲食、ホテル業界などに経済効果が生じている。,,
,,○,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・８～９月の台風災害に伴う復旧工事が行われており、売上増加につながっている。,,
,,○,その他非製造業［鋼材卸売］（役員）,受注量や販売量の動き,・客先の仕事量の増加に伴い、当社の販売量も増えており、景気はやや良くなってきている。,,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・３か月前と比べるとあまり変化はみられないが、前年と比べるとやや売上が減少している。,,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・販売量が引き続き増加傾向で推移している。ただし、３か月前の販売量は前年比123％であったが、10月は110％となるなど、伸び率は縮小している。,,
,,□,輸送業（支店長）,受注量や販売量の動き,・農産物や現場物件の動向はほぼ見込みどおりであったが、そのほかのスポット輸送などの動きがあまりみられなかったため、全体としてはそれほど変わらない。,,
,,□,輸送業（営業担当）,受注量や販売量の動き,・８月の荷動きの減少分を９～10月で一部リカバリーできている。ただし、今後、年末にかけての動向には不安がある。,,
,,□,金融業（従業員）,取引先の様子,・台風被害による宿泊キャンセルなどによって、観光関連に悪影響が出ている。一方、住宅関連や公共工事関連は景気を下支えしている。また、地元球団のリーグ優勝によって、個人消費を中心に好影響がみられる。３か月前と比べると景気に大きな変化はみられない。,,
,,□,司法書士,取引先の様子,・不動産取引や建物の建築において、９月はやや上向き傾向にあったが、10月に入ってからは停滞している。,,
,,□,司法書士,取引先の様子,・依然として景気回復の兆しがみえない。新築のマンション着工も少なく、個人の住宅着工も芳しくない状況にある。,,
,,□,コピーサービス業（従業員）,取引先の様子,・設備投資に前向きな客と慎重な客の二極化が進んでいる。,,
,,□,その他サービス業［建設機械リース］（支店長）,取引先の様子,・台風による農業被害などのマイナス面と災害に伴う復旧工事のプラス面が混在している。,,
,,▲,司法書士,取引先の様子,・例年と比べて、不動産の売買、建物の増改築が少ない。,,
,,×,－,－,－,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,求人情報誌製作会社（編集者）,雇用形態の様子,・正社員求人が増加傾向にある。市場に人材が不足しているため、転職者を獲得しようとする企業が増えている。,,
,,○,職業安定所（職員）,求人数の動き,・月間有効求人数は前年比マイナス9.7％と２か月連続で前年を下回っている。一方、有効求人倍率は前年比マイナス0.08％と６年９か月ぶりに前年を下回ったものの、１倍を超える高水準が１年６か月継続している。,,
,,□,人材派遣会社（社員）,求人数の動き,・派遣ニーズの高まりに加えて、中途採用のニーズも高いまま推移している。特に営業職の求人が増えており、企業が拡大志向に変化している。また、当社で行う社員教育の受講ニーズも高まっている。業績の安定、売上拡大を視野に入れ、社員の質の向上を目指しているようである。,,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・台風による基幹産業へのダメージの影響が少しずつ緩和されてきていることで、求人件数に回復傾向がみられる。,,
,,□,職業安定所（職員）,求人数の動き,・有効求人倍率が６年７か月連続で前年を上回るなかで、新規求人数が５か月ぶりに、月間有効求人数が７か月ぶりに増加に転じた。ただ、前年との比較では、新規求人数が全体で7.3％増加する一方で、正社員求人の増加は1.4％にとどまっている。,,
,,□,職業安定所（職員）,求人数の動き,・月間有効求職者数が増加に転じており、これまで長く続いた求職者の減少傾向にストップがかかっている。ただ、月間有効求人数の増加が求職者数の増加を上回ったことから、有効求人倍率は引き続き1.0倍を維持している。,,
,,□,職業安定所（職員）,周辺企業の様子,・観光関連は活気があるが、地元住民が利用する商店街やスーパーは活気が感じられない。,,
,,□,学校［大学］（就職担当）,求人数の動き,・毎日多くの企業が求人のために来校するなど、企業の採用意欲は衰えていない。ただ、ディーラーなどの車関係の企業による来校が少ないことから、景気の良さはあまり感じられない。,,
,,▲,新聞社［求人広告］（担当者）,求人数の動き,・台風10号による被害の影響で、派遣、医療、加工・製造、小売といった募集広告売上高の上位４業種の売上が前年から10～30％減少しており、全体の売上も前年比92.5％と落ち込んだ。一方、災害復旧に伴い土建関連業種の売上が前年の約2.5倍となり、全体の落ち込みを若干緩和している。,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,＊,＊,＊,,
,,○,商店街（代表者）,競争相手の様子,・中心部の商店街においても、物販に関してはあまり良い話はない。ただし、陽気のせいか人出がそれなりにあり、飲食店は多少明るさをみせている。,,
,,○,商店街（代表者）,販売量の動き,・天候に恵まれて来客数が多く、生活雑貨関連、飲食店などはその好影響を受けている。そのため、物販関係全般に多少の明るさがみられている。,,
,,○,商店街（代表者）,来客数の動き,・比較的温暖な天候が続いている。好天に恵まれて雨が少ないこともあり、商店街の通行量や来客数が増加している。特に飲食業においては、夜間の来客数が増えている。,,
,,○,百貨店（総務担当）,単価の動き,・客単価が前年を上回っている。,,
,,○,スーパー（総務担当）,来客数の動き,・来客数以上に買上点数が伸びており、売上も順調である。,,
,,○,スーパー（営業担当）,来客数の動き,・来客数が前月より３％ほど増加しており、買上点数も上向き傾向にある。,,
,,○,衣料品専門店（経営者）,来客数の動き,・冬支度をする客が動き始めている。,,
,,○,衣料品専門店（経営者）,販売量の動き,・寒くなり、秋冬物が動き出している。,,
,,○,衣料品専門店（店長）,お客様の様子,・気温の動きに振り回されて来客数の動きは不安定であるが、例年と比べると高単価な商品を購入する客が増えてきている。,,
,,○,乗用車販売店（経営者）,販売量の動き,・新型車イベントの効果で、新車の受注が増加傾向である。また、車検需要も多く、サービス入庫も増えている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・新型車が発売となり、販売量が少しずつ伸びてきている。,,
,,○,その他小売［ショッピングセンター］（統括）,お客様の様子,・天候不順により８月から続いていた夏物、秋物衣料の販売不振は、寒さの到来とともに回復がみられている。また、旅行や各種イベントの参加など、サービス業態への消費のモチベーションも向上しつつある。,,
,,○,観光型ホテル（スタッフ）,販売量の動き,・入込数は前年を上回っている。ただし、販売単価は下がっている。,,
,,○,都市型ホテル（スタッフ）,来客数の動き,・来客数に動きが出てきており、数か月続いていたフリー客の減少傾向が、今月はプラスに転じている。数字が大幅に悪化した前年10月との比較のため、来客数、売上共に大きく改善している。,,
,,○,旅行代理店（店長）,販売量の動き,・国内の団体旅行の動きが少し良くなってきている。また、航空機の予約状況では、平日でも満席便の日が続くところもでている。,,
,,○,遊園地（経営者）,来客数の動き,・雨の多かった９月とは一変して雨が少なく、前年よりも順調に推移している。単価が下降気味ではあるものの、底堅い動きとなっている。,,
,,□,商店街（代表者）,来客数の動き,・来客数が少ない状態が続いている。,,
,,□,商店街（代表者）,来客数の動き,・国体の開催により、ホテル関係は県外からの来訪者により好調であるが、商店街への恩恵は少ない。,,
,,□,一般小売店［医薬品］（経営者）,来客数の動き,・春からの低迷が続いている。３か月前との比較では横ばいである来客数も、前年比では大幅な落ち込みとなっている。ただし、売上単価は比較的高く維持されており、店頭の雰囲気もそれほど悪くはない。このまま来客数が減少していくと、ますます景気悪化に向かうのではないかと心配していたが、今月はひとまず踏みとどまった格好となっている。,,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・販売量は横ばいで推移している。高額商材も少しずつ動きだし改善されてきているが、売上には変化がない。,,
,,□,百貨店（売場主任）,単価の動き,・来客数に大きな変化はないものの、１品単価、客単価共に下落が続いている。気温の低下に伴い冬物需要に期待しているが、低単価商品中心の動きとなっている。また、トレンドへの切替えを意識した客も、ショートブーツやコーディガンの購入が中心であり、単価は下がり気味である。,,
,,□,百貨店（営業担当）,お客様の様子,・気温が低下したこともあり、アパレルではアウター関連がようやく動き出しているものの、客単価は上がっていない。食品は野菜の価格高騰などもあるため、客の財布のひもは固いままである。,,
,,□,百貨店（買付担当）,お客様の様子,・月の前半はかなり厳しかったが、気温の低下とともに客の購買意欲も高まってきている。ただし、波があるため平均するとあまり変化はない。,,
,,□,スーパー（経営者）,来客数の動き,・野菜の価格高騰により単価は安定しているものの、来客数が伸びていない。,,
,,□,スーパー（経営者）,単価の動き,・10月の平均単価は前年比1.5％減とやや戻してきており、来客数、買上点数共に前年並みとなっている。ただし、日曜日が前年より１日多いことによるものであり、推移としては大きな変化はない。,,
,,□,スーパー（店長）,来客数の動き,・前年より日曜日が１回多く、来客数が増加している。そのため、前年比は良好であるが、直近２～３か月前の比較では横ばいとなっている。,,
,,□,スーパー（店長）,来客数の動き,・来客数は、ここ数か月は一定の伸びで推移している。,,
,,□,コンビニ（経営者）,単価の動き,・以前と比べて、買上点数が１～２点減少している。以前であれば、新規商品などはそれなりに売れていたが、今は目新しいものがあっても客はなかなか購入しなくなってきている。,,
,,□,コンビニ（経営者）,来客数の動き,・国体の影響で、来客数が前年比106％となり、客単価も102％と伸びている。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数は下がるところまで下がっており、そのまま留まっている印象がある。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の横ばい状態が続いている。,,
,,□,衣料品専門店（経営者）,お客様の様子,・客の購買行動は相変わらず慎重である。値下げをするか、キャッシュバックなどのメリットが無いと、購買につながらないケースが増えてきている。,,
,,□,衣料品専門店（経営者）,お客様の様子,・暖かな気候の影響により、冬物商材の出足が鈍い。,,
,,□,衣料品専門店（店長）,販売量の動き,・現在セールをしているが、スーツの販売量が思いのほか伸びていない。,,
,,□,家電量販店（店長）,来客数の動き,・来客数が年々減少している。,,
,,□,家電量販店（店長）,来客数の動き,・来客数は前年比98％と若干減少しているものの、客単価の上昇により、売上は前年並みとなっている。また、季節商材の動きは鈍いが、白物家電、ＡＶ機器、パソコン関連などは前年を上回っている。,,
,,□,乗用車販売店（経営者）,販売量の動き,・依然として新車及び中古車販売に活況がみられない。,,
,,□,乗用車販売店（経営者）,販売量の動き,・９月の決算セールが終わって一段落したため、やや盛り上がりに欠けている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・来客数が少ない。さらに、売れるものは安価なものが多い。,,
,,□,住関連専門店（経営者）,販売量の動き,・注文家具の大口の受注が少なく、売上もあまり良くない。,,
,,□,住関連専門店（経営者）,来客数の動き,・ここ数か月、客の節約志向が続いており、売上増加につながらない。そのため、毎月同じような売上の推移となっている。,,
,,□,その他専門店［酒］（経営者）,販売量の動き,・飲食店の動きに大きな変化はないが、店頭や流通の在庫が一段と引き締められている様子である。,,
,,□,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・ようやく気温が下がってきており、若干ではあるが冬物の動きが出てきている。前年は暖冬の影響で防寒衣料はさっぱりだったので期待をしているが、まだそれほどではない。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・灯油、軽油の販売量が前年を下回っている。販売価格は横ばいが続いているものの、仕入価格が上昇傾向にあるため、収益が悪くなってきている。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・大きな変動要因がなく、販売量にも変化はない。,,
,,□,高級レストラン（支配人）,お客様の様子,・来客数は例年並みで推移しているが、客単価が前年を下回っており、売上が減少している。消費者の動きには回復傾向がみられるものの、利用金額からは慎重な動向がうかがえるため、トータルとしては変わらない。,,
,,□,一般レストラン（経営者）,来客数の動き,・特に景気を左右するような要因がない。,,
,,□,一般レストラン（経営者）,来客数の動き,・かつて無いほど来客数が悪かった８～９月と比較すれば、若干来客数は戻ってきているものの、まだまだ景気が良いというレベルではない。かなりの企業努力をした結果である。,,
,,□,一般レストラン（経営者）,販売量の動き,・当店は比較的良い状況であり、例年並みの売上となっている。ただし、周囲の店舗や業者の話を総合すると、景気が良くなっているといった話はない。,,
,,□,一般レストラン（経営者）,お客様の様子,・各団体の全国大会が数件あり、予想よりも街への経済効果が表れている。大人が連泊するような大会だったため、食事と宿泊を別にする人が多く、客が飲食店やコンビニなどに流れたことが要因である。,,
,,□,観光型ホテル（経営者）,来客数の動き,・ここ数か月は来客数の前年割れが続いていたが、今月は前年を上回っている。,,
,,□,観光型旅館（経営者）,来客数の動き,・繁忙期のため来客数は多いものの、例年とほぼ同様の推移であり、景気が良くなってきているとまではいえない。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・インバウンドを含めた観光客数が前年を上回っており、宿泊の動きは順調である。しかし、一般宴会については、１件ごとの人数が減少傾向にあり徐々に売上も減ってきている。,,
,,□,都市型ホテル（スタッフ）,販売量の動き,・宿泊はほぼ変わらない状況である。宴会は忘年会に向けての予約が前年並みであり、レストランにも変化はみられてない。,,
,,□,都市型ホテル（スタッフ）,お客様の様子,・知事選挙の影響が売上に表れている。,,
,,□,旅行代理店（従業員）,お客様の様子,・国内は、長雨の影響により個人旅行を中心に伸び悩みが続いている。また、海外における情勢不安も払拭できていない。このような傾向が続いているため、客はまだまだ様子見をしている。,,
,,□,タクシー運転手,販売量の動き,・今までどおりに良い状況が続いている。,,
,,□,タクシー運転手,来客数の動き,・夜も昼も客が異常に少ない。特に年配者がタクシーに乗らなくなっている。,,
,,□,通信会社（営業担当）,それ以外,・日経平均株価が上昇しているものの、一部の製造業がけん引しているためであり、景気が改善しているわけではない。また、今年初めに物価が上昇しているが、その分を補填するような収入増加には至っていない。,,
,,□,通信会社（営業担当）,お客様の様子,・顧客の設備投資意欲に変化はない。,,
,,□,通信会社（営業担当）,お客様の様子,・取引先を定期的に訪問しているが、状況は前月と変わらない。値下げ要求のみであり、新規商材や追加については反応を示さない。,,
,,□,観光名所（職員）,単価の動き,・予約数、乗船客数は例年並みであるものの、売店の売上が伸びず、客単価の低下が顕著に表れている。ものを買うという意欲が今一つ見受けられない。,,
,,□,競艇場（職員）,単価の動き,・来客数が３か月前とほとんど変化がないものの、１人当たりの購入額が減少しており、売上が若干減少している。,,
,,□,美容室（経営者）,お客様の様子,・客との会話では、連休もあまり出歩かずに旅行などの消費を抑えている様子である。ただし、髪に良い単価の高いドライヤーの販売量が伸びているなど、必要な良いものにはお金をかけるという傾向がみられている。,,
,,□,住宅販売会社（経営者）,お客様の様子,・受注量はあるものの、規模が小さいため客単価が低い。,,
,,▲,百貨店（売場担当）,販売量の動き,・気温がなかなか低下しないため、防寒アイテムが苦戦している。そのため、例年のようなコートではなく、裏地なしの軽いタイプがトレンドアイテムとして好調である。このことから客単価が大きく低下し、売上に大きく影響している。,,
,,▲,百貨店（経営者）,お客様の様子,・店頭では、衣料品や高額商材などの販売量に変化はないものの、単価が低下しており、客が生活を防衛しようとする意識がうかがえる。また、セールにおいても以前ほどの購買意欲がみられず、催事の案内に対してのレスポンスも落ちてきている。,,
,,▲,スーパー（店長）,販売量の動き,・売上は下降傾向にある。７月の前年比105.9％の売上と比較して、10月は101.5％であり、若干の数字の低下がみられている。,,
,,▲,スーパー（営業担当）,販売量の動き,・10月は、天候が悪く低迷した前月分をばん回しつつも、前年の実績には届いていない。また、日照不足、台風が相次いで北海道に上陸した影響による野菜の価格高騰、海水温度の影響による秋サケ、サンマの不漁や小型化による価格高騰など、消費環境は極めて悪い。,,
,,▲,コンビニ（経営者）,お客様の様子,・目的買いが中心であり、買上点数が伸びていない。,,
,,▲,コンビニ（エリア担当）,販売量の動き,・９～10月前半は、好天の影響により飲料、アイスなどが好調であった。しかし、10月後半に気温が例年並に戻った途端、客単価の低下が著しい。揚げ物、コーヒーなど、カウンター周りのプラス品の購入が減少している。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・回復傾向にあった売上及び来客数が減少している。天候の影響もあるが、競争環境の激化によるところが大きい。,,
,,▲,コンビニ（店長）,販売量の動き,・前月からの買上点数の減少傾向は続いている。このところ、客が通販にお金を使う比率が高まっているため、店頭販売をしている一般小売店、スーパー、コンビニ、百貨店は厳しくなっている。,,
,,▲,コンビニ（店長）,競争相手の様子,・夏に比べて来客数、売上共に落ち込んできている。さらに、競合店が多く出店したことによる影響が徐々に大きくなり、厳しい状況になりつつある。,,
,,▲,衣料品専門店（総務担当）,来客数の動き,・買上点数及び客単価は前年並みで推移している。しかし、来客数の減少により、売上は前年比90％となっている。,,
,,▲,乗用車販売店（経営者）,競争相手の様子,・軽自動車業界がかなり苦戦している。,,
,,▲,住関連専門店（経営者）,来客数の動き,・とにかく来客数が少なく、売上も減少している。,,
,,▲,その他専門店［酒］（経営者）,販売量の動き,・天候が不安定なこともあり、飲食店への販売量が減少している。平日は特に注文数も少なく、耐え切れず閉店する店舗も出てきている。また、災害などの影響による物価の上昇が前月よりも大きく、消費者の買い控えに拍車をかけている。小売業では景気回復の兆候は一切見受けられない。,,
,,▲,その他専門店［靴］（従業員）,販売量の動き,・今年はトレンド商品がなく秋物商材の動きが鈍い。また、気温が下がらないため冬物はまだ早く、品ぞろえに苦戦している。,,
,,▲,観光型旅館（スタッフ）,お客様の様子,・消費単価が減少しており、宿泊プランの単価も低下傾向にある。,,
,,▲,都市型ホテル（スタッフ）,販売量の動き,・企業や団体客による会議や会食の予約数が減少しており、件数、売上共に前年を下回っている。,,
