,,□,美容室（経営者）,来客数の動き,・来客数は前年とほぼ変わらず、この３か月間をみても大きな変化がみられない。,,
,,▲,商店街（代表者）,単価の動き,・販売量の動きをみると、高額品と低価格品で分かれ、中間の価格帯の商材の売上が大きく落ち込んでいることから、顧客の二極化が更に広がっている。,,
,,▲,商店街（代表者）,来客数の動き,・10月は中国人を始めとした外国人観光客とハロウィーンの催しによる効果で、例年並みの来街者数を見込んでいたが、外国人観光客については、当地周辺ではほとんど姿を見掛けなかった。また、ハロウィーンも、ここ２～３年は10月下旬になると少しずつ来街者が増えてきていたが、今年は郊外の催しに足を運んでいるためか、来街者増加の兆候はみられなかった。,,
,,▲,一般小売店［土産］（経営者）,販売量の動き,・市内客、観光客ともに現政権の経済対策に対する期待感が薄れてきているためか、10月の売上は前年比94.2％、前々年比92.4％であった。また、買上客数、客単価もともに前年を８％程度下回った。物価高、マイナンバー制度導入など、客から不安材料の話を聞くこともずいぶん多くなった。,,
,,▲,百貨店（担当者）,来客数の動き,・来客数に減少傾向がみられる。,,
,,▲,コンビニ（エリア担当）,お客様の様子,・大雨や雪といった天候要因の影響もあるが、来客数の減少が継続している。新商品などに対する客の反応はみられるが、全体売上にはなかなかつながらず、第１次産業の低迷の影響が感じられる。,,
,,▲,コンビニ（エリア担当）,来客数の動き,・来客数が減っている。,,
,,▲,乗用車販売店（従業員）,販売量の動き,・秋の増販期にもかかわらず、販売台数が予算の80％、前年実績の80％と悪くなっている。,,
,,▲,乗用車販売店（役員）,販売量の動き,・当地域の動向が一向に上向いてこない。今年になって前年を上回った月は１か月のみであり、新商品の投入も売上につながってこない。地場経済の低下と消費者マインドの落ち込みが多分に影響を与えている。,,
,,▲,高級レストラン（スタッフ）,来客数の動き,・ランチタイムは外国人と団体客で満席となる日が多く、２日連続で来店する客もみられた。しかし、10月後半に入ると、ディナータイムは閑散としてきた。全体の売上は前年比で横ばいであった。,,
,,▲,観光型ホテル（役員）,来客数の動き,・外国人観光客の団体需要は堅調に推移している一方で、国内客の予約が取りづらい状態となっている。最終的には、外国人観光客の団体需要のキャンセルが多くみられたことで、全体の宿泊客数が伸びなかった。,,
,,▲,旅行代理店（従業員）,来客数の動き,・10月に入ってから雨の日が多く、洪水の被害もあったことから、農業関連での旅行需要の低下がみられる。また、一部地区でさけの漁獲が不振という声もあり、１次産業従事者の消費マインドの低下が懸念される。,,
,,▲,タクシー運転手,販売量の動き,・夏休みも終わり、観光客が減少しつつある。一方、夜間の利用客は相変わらず少ない。３か月前と比較すると、利用客が約7.5％減少していることからやや悪くなっている。,,
,,▲,タクシー運転手,販売量の動き,・９月の市内の同業他社の売上をみても、全体的に需要が減少している様子がうかがえる。,,
,,▲,その他サービスの動向を把握できる者［フェリー］（従業員）,来客数の動き,・今年は特に天候が不順であったことから、フェリーの欠航回数が多く、輸送量が減少した。,,
,,▲,住宅販売会社（経営者）,お客様の様子,・現政権の経済対策の浸透が地方まで及んでいない。特に不動産の価格がほとんど上昇してこないため、厳しい状況にある。,,
,,×,百貨店（売場主任）,来客数の動き,・10月は台風が北海道を通過するなど、強風が吹き荒れたことが３度もあったため、来客数の減少がみられた。アイテム別にみると、コートやジャケットなどは、９月からニットコートが売れていることの反動もあり、前年の90％台となった。一方、物産催事については、ほぼ前年並みの売上であった。,,
,,×,百貨店（販売促進担当）,来客数の動き,・月初めや中旬の暴風雨などの天候要因、前年との企画催事の違いといったマイナス要因はあるものの、来客数の前年からの減少幅が大きい。また、客の購買率も悪化しており、店舗内の買回り需要が減少傾向にある。,,
,,×,コンビニ（エリア担当）,来客数の動き,・夜間を中心に来客数が前年よりも悪くなっている。漁業関連の実績悪化が影響し、特に海岸部周辺の店舗での来客数が悪くなっている。,,
,,×,コンビニ（オーナー）,お客様の様子,・外国人観光客は安定しているが、地元経済の動向が良くない。,,
,,×,タクシー運転手,販売量の動き,・観光需要が一段落して以降、一般客の需要は前年比で弱含みの推移となっている。,,
"企業
動向
関連

(北海道)",,◎,－,－,－,,
,,○,－,－,－,,
,,□,食料品製造業（従業員）,受注量や販売量の動き,・３か月前と比べて、売上の変動が特にみられない。,,
,,□,家具製造業（経営者）,受注量や販売量の動き,・大都市圏を中心に高額商材が売れているなど、株高の効果が続いている。,,
,,□,建設業（従業員）,受注量や販売量の動き,・公共工事減少の影響もあるが、民間工事でマンションや賃貸ビルの新築工事などの受注もあるため、全体としては大きな落ち込みとはなっていない。,,
,,□,輸送業（営業担当）,取引先の様子,・農産物、医薬品、飲料品の道外への輸送は順調である。しかしながら、水産物の輸出は、サンマ、サケが全体的に不漁のため、前年から落ち込む見通しである。,,
,,□,輸送業（支店長）,取引先の様子,・鋼材類の輸送については、軒並み前年割れが続いている。特段、大きな案件が出てくる話も聞かれず、新規受注やスポット受注も決まっていない状況にある。,,
,,□,金融業（企画担当）,それ以外,・外国人観光客の大幅増加が続いていることで、ホテル、観光バス、土産物の製造業者、販売業者は好調である。設備投資は、北海道新幹線の開業を控えた観光施設、医療福祉施設などの新増設が活発である。一方、公共投資は工事発注が減少していることもあり、足踏み感が強い。,,
,,□,司法書士,取引先の様子,・不動産取引や建物などの建築については、ちょうど工事完了時期に当たる期間ということもあり、多少活気がみられるが、全体的には伸び悩みの状況にある。,,
,,□,司法書士,取引先の様子,・景気回復の兆しがみえてこない。当分、景気の上昇も下降もない状況が続くため、不動産の取引も減少している。また、横浜のマンションの施工データ改ざん問題の動向も気掛かりである。,,
,,□,コピーサービス業（従業員）,取引先の様子,・マイナンバー関連での出費など、予定外の支出があることで、企業の動向が慎重になっている。,,
,,□,その他サービス業［建設機械リース］（支店長）,受注量や販売量の動き,・依然として受注量や引き合い件数が低迷しており、景気が上向きにある状況とはとても言えない。,,
,,▲,建設業（従業員）,取引先の様子,・設計業界では、前年に施行された耐震改修促進法によって特需となった耐震診断がほぼ終了しているが、強度不足建物の所有者は経済的理由から、補強工事に消極的である。また、新築建物の計画も少なく、全体的に業務量が不足している。,,
,,▲,司法書士,取引先の様子,・例年と比べて、土地の売買、建物の新築が少ない。,,
,,▲,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・第１四半期は前年並みの受注量をキープしていたが、第２四半期になり、前年割れの状態で推移している。,,
,,▲,その他非製造業［鋼材卸売］（役員）,受注量や販売量の動き,・３か月前は大型案件があったため、売上は好調だったが、その反動で10月の売上は減少した。ただし、消耗資材の売上は微増している。,,
,,×,－,－,－,,
"雇用
関連

(北海道)",,◎,－,－,－,,
,,○,求人情報誌製作会社（編集者）,求人数の動き,・有効求人倍率が高くなったと実際にも感じるようになってきた。,,
,,○,職業安定所（職員）,求人数の動き,・月間有効求人数が68か月連続で前年を上回り、月間有効求職者数が47か月連続で前年を下回った。さらに新規高等学校卒業者の管内の求人数が前年から19.9％増加した。,,
,,□,求人情報誌製作会社（編集者）,求職者数の動き,・前々年の４月ごろから建設関連の求職者が減り始めていたが、ここにきて医療・介護、アパレルなどの販売関連の業種にも影響が及んでおり、人手不足感が深刻になりつつある。,,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・若干、前年よりも求人件数が減少しているが、人材不足の建設や介護業界は求人件数を伸ばしている。外国人観光客の増加や秋のイベントなどの効果もあり、ホテル業界や小売など、個人消費関連の求人も増加している。,,
,,□,職業安定所（職員）,求人数の動き,・公共事業が前年割れを続けているなか、建設業の求人が前年よりも減少している。,,
,,□,職業安定所（職員）,求職者数の動き,・７～９月の新規求職者数を前年と比較すると5.5％の減少となっている。有効求職者数も前年から9.9％の減少となっており、減少傾向に変化がみられない。,,
,,□,職業安定所（職員）,求人数の動き,・求人数の増加傾向が続いており、月間有効求人数は前年から3.9％増加し、２か月連続で前年を上回った。,,
,,▲,新聞社［求人広告］（担当者）,求人数の動き,・求人広告の売上上位構成業種が、加工、製造、卸を除き、軒並みダウンしている。特に医療、飲食、環境衛生の落ち込みが大きい。前年比では７％程度の落ち込みとなった。,,
,,×,－,－,－,,
,,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東北)",,◎,タクシー運転手,お客様の様子,・乗客からは不景気な話を聞かない。建設会社の設計者などは、仕事はあるが職人が不足している状態であると話している。,,
,,◎,その他サービス［自動車整備業］（経営者）,販売量の動き,・36か月連続で増収増益が続いている。,,
,,○,一般小売店［書籍］（経営者）,単価の動き,・当地域ではプレミアム付商品券が流通しており、客単価が非常に上がってきている。また、その効果により定価品やギフト商材が動いている。,,
,,○,一般小売店［医薬品］（経営者）,来客数の動き,・来客数が前年比103％となっており、それに伴って売上も前年比104％である。今の状態のままであれば、景気は上向きである。,,
,,○,一般小売店［医薬品］（経営者）,来客数の動き,・前月の落ち込みの反動からか、今月は来客数が大幅に増加している。一時的な落ち込み分はしっかりと埋め合わされており、前年比の数字も全体的に改善している。景気は緩やかな上昇基調を維持しているのではないか。ただし、当店の全ての客層に活況がみられているわけではなく、まだら模様に改善しているように見受けられる。,,
,,○,スーパー（店長）,単価の動き,・周辺の競合状況に変化はないが、全体的な来客数、売上共に増加傾向にある。また、客単価も上昇しており、価値ある良いものを買う傾向が見受けられている。反面、買上点数はさほど伸びていない。,,
,,○,スーパー（総務担当）,来客数の動き,・客単価及び１品単価は多少落ち込んでいるが、来客数が増加した分だけ買上点数も増加しており、トータルとして売上は若干増加している。,,
,,○,スーパー（営業担当）,販売量の動き,・来客数の伸びに伴い、販売点数も伸びが良くなってきている。また、客単価に変化はないが、季節の変わり目でもあるため、生鮮食品を中心に商品の動きが良くなっている。,,
,,○,コンビニ（エリア担当）,来客数の動き,・10月の来客数は前年比４ポイント増加、前月比でも３ポイント増加と改善しており、順調に推移している。カウンター商材である、コーヒー、ドーナツが大きく貢献している様子である。,,
,,○,衣料品専門店（経営者）,お客様の様子,・客はようやく冬支度を始めているようである。,,
,,○,衣料品専門店（店長）,来客数の動き,・秋の訪れが早く気温も後押しをしてマーケットが早く動いているため、コートを含めた秋物商材が動いている。また、前年と比較しても来客数が違ってきており、秋口は順調に推移している。,,
,,○,高級レストラン（支配人）,来客数の動き,・客の動きが活発になり、来客数が上向きになっている。若干ではあるが客単価も向上してきている。,,
,,○,一般レストラン（経営者）,販売量の動き,・今月は売上、来客数共に好調である。客の会話の内容からもそれほど悲観的な話は出ていないので、景気は良くなってきているのではないか。,,
,,○,観光型旅館（経営者）,来客数の動き,・繁忙期であり、来客数が前年同時期をわずかに上回っている。ただし、これは天候などによる影響であり、景気が上向いている実感はない。,,
,,○,観光型旅館（スタッフ）,来客数の動き,・プレミアム付旅行券などの助成により、好調な状態を保っている。,,
,,○,観光名所（職員）,単価の動き,・予約状況、来客数共に、前年並みもしくは数％の増加となっている。また、客単価も上昇しており、客の財布のひもが多少緩んできているような売れ方をしている。,,
,,□,商店街（代表者）,お客様の様子,・様々な経済指標が出ている割には、地方や中小零細企業にはほとんど恩恵が行き渡っていないのが現状である。本当の意味での消費の回復には時間がかかっている。,,
,,□,商店街（代表者）,販売量の動き,・天候に恵まれており、イベントの効果もあって来客数はまあまあである。ただし、食料関連の店舗においては商品の価格変動が落ち着かずに伸び悩んでいる。また、身の回り品を扱っている業種においても、店によって差はあるものの好不況がまだら模様であり、今一つというところである。,,
,,□,商店街（代表者）,来客数の動き,・消費者から商店街が見放されている。,,
,,□,商店街（代表者）,お客様の様子,・期待した９月の大型連休も盛り上がりに欠けており、お盆以降は消費者の節約志向が続いている。,,
,,□,一般小売店［酒］（経営者）,単価の動き,・前年同月と比較して、売上が若干増加している。,,
,,□,一般小売店［寝具］（経営者）,販売量の動き,・寝具関係は、相変わらずニッチ商品の需要が少ない。また、利幅の大きいふとん製作やカーテンの受注量も、極めて少ない状態である。,,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・低価格商材の販売量は上向いているものの、高額商材は新型商品などがないため、販売量が伸びていない。そのため、全体的な売上は変わらない状態である。,,
,,□,百貨店（売場主任）,単価の動き,・これまで売上の構成比の多くを占めてきた中間顧客層の購買力に回復の兆しがみられない。来客数の落ち込みよりも単価の低下が顕著であり、中間顧客層が低価格にシフトしつつあることがうかがえる。,,
,,□,百貨店（営業担当）,販売量の動き,・消費税増税後の買い控えの反動による売上増加は落ち着いてきているが、今月も売上はほぼ前年並みで推移している。また、紳士服の好調も継続しており、低調が続いていた婦人服もニットに動きが出るなど回復の兆しがみられている。一方、催事における物産展の売上の低迷が続いている。,,
,,□,百貨店（営業担当）,お客様の様子,・秋冬になってもアパレルの動きが良くない。,,
,,□,百貨店（買付担当）,お客様の様子,・売り出しにおいても客は慎重であり、セール品でも納得がいくまで購入には至らない。一方で新作は順調に稼働しており、二極化が継続している。,,
,,□,百貨店（経営者）,販売量の動き,・秋物から冬物防寒衣料の動きが出てきており、前年と比較しても動きに変化はない。ただし、来客数は微減しており客単価の上昇によって売上をカバーしている感がある。,,
,,□,百貨店（経営者）,お客様の様子,・天候の安定と気温の低下とともに、シーズン物の衣料品は相応の動きがみられている。反面、全体的な来客数は減少傾向が続いており、購買動向に力強さはない。そのため、必要なものだけを購入するという流れに変化はない。,,
,,□,スーパー（経営者）,来客数の動き,・惣菜の販売量は増加しており好調であるが、来客数は微減している。,,
,,□,スーパー（経営者）,単価の動き,・10月の平均単価は前月並みである。来客数は前年を上回ったものの、買上点数の伸びが足りていない。また、地域格差も表れており、全体としては変わらない状態である。,,
,,□,スーパー（経営者）,お客様の様子,・商圏内に競合店がオープンした影響が出ている。ただし、地元イベントによる集客の効果が持続しており、全体としては変わらない状況である。,,
,,□,スーパー（営業担当）,来客数の動き,・前月の既存店の売上は前年比102％と前年を若干上回っている。しかし、内容としては買上点数及び客単価が上昇したことによるものであり、来客数は前年比100％とほぼ変わらない状態である。スーパーマーケットは競合店の出店が加速化するなか、既存店の改装、スクラップ＆ビルドによって来客数を維持して売上を上げているのが実情であり、景気回復によるものではない。,,
,,□,コンビニ（エリア担当）,来客数の動き,・来客数の動きに変化がない。上向き、下向きのどちらでもなく変わらない状況である。,,
,,□,コンビニ（エリア担当）,販売量の動き,・夏以降から売上、来客数共に安定している。,,
,,□,コンビニ（店長）,単価の動き,・客の６割は価格の安い商品に手が伸びる傾向にある。残りの４割の客は徐々に質の高いものを買うようになってきているが、大半の客は価格で商品を選んでおり、二極化が拡大の傾向にある。,,
,,□,コンビニ（店長）,販売量の動き,・冬季に向けて店内を一斉改装しており、各部門に提案型陳列を導入している。しかし、ある程度の反応はあるものの、前年と比較して販売量に大きな変化はみられていない。,,
,,□,衣料品専門店（経営者）,販売量の動き,・ニットやコートなど、例年であれば動き出すはずの防寒衣料の動きが非常に鈍い。客単価、販売量共に例年を下回っている。,,
,,□,衣料品専門店（経営者）,販売量の動き,・例年より早くランドセルの受注があり、販売量も増加している。,,
,,□,衣料品専門店（総務担当）,販売量の動き,・この１年半の間、３か月前及び前年同月と比較しても販売量は前年を下回っており、景気は全く変わっていない。,,
,,□,家電量販店（店長）,来客数の動き,・来客数が前年に比べて10～20％落ち込んでいる。,,
,,□,乗用車販売店（経営者）,販売量の動き,・新車販売は消費税増税後の反動減が解消されつつあるが、中古車販売、整備入庫が減少傾向にある。,,
,,□,乗用車販売店（経営者）,競争相手の様子,・軽自動車業界は低迷している。また、他の販売会社においては、業績のばらつきが散見されている。,,
,,□,乗用車販売店（従業員）,販売量の動き,・個人客の販売量が伸びていない。,,
,,□,住関連専門店（経営者）,販売量の動き,・客からの受注品の納品状況をみても、特段に良いというわけではなく、販売量はさほど変わっていない。,,
,,□,その他専門店［酒］（経営者）,来客数の動き,・９～10月は地元農家の収穫期である。イベントなどにより一時的に来客はあったものの、飲食店の状況は芳しくない。また、店頭においては定番商品の動きがまずまずであるが、順調とは言い難い。,,
,,□,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・９～10月からの値上げにより前倒しで秋冬物の注文が入ったが、一時的なものであり、その後は静かになっている。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・消費量が大きい復興関連の軽油販売が順調であるが、灯油の消費が前年を下回ってきているため、相対的にみると横ばいで推移している。,,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・販売量に大きな変動はない。また、変動する要因も見当たらない。,,
,,□,一般レストラン（経営者）,単価の動き,・割引クーポンなどを発行すると来客数が増えるという状況は変わらずに続いており、景気は上向きでも下向きでもない。,,
,,□,観光型ホテル（経営者）,来客数の動き,・東日本大震災後の２年間は復興支援などにより多くの客が来てくれていたが、その後は客足が遠のいている。また、今は北陸ブームであり更に輪をかけて厳しい状況である。ただし、今月は我々の業界にとってトップシーズンである。企業などの大きな団体客は少ないものの、フルムーンなどの募集ツアー客が多くみられている。来客数は伸びないがほぼ満室状態となっており、館内にも多少の明るさがみえている。,,
,,□,観光型ホテル（スタッフ）,来客数の動き,・繁忙期を迎えて週末は予想どおりに満館の状態が続いている。ただし、団体客が減少しており、その分を上昇した単価でカバーすることによってかろうじて売上を維持している。,,
,,□,都市型ホテル（経営者）,単価の動き,・ホテル内レストランのリニューアルに伴い、主力商品の価格をやや値上げしている。単価の上昇を目指しているが、客は低価格帯の商品を選んでいるため、なかなか思惑どおりにはなっていない。,,
,,□,都市型ホテル（スタッフ）,単価の動き,・個人利用、法人利用共にほぼ前年並みで推移しており、来月以降の予約も同様の状況である。,,
,,□,都市型ホテル（スタッフ）,来客数の動き,・東日本大震災復興関連が少なくなってきており、宿泊部門の稼動が若干落ちてきている。また、宴会部門も前年を下回っているが、レストラン部門はプラスとなっている。,,
,,□,旅行代理店（経営者）,販売量の動き,・３か月前と同様に、個人旅行も団体旅行も前年並みに推移している。,,
,,□,旅行代理店（従業員）,お客様の様子,・国内の宿泊は前年並みとなっており、先行の受注状況もほぼ前年どおりで推移している。ただし、海外旅行については控えている様子がうかがえる。,,
,,□,タクシー運転手,来客数の動き,・ほとんどの客が短距離の利用であり、メーターを確認して目的地直前で停車の指示がでる。このような状態がずっと続いている。,,
,,□,通信会社（営業担当）,単価の動き,・各種物価の値上げは一段落したが、価格を上乗せしたものの他に、メーカーが予告無く容量を減らし外観上はそのままで価格を据え置くなど、どれもこれも実質上の値上げとなっている。一部の企業ではベースアップがあったようだが、全体的な底上げにはなってはおらず、景気は横ばいである。,,
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲について、前向きな印象がうかがえない。,,
,,□,通信会社（営業担当）,お客様の様子,・首都圏のように高額商材が売れるような良い話は無く、コスト削減の要求が多い。,,
,,□,遊園地（経営者）,来客数の動き,・三連休の雨や新水族館の新規オープンの影響はあったものの、来客数は前年を若干下回る程度で推移しており、単価も底堅い動きとなっている。,,
,,□,競艇場（職員）,来客数の動き,・売上、来客数共に、３か月前と変わらない状況である。,,
,,□,美容室（経営者）,来客数の動き,・来客数は前年並みに戻ってきている。しかし、売上は横ばいのままであり、良くも悪くもない状態である。,,
,,□,美容室（経営者）,単価の動き,・新しいメニューや販売物に対して、客の財布のひもが固い。,,
,,□,美容室（経営者）,来客数の動き,・七五三の着付けで忙しくなる時期であるが、年々予約数が減ってきている。今は写真館で着付け込みの撮影が安くできるため、美容業界は押され気味である。,,
,,□,設計事務所（経営者）,お客様の様子,・仕事の話があっても、決まるまでに２～３か月かかるか、中止となる状況が続いており、なかなか景気が上向きにはなっていない。,,
,,□,その他住宅［リフォーム］（従業員）,来客数の動き,・塗装工事の進捗が良好である。受付件数も前年実績より増えている。,,
,,▲,商店街（代表者）,来客数の動き,・前年と比較しても、買物需要が非常に少なくなっているように見受けられる。また、商店街の通行量はあまり変わらないものの、購入には至ってない。,,
