,,▲,百貨店（役員）,お客様の様子,・来客数が増えているにもかかわらず買上客数が増えていない。,
,,▲,スーパー（店長）,単価の動き,・来客数が回復傾向に転じてきたが、客単価がダウンしている。,
,,▲,コンビニ（エリア担当）,単価の動き,・来客数が回復しているにもかかわらず、売上が下がっている。商品単価が上がっているのに売上が下がっていることから、客の購買意欲が低下しているとみられる。,
,,▲,コンビニ（エリア担当）,販売量の動き,・当地の主力産業である漁業において、ロシアの臨検により北方領土海域内での漁が制限されている。当店の売上にも影響が出ている。,
,,▲,その他専門店［医薬品］（経営者）,販売量の動き,・12月は天候が穏やかで客足にもプラスであったが、１月に入ってからはホワイトアウトなど、天候の悪い日が多くなっている。１月はただでさえ営業日数の少ない月であるため、売上的にも堪える。,
,,▲,高級レストラン（スタッフ）,来客数の動き,・市内の大型店撤退の影響がみられる。,
,,▲,タクシー運転手,お客様の様子,・地方の景気は相変わらず回復傾向になっていない。１月は一層厳しい状況となっている。タクシー業界は日ごとの変動が大きいが、景気回復の兆しがみえない限り、客の動きの鈍さが増すことになると危惧している。会社の売上も前年と比較して約600万円の落ち込みとなっている。,
,,▲,タクシー運転手,お客様の様子,・冬期間の天候不順により、客の買物機会が例年よりも少なくなっている。新年会の規模も縮小傾向にある。,
,,▲,美容室（経営者）,来客数の動き,・ここ３か月、５％未満と僅かな減少率ではあるが、来客数が減少してきている。,
,,▲,美容室（経営者）,お客様の様子,・業界全体が価格低下、人材不足で悩んでいることから、景気はやや悪い。,
,,▲,住宅販売会社（経営者）,お客様の様子,・建設業界のゼネコン部門は非常に好調だが、一般住宅部門は消費税増税前の駆け込み需要も今一つであるなど、今後の対応が求められている。,
,,▲,住宅販売会社（経営者）,お客様の様子,・分譲マンションのモデルルームへの来訪客について、商談に要する時間が長くなってきている。また、前月と比べた来訪客数の伸びも余り大きくない。,
,,×,タクシー運転手,販売量の動き,・売上の減少が続いている。短期的な諸要因を考慮しても景気減速との判断は否めない。,
,,×,通信会社（企画担当）,販売量の動き,・前年秋の北海道胆振東部地震後から増えていた古い通信端末からの買換え需要が高齢者を中心に急に収まってきており、当初の見込みと比べて販売量が低迷している。,
"企業
動向
関連

(北海道)",,◎,建設業（従業員）,取引先の様子,・年度末の契約工期を控えた建築現場では、これまでの労務者不足などによる遅延が影響して追い込み最盛期にある。特に鉄構業界でこうした動きが顕著である。ただ、その一方で今後の遅延のリスクもはらんでいる。,
,,◎,その他非製造業［鋼材卸売］（従業員）,受注量や販売量の動き,・数か月前の予測よりも大幅に売上が伸びている。ただ、ベース商材の動きが鈍いことが気掛かりである。,
,,○,輸送業（支店長）,受注価格や販売価格の動き,・受注価格の改定要請の理解が得られやすくなってきている。,
,,○,金融業（従業員）,取引先の様子,・住宅投資は弱含みで推移しているものの、個人消費は底堅く推移している。これまで道内景気をけん引してきた観光も、北海道ふっこう割の効果などで国内客が前年を上回ってきているほか、外国人観光客の減少幅が縮小するなど、急速に持ち直してきている。北海道胆振東部地震の影響緩和が続いていることで、道内景気は３か月前に比べてやや良くなっている。,
,,□,建設業（役員）,受注量や販売量の動き,・例年と比べて、降雪の影響が少ないことから、受注工事は計画どおり順調に進行している。完工高、利益共に積み上がりの良好な状況に変わりはない。,
,,□,輸送業（営業担当）,受注量や販売量の動き,・前年は北海道産農作物が全般的に不作であったが、平年並みであった砂糖、でん粉関連で倉庫保管、輸送の動きが出てきている。一方、ほかの貨物については荷動きが低調となっている。,
,,□,通信業（営業担当）,受注価格や販売価格の動き,・前月は各種の指標の動きからやや悪いと判断したが、１月に入ってから株式市場や各種の指標の動きが落ち着き始め、それと連動するように身の回りの企業活動も３か月前と同程度の水準まで回復してきた。,
,,□,司法書士,取引先の様子,・不動産取引や建物の新築などの動きをみると、前年12月までに契約済みの案件が現在実行されていることで多少の動きがみられるが、２月以降３月までの状況は不透明である。,
,,□,司法書士,取引先の様子,・降雪前の不動産取引が低調であったため、景気が良くなってきたとの実感はない。景気動向に変化はみられない。,
,,□,コピーサービス業（従業員）,受注価格や販売価格の動き,・客先が必要最低限の購買にとどめている傾向がみられる。,
,,□,その他サービス業［建設機械レンタル］（総務担当）,受注量や販売量の動き,・今年に入り売上がほぼ前年並みで推移している。,
,,▲,食料品製造業（従業員）,受注量や販売量の動き,・年が明けて急に荷動きが悪くなっている。前年と比較してもやや悪い状況にある。,
,,▲,食料品製造業（従業員）,受注量や販売量の動き,・１月の販売量は前年比マイナス３％であるが、３か月前の９月の販売量は前年比マイナス２％であったため、景気はやや悪くなっている。,
,,▲,家具製造業（経営者）,受注量や販売量の動き,・小売店からの受注が減少している。全国的に天候不順や地震などの影響が残っているほか、世界的な景気の減退が地方にも波及し始めている。,
,,▲,司法書士,取引先の様子,・例年と比べても住宅建設の受注、宅地売買の動きが少ない。,
,,×,－,－,－,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,求人情報誌製作会社（編集者）,周辺企業の様子,・北海道胆振東部地震の直後は、自粛ムードも含めて観光客や店舗の集客状況が落ち込んでいたが、現在は季節要因もあり、回復してきている。年明け以降は、自粛ムードも感じられず、例年並みの集客状況に戻っていることから、雇用環境もやや良くなっている。,
,,○,求人情報誌製作会社（編集者）,周辺企業の様子,・前年９月に北海道胆振東部地震があったが、北海道ふっこう割の効果で観光客は震災前の水準に回復している。毎年２月に行われる冬のイベント目当ての観光客も、外国人観光客を中心に前年を上回る見込みとなっている。さらに、空港の国際線ターミナルの拡張整備が行われており、先日オープンしたホテルも集客が好調で、新たなホテル建設計画も進んでいる。こうした動きに関連した求人も発生しているなど、雇用環境はやや良くなっている。,
,,□,人材派遣会社（社員）,求人数の動き,・求人数は相変わらず堅調に増加している。１月早々にもかかわらず前年の２倍と３か月前とほぼ同数の求人が寄せられている。ただ、スキルの高い人材が減少傾向にあり、マッチングに苦労している。取引先の携帯ショップでは、若年者であれば過去のキャリアにかかわらず、すぐ面接を行い、採用判断をするなど、業績の維持、拡大に向けた新たな動きもみられている。,
,,□,求人情報誌製作会社（編集者）,求職者数の動き,・全業種及び職種で応募者数が減少している。なかでも建設、土木関連の厳しさが増している。,
,,□,求人情報誌製作会社（編集者）,求人数の動き,・求人を出しても、採用が決まらないため、求人数が低調に推移している。特に個人消費関連業種での落ち込みが目立つ。また、年明け早々であることから、様子見ムードもうかがえる。,
,,□,新聞社［求人広告］（担当者）,周辺企業の様子,・流通業や小売業において、売上の伸びが鈍化しているとの話を聞く。,
,,□,職業安定所（職員）,求人数の動き,・月間有効求人数が４か月連続で前年を下回ったが、月間有効求職者数が７年２か月連続で前年を下回ったことから、有効求人倍率は1.13倍と前年を８年10か月連続で上回った。,
,,□,職業安定所（職員）,求人数の動き,・12月の有効求人倍率は1.22倍であり、前年を0.08ポイント上回り、引き続き高い水準で推移している。,
,,□,職業安定所（職員）,求人数の動き,・有効求人数が４か月連続で減少しているが、専門的・技術的職業の正社員求人割合に大きな変動はみられない。一方、医療、福祉などの人手不足分野では正社員求人の更新割合が高くなっている。,
,,□,学校［大学］（就職担当）,求人数の動き,・道内各企業の採用担当者の動きから、１月は大きな変化がみられない。,
,,▲,－,－,－,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：公益財団法人東北活性化研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,競艇場（職員）,単価の動き,・数名の大口客が来場している様子であり、好調である。,
,,○,コンビニ（経営者）,販売量の動き,・客単価、買上点数共に堅調に推移している。正月は例年どおり動きが良くなかったが、その後は雪の日が少なく、気温もそれほど下がらなかったため、天候に恵まれて朝の通勤客が時間に余裕を持って買物をしている様子がみられている。また、目的買いの他にプラスアルファの小物の購入が目立っている。,
,,○,コンビニ（エリア担当）,来客数の動き,・競合店舗の出店によるマイナス分を、ワンブランド効果でカバーしている。また、若干ではあるものの、来客数も増加している。,
,,○,衣料品専門店（店長）,お客様の様子,・出張などのビジネス需要が安定しており、天候に左右されて不安定な動きをみせているカジュアル需要をカバーしている状態である。,
,,○,乗用車販売店（経営者）,販売量の動き,・初売りの売上は他社に若干の後れをとったものの、その後は徐々に上向いてきている。,
,,○,乗用車販売店（従業員）,販売量の動き,・消費税の引上げ前の駆け込み需要が始まっている。,
,,○,乗用車販売店（本部）,販売量の動き,・客からは、消費税の引上げ前にという声が聞こえ始めている。販売台数も新車、中古車共に前年を上回っており、特に高額車の動きに顕著な伸びがみられている。,
,,○,一般レストラン（経営者）,来客数の動き,・若干ではあるが、来客数が伸びている。,
,,○,タクシー運転手,お客様の様子,・例年、１月は天候が荒れない限り乗客数は伸びないものだが、今年は穏やかな天候でも乗客数が伸びている。,
,,○,通信会社（営業担当）,お客様の様子,・年末のキャンペーンが終了し、新年に入ってからは光サービスのエリアも順次拡大しているため、加入者を増やしている。特にＩＰ電話については、セットによる加入者が増加しており、年間を通して純増となっている。,
,,○,観光名所（職員）,来客数の動き,・インバウンド客を中心に来客数が伸びている。団体予約以外の客も、ＪＲの乗り放題などを利用してインバウンド客を中心に多くなっている。,
,,○,その他サービス［自動車整備業］（経営者）,販売量の動き,・１月に入っても来客数が多い状態が継続している。,
,,□,商店街（代表者）,販売量の動き,・穏やかに始まった新年であり、初売りも来街客に比較的恵まれている。しかし、潤った飲食店やファーストフード店と比較して、中小物販店は同様の状況には至っていない。今年は初売りと同時にセールが開始されたが、いかがなものかとの声も聞こえている。さらに、その後は中だるみや落ち込みがみられており、商店街全体としては注視せざるを得ない状況である。,
,,□,商店街（代表者）,来客数の動き,・地元において、雪の降る場所は天候に左右されることが非常に多い。今年は前年同様に天候の良い日が多く好天に恵まれたことにより、来客数は前年並みを維持している。,
,,□,商店街（代表者）,来客数の動き,・１月は降雪量が少なく、商店街の来街者は例年並みで推移している。また、各店舗の売上も横ばいとなっている。,
,,□,商店街（代表者）,来客数の動き,・年末年始など、景況感に左右されるようなにぎわいが実感できなくなっている。,
,,□,一般小売店［医薬品］（経営者）,お客様の様子,・客は必要なものを購入しているため、来客数は減少気味であるものの、客単価、買上点数共にある程度良い方向に向かっている。ただし、全体的な来客数は減少傾向にある。,
,,□,一般小売店［医薬品］（経営者）,来客数の動き,・３か月前と比較して来客数は横ばいであるが、客単価は低下している。中旬以降は寒さが厳しくなるにつれて、来客数も減少してきている。,
,,□,一般小売店［カメラ］（店長）,販売量の動き,・低額商材の動きが非常に悪い状態であるが、高額商材の動きが好調のため、売上は確保している。また、新商材の予約も入っている。,
,,□,百貨店（売場主任）,お客様の様子,・冬物クリアランスセールを実施しているが、価格が下がったからといって単純に客が購入する雰囲気にはならない。品目にもよるが無駄な出費は控えている様子である。食品、化粧品などは比較的好調であるが、衣料品を始めファッション関連は苦戦している。,
,,□,百貨店（企画担当）,販売量の動き,・販売量、来客数共に変化がない。,
,,□,百貨店（営業担当）,お客様の様子,・初売りの福袋や冬物クリアランスセールなど、毎年同じような内容の商品には客も飛びつかなくなってきており、モノよりコトにシフトしてきている。ただし、景気の動きとしては余り変化はみられていない。,
,,□,百貨店（買付担当）,お客様の様子,・クリアランスセールに入っても、吟味して購入する傾向は変わっていない。衣料品のまとめ買いは前年よりもかなり少なくなっている。,
,,□,百貨店（経営者）,販売量の動き,・天候に恵まれて初売りは前年を若干上回っている。しかし、衣料品セールは立ち上がりの瞬間的な盛り上がりに欠けており、定価品同様に苦戦するなど、アパレルの百貨店チャネルからの離反傾向がみられる結果となっている。食料品は物産展がけん引して堅調に推移している。,
,,□,スーパー（経営者）,単価の動き,・平均１品単価の前年比は横ばいで推移している。また、既存店の来客数、買上点数共に変化はなく、売上の前年比の動きにも大きな変化はみられていない。,
,,□,スーパー（店長）,来客数の動き,・来客数は前年を上回っているものの、客単価は依然として前年割れの状態が続いている。,
,,□,スーパー（店長）,販売量の動き,・以前は売上の伸び率が来客数を上回っていたため、客が少なくても売上があったが、最近は逆転しており、１人当たりの購入金額が減少している。,
,,□,スーパー（営業担当）,販売量の動き,・前年比は、来客数99％、売上97％と、ここ半年間と同様の結果である。競合環境は厳しく、買い回りによる買上点数の減少が続いている。また、暖冬の影響により、生鮮部門を中心に鍋物商材の不振、葉物野菜の価格下落による売上の落ち込みも大きい。,
,,□,コンビニ（店長）,来客数の動き,・復興作業が徐々に落ち着き、それに伴い作業員数が減少しているため、来客数が20％ほど低下している。,
,,□,衣料品専門店（経営者）,お客様の様子,・暖冬の影響で防寒衣料の動きが鈍く、処分に苦労している。また、中学、高校の学生服やセーラー服など、学校の指定制服の売り込みは、友人知人に声をかけて紹介してもらっている。,
,,□,家電量販店（従業員）,お客様の様子,・生活必需品ということでエアコンなどの暖房商材は売れているが、趣味し好の側面が強い高額なテレビ関係は伸びていない。,
,,□,乗用車販売店（従業員）,来客数の動き,・土日祝日の来客数の動きに変化はみられていない。,
,,□,その他専門店［酒］（経営者）,販売量の動き,・大幅に落ち込んだ11月の状態から横ばいで推移している。工夫で多少は取り返しているものの、余り景気は回復しているとはいえない。,
,,□,その他専門店［靴］（従業員）,販売量の動き,・中身が見えない初売りの福袋は、年々売れなくなっている。また、この時期は割引商品を探している客が非常に多く、在庫処分と割り切るしかない状況である。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・灯油の前年比が90％、軽油の前年比が80％と、暖冬の影響により販売量の前年割れが続いている。ただし、大きな値段の崩れがないため、収益はそれなりに確保できている。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・販売量は前年割れの推移が続いている。また、年末に値下げに動いていた原油相場が、１月に入り再び値上げに動き出している。,
,,□,その他小売［ショッピングセンター］（統括）,単価の動き,・初売りの福袋は減少しているものの、平均単価は上がってきている。また、来客数の動きは通常と変わらずに推移している。,
,,□,観光型ホテル（経営者）,来客数の動き,・年末年始は例年並みの入込であったが、12月の忘年会シーズン同様に、何日か極端に平日の入込が悪い日がみられている。,
,,□,観光型旅館（経営者）,来客数の動き,・来客数は前年並みではあるものの、低調に推移している。,
,,□,都市型ホテル（スタッフ）,お客様の様子,・冬になると売上は減少していくが、今年は雪が少なく天候もやや良かったことから、思っていたよりも減少幅が少ない状態である。,
,,□,旅行代理店（経営者）,お客様の様子,・客はより安くて良いものを求める傾向になっている。また、こちらの軽微なアナウンスミスに対して、クレームとしてその分の料金が支払われないというケースも出てきている。客の財布のひもが固くなってきており、必要以外のものに金を出したくない様子である。,
,,□,タクシー運転手,お客様の様子,・営業日の乗車回数は増加しているが、利用者との会話からは寒さの話が出てくるため、時期的な増加であるとみている。,
,,□,通信会社（営業担当）,お客様の様子,・１月後半から下降気味となっている。企業の様子見が増え、営業も抑えられている。米中の貿易摩擦に巻き込まれないよう、東南アジアやアフリカ諸国への進出を模索している企業もある。また、通信業界も低迷しており状況に変化はない。,
,,□,通信会社（営業担当）,お客様の様子,・客の設備投資意欲に変化がみられていない。,
,,□,通信会社（営業担当）,来客数の動き,・初売りの来客数が予想よりも少なく、前年と比較しても大きく減少している。,
,,□,観光名所（職員）,来客数の動き,・開催中のイベントが客から高評価を得ているにもかかわらず、来客数の増加につながっていない。食事についても、安価なほかの施設を利用する傾向が多くみられている。,
,,□,遊園地（経営者）,来客数の動き,・１月は限定営業をしているが、雪が少なく天候が安定していることや、暦が良かったことから前年を上回っている。,
,,□,美容室（経営者）,単価の動き,・これといった増減の動きはなく、売上、客単価共に前年並みで推移している。,
,,□,美容室（経営者）,競争相手の様子,・狭い地域に美容院が何軒もあるため、競争が発生している。,
,,□,住宅販売会社（経営者）,お客様の様子,・大型の宅地や建物を希望している客のうち、数件の動きが足踏みをし始めている。,
,,▲,一般小売店［酒］（経営者）,単価の動き,・売れ筋商品の単価が下がっている。,
,,▲,一般小売店［酒］（経営者）,販売量の動き,・例年どおり、年が明けたら得意先の発注量も一気に落ち着いている。得意先の飲食店では客足が鈍く、来店しても早々に帰宅してしまう客が多く厳しい状況である。消費者はまだまだものを買うことに消極的なことに変わりはない。,
,,▲,スーパー（営業担当）,来客数の動き,・来客数は前年比98.7％と前年を下回っており、売上は来客数よりも悪く前年比97.9％となっている。また、客単価も99.2％と買い控えの傾向がみられている。,
,,▲,スーパー（副店長）,販売量の動き,・必要なものを必要な分しか購入しないなど、客の買物の仕方がシビアになってきている。,
,,▲,コンビニ（経営者）,単価の動き,・今月は目的買いがかなり多く、衝動買いが減少している。,
,,▲,コンビニ（エリア担当）,来客数の動き,・１月の来客数は、前年比で３ポイント落ち込んでいる。特に朝の来客数減少が続いており、カウンターコーヒーやパック飲料などの売上が減少している。,
,,▲,コンビニ（店長）,来客数の動き,・雪による来客数の減少、光熱費の高騰、除雪代の負担、競合店舗のオープンなど、全てにおいて厳しい月となっている。,
,,▲,衣料品専門店（経営者）,販売量の動き,・初売りの来客数は前年を下回っている。福袋だけを購入していく客が多く、販売量も減少している。,
,,▲,衣料品専門店（店長）,来客数の動き,・初売りの客が６日まで動いたことで週の売上は確保できている。ただし、成人式やセンター試験の日程が前年と比較して１週間ずれた影響もあり、これ以降は大苦戦をしている。,
,,▲,衣料品専門店（店長）,来客数の動き,・競合店舗のオープンから３か月が経過しているが、来客数は前年比90％で推移している。,
,,▲,衣料品専門店（総務担当）,単価の動き,・来客数は余り落ち込んでいないものの、客単価、買上点数共に減少している。処分価格の商品ばかりが動いており、粗利も落としている。,
,,▲,乗用車販売店（経営者）,販売量の動き,・メーカーからの配車が遅く、売上納車ができない状況である。,
,,▲,自動車備品販売店（経営者）,販売量の動き,・例年と比較して売上が減少している。取引先のユーザーに購入意欲がみられていない。,
,,▲,住関連専門店（経営者）,来客数の動き,・降雪と寒さで来客数が落ち込んでいる。また、客の節約志向が高まっているようにも見受けられる。,
,,▲,その他専門店［食品］（経営者）,販売量の動き,・年が明けて閑散期となっている。例年に比べて雪が少なく買物に出掛けやすい環境ではあるが、なかなか消費者の足が向かないため、販売量も伸びていない。,
,,▲,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・全般的に動きが良くない。大きな物件もなく、特に動きの良いものもないため、厳しい月となっている。,
,,▲,一般レストラン（経営者）,来客数の動き,・レストランの苦戦は続いており、ランチタイムにおいて、これまで少なからずあった来客数が今月は特に減少している。,
,,▲,一般レストラン（経営者）,お客様の様子,・大型連休以降は静かな状態である。給料日以降は多少にぎわったものの、全体的にみると前半の冷え込みが強く、景気はやや悪い状態である。,
,,▲,一般レストラン（経営者）,お客様の様子,・今月はインフルエンザの流行が受験シーズンと重なり、慎重になっているのか、外出が控え目になっている。そのため、雪が少なく動きやすい環境にもかかわらず、人の動きが鈍くなっている。,
,,▲,観光型旅館（スタッフ）,販売量の動き,・全体的に景気が悪く、申込みや問合せ自体が少ない。前年よりも宿泊単価を上げた影響が出ている可能性がある。,
,,▲,都市型ホテル（スタッフ）,お客様の様子,・個人利用の動きに余り変化はみられていない。ただし、法人利用の会合において、地方開催を取りやめて首都圏のみの開催にするとの理由により、キャンセルや次回の開催がなくなるという状況が数件続いている。,
,,▲,旅行代理店（店長）,販売量の動き,・国内個人旅行が前年を上回っているものの、国内団体旅行の動きが悪く、足を引っ張っている状態である。,
,,▲,旅行代理店（従業員）,販売量の動き,・先行販売における同期比も前年を下回っている。,
,,▲,通信会社（営業担当）,単価の動き,・物価の値上がりが続いており家計を圧迫している。収支のバランスが取れず、実質的なマイナス家計となっている現状にある。水面下の声を聞くと、景気はやや悪くなっていると実感している。,
,,▲,設計事務所（経営者）,競争相手の様子,・これまでは他社の動向を気にする必要がないくらいに忙しかったが、最近では受注の状況や取扱案件について他社から聞かれることが増えている。そろそろ手持ちの案件や今後の受注予定が少なくなってきているのではないか。,
,,▲,その他住宅［リフォーム］（従業員）,販売量の動き,・リフォーム工事の受注が増えず、給湯器などの設備工事も増加していない。,
