,,▲,コンビニ（エリア担当）,単価の動き,・お盆期間の猛暑で売上は一時回復したが、全体的には客単価が低下している。原油の高騰でレジャーに支出した金額が増えたためか、特に給料日後の単価の低下が目立っている。,
,,▲,観光型ホテル（経営者）,来客数の動き,・団体ツアー客の動きが良くない。特に企業や団体のツアー客が少なくなってきている。旅行人員数の減少分を上昇基調にある宿泊単価や売店等の付帯収入でカバーできなくなってきている。,
,,▲,旅行代理店（従業員）,販売量の動き,・夏休み期間中の宿泊客数が思っていたよりも伸びなかった。,
,,▲,美容室（経営者）,来客数の動き,・以前よりも客の来店周期が長くなってきている。特に年金生活者において、その傾向が顕著に出てきている。,
,,▲,設計事務所（所長）,競争相手の様子,・しばらく続いた中国特需の影響にも慣れてきたところであったが、最近の原油高の影響で様々な物の価格が一段と上昇している。建築の場合、価格は複合的な要因で決まっており、一気に変わることは少ないが、じわじわとボディーブローのように効いてきている。,
,,▲,住宅販売会社（経営者）,来客数の動き,・モデルハウスへの来場者が相変わらず少ない。,
,,×,コンビニ（オーナー）,来客数の動き,・単価が低下していることに加えて、来客数が極端に減ってきている。,
,,×,その他専門店［医薬品］（経営者）,お客様の様子,・猛暑という割には季節商材の動きが弱い。購入の優先順位が低いようであり、店に立ち寄らない客が多すぎる。,
"企業
動向
関連

(北海道)",,◎,－,－,－,
,,○,輸送業（経営者）,取引先の様子,・運輸関係では燃料の高騰が響いている面もあるが、様々な合理化を図ったことで景況感が良くなっているという印象を受ける。,
,,□,家具製造業（経営者）,受注量や販売量の動き,・今年の夏は全国的な猛暑で百貨店などの客足が鈍ったことにより、売上が伸び悩んだ。,
,,□,出版・印刷・同関連産業（役員）,受注価格や販売価格の動き,・経済活動は活発になってきていると感じるが、中小企業や不況の続いている業種では売上や利益が減少しており、勝ち組、負け組の差が大きくなっている。,
,,□,金属製品製造業（経営者）,取引先の様子,・仕事の引き合いが少なく、受注量を確保できていない。また、原材料の価格が上がっているが、製品価格に転嫁できない状況である。,
,,□,輸送業（営業担当）,取引先の様子,・猛暑の影響で本州の牛が夏バテしており、乳量が落ち込んでいる。また、過去２年間での生乳の生産調整の影響もあり、ここにきて生乳が不足している。その対策として、北海道の生乳を増加させようと、牛に飼料を多く食べさせているため、飼料製品の輸送が好調である。,
,,□,金融業（企画担当）,それ以外,・設備投資は道外資本の大型工場新設が押し上げている。企業収益は原材料価格の上昇で圧迫されている。建設関連は公共工事の減少により厳しい。住宅投資は貸家着工がピークを超え、減少基調となっている。個人消費は所得環境の厳しさから弱含み、観光は旭山動物園と来年のサミット効果で堅調に推移している。総じて景気は横ばいで推移している。,
,,□,司法書士,取引先の様子,・不動産関係、建設関係といずれも低調に推移している。,
,,□,その他非製造業［鋼材卸売］（従業員）,受注価格や販売価格の動き,・低迷から抜け出せない状況が継続している。10月以降持ち直す気配があるものの、客先の受注見通しも業績改善につながるほど強くはない。,
,,▲,輸送業（支店長）,受注量や販売量の動き,・雑貨については、国内、輸入とも前年並みの荷動きを維持しているものの、鋼材・木材等の荷動きに停滞感がある。,
,,▲,司法書士,受注量や販売量,・建物新築工事が前年に比べて少なくなっている。,
,,▲,その他サービス業［システムハウス］（経営者）,受注価格や販売価格の動き,・従来の価格設定ではなかなか受注が決まらない状況にある。,
,,×,－,－,－,
"雇用
関連

(北海道)",,◎,－,－,－,
,,○,学校［大学］（就職担当）,採用者数の動き,・採用内定者からの内定報告が順調に増えている。複数の企業に内定している学生は、企業選択に戸惑っているようである。,
,,□,人材派遣会社（社員）,求人数の動き,・求人ニーズは強含みではあるが、その多くは契約社員、アルバイト等のルーチンな業務をこなす求人が多いようである。スキルを要求される幹部の求人も確実に存在しているが、採用後のミスマッチを最小限に抑えるため、企業は採用に慎重であり、首都圏のような売手市場になっているとは言い難い。,
,,□,求人情報誌製作会社（編集者）,それ以外,・非正社員の求人が多いこともあって、求人の決定率が上昇してこない。また、応募者のスキルによるミスマッチが増加しているようである。,
,,□,職業安定所（職員）,求人数の動き,・有効求人倍率は５か月連続で前年を上回っているが、７月の倍率は0.44倍と依然として低水準である。,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は前年から3.4％の減少となっており、新規求職者数は前年から2.2％の増加となった。また、有効求人数は前年から4.6％の減少、有効求職者数は前年から2.2％の増加となった。この結果、有効求人倍率は0.47倍となった。新規求人に占めるパートの割合は38.3％と大幅に増加しており、改善に向かっているとは思えない。,
,,▲,求人情報誌製作会社（編集者）,求人数の動き,・飲食、小売、建設業などを始め、多くの業種で求人数が前年を下回っている。好調な業種は、派遣業、コールセンター、病院・介護など、依然として固定的である。,
,,▲,職業安定所（職員）,求職者数の動き,・地場シティホテルの閉館、スーパーや清涼飲料の工場が閉鎖するなど、大量の離職者が発生する動きがある。,
,,×,－,－,－,
,,,,,,
　２．東北（地域別調査機関：（財）東北開発研究センター）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東北)",,◎,タクシー運転手,お客様の様子,・コンサート会場まで客を乗せたが、その客は２日続けてコンサートに行っているとのことであった。会場は車も多く、若い人であふれていた。このような面からも、景気は良くなっている。,
,,○,一般小売店［医薬品］（経営者）,単価の動き,・お盆期間中は街も静かであったが、お盆過ぎからは人出も戻り、また、夏風邪の人が非常に多く、自然と客単価が上がっている。,
,,○,コンビニ（経営者）,単価の動き,・３か月前と比べれば、来客数、単価、買上点数共にやや増えている。ただし、前年との比較では来客数が減少となっており、感覚的には悪い。アイスクリームは結構売れたが、暑いにもかかわらず、ソフトドリンク類は思ったほど伸びなかった。,
,,○,コンビニ（経営者）,販売量の動き,・暑い日が多く、人の動きが活発である。,
,,○,衣料品専門店（経営者）,お客様の様子,・厳しい暑さの割には、客は秋物に興味を示しており、後半からは秋物の動きが順調に推移している。,
,,○,家電量販店（従業員）,お客様の様子,・気温が高かったため、季節商材が一時的によく動いた。,
,,○,その他専門店［化粧品］（経営者）,来客数の動き,・７月21日に中心街区内の広場整備が完了し、周囲のホテル、テナントもオープンした影響もあって、来客数は非常に増えている。８月は暑かったので、飲食店を中心に売上が伸びているが、ファッション関係の店は横ばいである。,
,,○,都市型ホテル（スタッフ）,販売量の動き,・改装工事中で一部使用できない宴会場があり売上が落ちると予想していたが、中規模の宴会がそこそこ入り、逆に前年を上回っている。国体の開催が近づき、いろいろな会議、宴会が増えてきた。,
,,○,観光名所（職員）,単価の動き,・団体客は前年を若干下回ったものの、フリーの個人客の入込が好調であり客単価が上昇したため、全体の来客数は減少しているにもかかわらず前年の売上を維持した。,
,,○,美容室（経営者）,来客数の動き,・来客数の前年割れは前年同月ごろから続いており、前月は極端に落ち込んだものの、今月は悪いなりに減少幅が縮小したこともあり、改善の兆しがみられる。,
,,□,商店街（代表者）,来客数の動き,・暑過ぎて人出が少なかった。,
,,□,商店街（代表者）,お客様の様子,・梅雨明けからお盆までの間は暑い日が続き、一時的には商況も活発になったが、月後半は下降気味である。特に、婦人服など衣料品の動きが悪い。,
,,□,一般小売店［書籍］（経営者）,来客数の動き,・猛暑であったが、涼み客効果のためか来客数の減少は比較的低位に抑えられた。,
,,□,百貨店（広報担当）,販売量の動き,・猛暑によるヒットアイテムはあるものの、総体的には芳しくない。,
,,□,百貨店（経営者）,来客数の動き,・５月ごろから来客数の減少がみられ始め、様々な要因から消費者の生活防衛意識がより強くなっている。,
,,□,百貨店（経営者）,販売量の動き,・気温が上昇し季節商材が売れてもよさそうなものなのに、逆に来客数が減少し販売量は思ったように伸びなかった。その中では、毎日必要となる食料品が、アパレルやリビング用品などと比べると健闘した。,
,,□,百貨店（売場担当）,単価の動き,・衣料品販売は、お盆までは夏物のセール品が中心になるのは例年同じ動きであるが、お盆を過ぎてからも秋物の定価品への関心は低く、セール品で何か良いものを探している様子がうかがえる。,
,,□,スーパー（店長）,競争相手の様子,・今月は、お盆商戦の成功により既存店売上は前期比101％と、何とか前期をクリアしている。しかし、競合対応によるチラシ価格強化での売上確保のため、利益は大きく前年を下回っている。,
,,□,スーパー（店長）,販売量の動き,・猛暑と言われているが、この地方の場合暑い時期は例年より短く、飲料などの売上に影響があったものの、全体では前年並みの売上となっている。,
,,□,スーパー（店長）,お客様の様子,・携帯電話を持ち「今日はどこの店の何が安い」と友達や家族と話しながら、目玉品だけを購入していく客が多くなっている。,
,,□,スーパー（店長）,競争相手の様子,・前半からお盆明けまでは、暑い日も多く夏物商材を中心に好調に推移していたが、数日前にオープンした競合店の影響があり、今後の懸念材料にもなっている。,
,,□,スーパー（総務担当）,単価の動き,・８月は暑い日が続き、清涼飲料、ビール系、焼ちゅう系飲料の動きが良かったが、生鮮食品では、精肉の動きが相場上昇もあって芳しくなかった。全体的には、加工食品がやや盛り返したものの、生鮮食品が低迷したため、平均単価の推移には変化が無い。,
,,□,コンビニ（エリア担当）,来客数の動き,・猛暑だったためお盆までは非常に好調に推移していた。しかし、お盆が過ぎ気温が落ち着いてからは、客単価には改善がみられるものの、来客数の伸びないという現象がみられる。異業種を含めた競争が激化している。,
,,□,衣料品専門店（店長）,お客様の様子,・来客数は天候に左右されることも多いが、来店してもなお買い控えが感じられる。客単価がなかなか上がらない。,
,,□,衣料品専門店（店長）,来客数の動き,・近隣の競合店が、９月末まで完全閉店セールを実施しているため、来客数が伸びない。,
,,□,衣料品専門店（総務担当）,販売量の動き,・買上点数、客単価共に上がらず、景気の回復がみえてこない。,
,,□,家電量販店（店長）,販売量の動き,・梅雨明けが１週間程度遅れた影響もあり、８月に入ってやや持ち直したものの、結果的に販売量は前年並みに終わっている。,
,,□,乗用車販売店（従業員）,販売量の動き,・商談の件数があまり多くない。,
,,□,その他専門店［呉服］（経営者）,お客様の様子,・必要な物は買うが、それ以外の物はなかなか売れない。,
,,□,その他専門店［食品］（経営者）,販売量の動き,・前月は長梅雨、当月は酷暑にたたられ、主力の精肉、及びお中元品に買い控えがみられる。,
,,□,その他専門店［酒］（営業担当）,販売量の動き,・選挙が終わって一段落し、お盆を迎えるという流れであったが、例年と同じような状況で推移している。地方ではお盆の帰省客の飲食により何とかもっているところもあるが、依然として予断を許さない状況が続いている。,
,,□,その他専門店［ガソリンスタンド］（営業担当）,販売量の動き,・ガソリン価格の値上げにより客の節約意識が高まり、販売量の前年割れが続いている。値上がりしている仕入価格の転嫁が遅れ、「かぶり」も発生してきている。また、公共事業の減少が軽油の販売量に影響を及ぼしており、全体的に粗利益の低下が続いている。,
,,□,一般レストラン（スタッフ）,来客数の動き,・参議院選挙の結果でどのようになるか心配していたが、特に変わったところは無い。,
,,□,その他飲食［弁当］（スタッフ）,販売量の動き,・全国の動きとは違い青森では倒産する店も多くなっており、景気が悪い状態のままである。,
,,□,観光型ホテル（経営者）,来客数の動き,・厳しい暑さのために温泉自体が敬遠され、設備投資を実施したにもかかわらず来客数は伸びなかった。大型娯楽施設などに客を奪われ、日帰り客も例年になく少なかった。売上は辛うじて前年並みである。,
,,□,観光型旅館（経営者）,来客数の動き,・８月15日までは前年を上回っていたが、それ以降の伸びが足りなかった。中越沖地震の風評被害もあるが、海水浴よりもプールに人が集まるように時代が変わりつつある。,
,,□,都市型ホテル（スタッフ）,お客様の様子,・来客数、単価などにあまり変化は無い。,
,,□,都市型ホテル（スタッフ）,単価の動き,・例年利用している客、新規客共に、我々の提案する単価に対してディスカウントの要請が多く、その傾向が強まっている。,
,,□,タクシー運転手,来客数の動き,・乗客数がとにかく少ない。また、乗客からは「夏のボーナスが出なかった」という話をよく聞くなど、地方ではまだまだ景気が回復していない。,
,,▲,商店街（代表者）,単価の動き,・前年末ごろから回復基調にあったやや高めの商品、高額商品の売行きが、５月以降急降下している。全体的に消費マインドが低下してきている。,
,,▲,一般小売店［雑貨］（企画担当）,来客数の動き,・消費者は年金問題や税負担の増加に将来的な不安を持っており、必需品についても買い控えが進んでいる。,
,,▲,スーパー（経営者）,来客数の動き,・所得税の定率減税の廃止、年金問題、住民税の増税、さらにはガソリン価格の高騰が重なるなど複合的な要因により、６、７月ごろから急速に来客数が低迷している。また、新潟の場合は中越沖地震の心理的影響もあり、非常に厳しい状態になっている。,
,,▲,スーパー（経営者）,来客数の動き,・お盆商戦の１週間は帰省客もあり順調に推移したが、前半、及びお盆以降は普段より厳しい状態となっている。,
,,▲,スーパー（店長）,お客様の様子,・競合店が増え、客は買い回りの対象が増えている。結果的に来客数、買上点数が下落している。,
,,▲,コンビニ（経営者）,販売量の動き,・猛暑の影響もあり一時的に前月比18％増までいったが、前年との比較では売上は５％、来客数は３％のダウンであり、相変わらず伸びがみられない。恒例の花火大会の見物客も前年より少なかった。,
,,▲,衣料品専門店（店長）,来客数の動き,・８月は暑かったものの、前月の長雨の影響が残ったためか、この時期に動くべきサマーフォーマル、半袖シャツなどの季節商材の動きが出遅れたままで悪かった。,
,,▲,衣料品専門店（店長）,単価の動き,・夏物セール品の売行きが一段落し、通常であれば立ち上がる秋物の動きが鈍く、商品単価が上がってこない。,
,,▲,家電量販店（店長）,単価の動き,・パソコンの売行きについては新ＯＳの効果が出始めているが、洗濯機、冷蔵庫などでは単価の低下傾向がみられ、単価の低い商品が動いている。,
,,▲,乗用車販売店（経営者）,お客様の様子,・ガソリン高騰から自動車離れが進んでいる。若い客は購入に対して慎重になってきている。なお、心配された中越沖地震の影響は限定的で、当地でも平静を取り戻しつつある。,
,,▲,乗用車販売店（経営者）,販売量の動き,・車両販売ではガソリン価格の高騰もあり、小型車、軽自動車へのシフトが更に進んでいる。整備では、３回目、４回目の車検をとる人が多く、「余計なお金は掛けたくない。車検が通りさえすればよい。」という要望が一段と増えている。,
,,▲,乗用車販売店（経営者）,販売量の動き,・前月に引き続き、新車販売がかなり厳しい状態である。,
,,▲,乗用車販売店（経営者）,来客数の動き,・繁忙期にもかかわらず来客数が減ってきている。平年だと６、７、８月と尻上がりに増えていくのに対して、今年は５月並みの来客数しかなく、特に新規客の来店が激減している。加えて中越沖地震以降は、製造部品の納期の遅れが販売台数にも顕著に影響しており、半期決算はどのメーカーも前年を大きく下回る登録台数となりそうである。,
,,▲,住関連専門店（経営者）,来客数の動き,・猛暑のためか、家具に関しては来客数が激減しており、それに伴い売上も減少している。,
,,▲,住関連専門店（経営者）,単価の動き,・当店では仏壇、仏具が主力商品であるが、金額の張る仏壇よりも、ちょうちんや線香など単価の低い仏具の動きが中心であったため、売上高はあまり伸びなかった。,
,,▲,その他専門店［ガソリンスタンド］（営業担当）,お客様の様子,・石油製品の値上げが続き、客の買い控えが目立ち、需要が盛り上がらない。そのため、景気はどんどん悪い方向に向かっている。,
,,▲,高級レストラン（支配人）,来客数の動き,・宴会での利用がぐっと少なくなっている。特に、大人数での宴会は少なくなっている。,
,,▲,一般レストラン（経営者）,お客様の様子,・来客数が日によってばらつきがあり、忙しい日と暇な日の差がかなり大きい。長年営業しているがこれだけの大きなばらつきは初めてであり、街全体にも活気が無い。,
,,▲,都市型ホテル（スタッフ）,来客数の動き,・中越沖地震が新潟県に与えたダメージは非常に大きなものであった。観光シーズンが間もなく終わろうとしている時期にキャンセルが相次ぎ、風評被害の数字も大きなものがある。前回の地震の経験を生かして、立て直しとばん回に努力していく。,
,,▲,通信会社（営業担当）,お客様の様子,・客との商談から、ほとんどの業種において好況感、設備投資意欲は相変わらず感じられない。ガソリン高騰の影響もあり、コスト上昇を危惧する話をしばしば聞く。ホテル関係の客数増加を間接的に聞く程度で、他業種においては今一つの状態である。,
,,▲,遊園地（経営者）,来客数の動き,・８月は16日間30度以上となる暑さがこたえ、プールの無い当施設では前年比２割の来客数減少となってしまった。,
,,×,商店街（代表者）,来客数の動き,・季節変動、夏枯れ、温暖化で外を歩いている人自体が少ない。地元での土地開発は進んでいるが、中央資本ばかりで地元企業は全然潤っていない。,
,,×,スーパー（経営者）,販売量の動き,・１品単価の下落が続いており、歯止めが掛からない。川上のメーカーはインフレかもしれないが、川下の小売はいまだにデフレの状態である。異常な暑さにより食料品の購買が低下している。また、競争も激化している。,
,,×,衣料品専門店（経営者）,来客数の動き,・暑さのためか人通りが非常に少なくなった。また、年金支給日でも銀行に並ぶ人が少なく、買物につながっていないため、２、３か月前と比べると悪くなっている。,
,,×,衣料品専門店（経営者）,来客数の動き,・来客数が少ないので、当然販売量も少ない。真夏、真冬は動きが無いという季節要因もあるが、いまだに消費は慎重である。,
,,×,乗用車販売店（経営者）,販売量の動き,・今月は新型車発売があるにもかかわらず、イベント時の来客数が減っており、受注台数は大幅に前年を下回っている。また、例年であればお盆休み前後は増加するサービス入庫についても、ガソリン価格上昇の影響もあってか、前年より減少している。,
,,×,その他専門店［白衣・ユニフォーム］（営業担当）,販売量の動き,・建設関係の客は「仕事が無い」とはっきり言っている。作業服を支給できる状況には無いものの、何もしないわけにもいかず、ねん出した資金で購入するため「とにかく安い物を」という要望が強くなる。大変厳しい状況であると言わざるを得ない。,
,,×,一般レストラン（経営者）,来客数の動き,・客の動きだけではなく、販売量、競合相手の動向など、全ての面で悪くなっている。,
,,×,都市型ホテル（スタッフ）,それ以外,・前月の中越沖地震である程度は予想していたが、海水浴客の減少は想像を超えるものであった。また、馬インフルエンザにより、地元での競馬開催が２日間中止になったことも追討ちをかける結果となっている。,
,,×,その他サービス［自動車整備業］（経営者）,単価の動き,・全ての原材料費が値上がりしているが、販売価格には転嫁できない。,
"企業
動向
関連

(東北)",,◎,－,－,－,
,,○,土石製品製造販売（従業員）,受注量や販売量の動き,・中越沖地震などで、セメントの受注は大幅に増えてきている。,
,,○,その他非製造業［飲食料品卸売業］（経営者）,受注量や販売量の動き,・首都圏での好調に支えられて出荷は順調だが、県内でも同様の傾向がみられるようになっている。なお、仙台市など中心圏への出荷は好調だが、郡部では伸びが無い。,
,,□,農林水産業（従業者）,受注価格や販売価格の動き,・８月は暑かったため桃の甘さが増し、価格、注文量とも前年並みになっている。,
,,□,電気機械器具製造業（経営者）,取引先の様子,・県内の状況は一進一退で、原料高は変わらない。取引先からは相変わらずコストダウンの要求があり、厳しい経営を強いられている。親会社は過去最高の利益を上げているのに、中小企業の景気は悪化しているのが実情である。,
,,□,電気機械器具製造業（企画担当）,受注価格や販売価格の動き,・半導体の価格が下げ止まり、ここ２か月くらいは一定レベルで安定している。価格が更に悪化するという懸念が後退し、安心感につながっている。,
,,□,建設業（経営者）,受注価格や販売価格の動き,・受注量は前月並みで推移しているが、受注単価が安く、景気が良いとは言えない。,
,,▲,出版・印刷・同関連産業（経理担当）,受注価格や販売価格の動き,・紙の値上がりに加え、ガソリン、重油の値上がりが収益を圧迫している。さらに、受注価格の低下も進んでいる。,
,,▲,一般機械器具製造業（経理担当）,受注量や販売量の動き,・自動車部品の生産は比較的堅調に推移しているものの、為替相場が急変動したことにより、輸出環境が急激に悪化している。また、携帯電話用の部品については、引き続き低水準で推移している。,
,,▲,建設業（企画担当）,受注価格や販売価格の動き,・競争激化による落札価格の低下、及びガソリン等原材料価格の値上がりによるコストアップのダブルパンチである。,
,,▲,輸送業（従業員）,取引先の様子,・全体的に荷動きが鈍化傾向にある。,
,,▲,広告業協会（役員）,取引先の様子,・マンション販売が供給過剰で伸び悩んでいる。特に都心の高層マンションに販売不振が目立つ。したがって広告市場も冷えてきている。また、郊外の戸建住宅は販売が好調であるが、逆に広告を手控えている。,
,,▲,広告代理店（従業員）,受注量や販売量の動き,・案件ごとの販売数量が減少傾向にあるため、物件数に大きな変化は無いものの、売上は結果的に縮小されてしまう。,
,,▲,新聞販売店［広告］（店主）,受注量や販売量の動き,・折込チラシの申込がここ２か月下降線をたどっている。８月は例年少ない時期ではあるが今年は特にひどく、業種を問わず落ち込みが激しい。消費動向も鈍っており、新聞購読中止は経済的な理由が多い。,
,,▲,経営コンサルタント,取引先の様子,・生鮮食品の仲卸業者は、取扱量、販売金額共に低下傾向に歯止めが掛からない。,
